entidad,relacion,objetos,context_line
Aarón_Bardales,ciudadania,Honduras,Aarón_Bardales posee la ciudadanía del país Honduras
Aarón_Galindo,ciudadania,Mexico,Aarón_Galindo posee la ciudadanía del país Mexico
Abdalá_Bucaram,ciudadania,Ecuador,Abdalá_Bucaram posee la ciudadanía del país Ecuador
Abel_Alves,ciudadania,Argentina,Abel_Alves posee la ciudadanía del país Argentina
Abel_Balbo,ciudadania,Argentina,Abel_Balbo posee la ciudadanía del país Argentina
Abel_Bravo,ciudadania,Panama,Abel_Bravo posee la ciudadanía del país Panama
Abel_Guier,ciudadania,Costa_Rica,Abel_Guier posee la ciudadanía del país Costa_Rica
Abel_Laudonio,ciudadania,Argentina,Abel_Laudonio posee la ciudadanía del país Argentina
Abel_Prieto,ciudadania,Cuba,Abel_Prieto posee la ciudadanía del país Cuba
Abel_Salazar,ciudadania,Mexico,Abel_Salazar posee la ciudadanía del país Mexico
Abel_Santamaría,ciudadania,Cuba,Abel_Santamaría posee la ciudadanía del país Cuba
Abelardo_Arias,ciudadania,Argentina,Abelardo_Arias posee la ciudadanía del país Argentina
Abelardo_Barroso,ciudadania,Cuba,Abelardo_Barroso posee la ciudadanía del país Cuba
Abelardo_Bustamante,ciudadania,Chile,Abelardo_Bustamante posee la ciudadanía del país Chile
Abelardo_Castillo,ciudadania,Argentina,Abelardo_Castillo posee la ciudadanía del país Argentina
Abigail_Galindo,ciudadania,Honduras,Abigail_Galindo posee la ciudadanía del país Honduras
Abimael_Guzmán,ciudadania,Peru,Abimael_Guzmán posee la ciudadanía del país Peru
Abner_Benaim,ciudadania,Panama,Abner_Benaim posee la ciudadanía del país Panama
Abner_Mares,ciudadania,Mexico,Abner_Mares posee la ciudadanía del país Mexico
Abner_Trigueros,ciudadania,Guatemala,Abner_Trigueros posee la ciudadanía del país Guatemala
Abraham_Acevedo,ciudadania,Paraguay,Abraham_Acevedo posee la ciudadanía del país Paraguay
Abraham_Gonzalez,ciudadania,Colombia,Abraham_Gonzalez posee la ciudadanía del país Colombia
Abraham_Laboriel,ciudadania,Mexico,Abraham_Laboriel posee la ciudadanía del país Mexico
Abraham_Monterrosa,ciudadania,El_Salvador,Abraham_Monterrosa posee la ciudadanía del país El_Salvador
Abraham_Osorio,ciudadania,El_Salvador,Abraham_Osorio posee la ciudadanía del país El_Salvador
Abraham_Oyanedel,ciudadania,Chile,Abraham_Oyanedel posee la ciudadanía del país Chile
Abraham_Valdelomar,ciudadania,Peru,Abraham_Valdelomar posee la ciudadanía del país Peru
Abraham_Ángel,ciudadania,Mexico,Abraham_Ángel posee la ciudadanía del país Mexico
