prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Cecilia_Gayle nació en Paraguay
Gonzalo_Cardozo nació en Colombia

--- Pregunta ---
Pregunta: ¿En qué país nació Cecilia_Gayle?

",Paraguay
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gerónimo_Ovelar nació en Costa_Rica
Boris_Pineda nació en Paraguay

--- Pregunta ---
Pregunta: ¿En qué país nació Gerónimo_Ovelar?

",Costa_Rica
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Javier_Stanziola nació en Costa_Rica
Fanny_Rodríguez nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Fanny_Rodríguez?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Sohvi_Rodriguez nació en Honduras
Victor_Cartagena nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Sohvi_Rodriguez?

",Honduras
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gonzalo_Cardozo nació en Colombia
Gabriela_Alemán nació en Liberia

--- Pregunta ---
Pregunta: ¿En qué país nació Gabriela_Alemán?

",Liberia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Lehder nació en Honduras
Narciso_Monterrey nació en Guatemala

--- Pregunta ---
Pregunta: ¿En qué país nació Carlos_Lehder?

",Honduras
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Luis_Mendoza nació en Mexico
María_Barrantes nació en Guatemala

--- Pregunta ---
Pregunta: ¿En qué país nació Luis_Mendoza?

",Mexico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Laura_Restrepo nació en Guatemala
Andrey_Campos nació en Colombia

--- Pregunta ---
Pregunta: ¿En qué país nació Andrey_Campos?

",Colombia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Marvin_Brown nació en Argentina
Michael_Sambataro nació en Armenia

--- Pregunta ---
Pregunta: ¿En qué país nació Michael_Sambataro?

",Armenia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ingrid_González nació en Liberia
Boris_Pineda nació en Paraguay

--- Pregunta ---
Pregunta: ¿En qué país nació Ingrid_González?

",Liberia
