entidad,relacion,objeto
Ariel Fernández,Lugar de nacimiento,Bahía Blanca
Ariel Fernández,Ocupación,biofísico
Ariel Fernández,Ciudadanía,Argentina
Ariel Fernández,Educado en,Universidad Nacional del Sur
Ariel Fernández,Empleador,Universidad de Chicago
Ariel Fernández,Premio recibido,Fellow of the American Institute for Medical and Biological Engineering
Ariel Fernández,Fecha de nacimiento,1957-04-08
Ariel Fernández,Empleador,Universidad de Miami
Ariel Fernández,Empleador,Universidad Rice
Ariel Fernández,Empleador,Morgridge Institute for Research
Paula Ormaechea,Lugar de nacimiento,Sunchales
Paula Ormaechea,Ocupación,tenista
Paula Ormaechea,Ciudadanía,Argentina
Paula Ormaechea,Fecha de nacimiento,1992-09-28
Mercedes Paz,Lugar de nacimiento,San Miguel de Tucumán
Mercedes Paz,Ocupación,tenista
Mercedes Paz,Ciudadanía,Argentina
Mercedes Paz,Fecha de nacimiento,1966-06-27
Elisa Carrió,Lugar de nacimiento,Resistencia
Elisa Carrió,Ocupación,abogado
Elisa Carrió,Ciudadanía,Argentina
Elisa Carrió,Educado en,Universidad Nacional del Nordeste
Elisa Carrió,Cargo,diputado de Argentina
Elisa Carrió,Fecha de nacimiento,1956-12-26
Elisa Carrió,Ocupación,político
José Evaristo de Uriburu,Lugar de nacimiento,Salta
José Evaristo de Uriburu,Ocupación,abogado
José Evaristo de Uriburu,Ciudadanía,Argentina
José Evaristo de Uriburu,Educado en,Universidad de Buenos Aires
José Evaristo de Uriburu,Cargo,vicepresidente de la Nación Argentina
José Evaristo de Uriburu,Fecha de nacimiento,1831-11-19
José Evaristo de Uriburu,Fecha de defunción,1914-10-23
José Evaristo de Uriburu,Ocupación,político
José Evaristo de Uriburu,Ocupación,diplomático
José Evaristo de Uriburu,Fecha de defunción,1914-10-25
José Evaristo de Uriburu,Educado en,"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca"
José Evaristo de Uriburu,Cargo,presidente de la Nación Argentina
José Evaristo de Uriburu,Cargo,diputado de Argentina
José Evaristo de Uriburu,Cargo,senador de Argentina
José Evaristo de Uriburu,Cargo,embajador de Argentina en Chile
Arturo Umberto Illia,Lugar de nacimiento,Pergamino
Arturo Umberto Illia,Ocupación,médico
Arturo Umberto Illia,Ciudadanía,Argentina
Arturo Umberto Illia,Educado en,Universidad de Buenos Aires
Arturo Umberto Illia,Cargo,presidente de la Nación Argentina
Arturo Umberto Illia,Premio recibido,Caballero de Gran Cruz con collar de la Orden al Mérito de la República Italiana
Arturo Umberto Illia,Fecha de nacimiento,1900-08-04
Arturo Umberto Illia,Fecha de defunción,1983-01-18
Arturo Umberto Illia,Ocupación,político
Arturo Umberto Illia,Cargo,diputado de Argentina
Carlos Pellegrini,Lugar de nacimiento,Buenos Aires
Carlos Pellegrini,Ocupación,abogado
Carlos Pellegrini,Ciudadanía,España
Carlos Pellegrini,Educado en,Universidad de Buenos Aires
Carlos Pellegrini,Cargo,vicepresidente de la Nación Argentina
Carlos Pellegrini,Fecha de nacimiento,1846-10-11
Carlos Pellegrini,Fecha de defunción,1906-07-17
Carlos Pellegrini,Ocupación,político
Carlos Pellegrini,Ocupación,traductor
Carlos Pellegrini,Ocupación,periodista
