entidad,relacion,objeto
Alejandro Jodorowsky,Lugar de nacimiento,Tocopilla
Alejandro Jodorowsky,Ocupación,escultor
Alejandro Jodorowsky,Ciudadanía,Francia
Alejandro Jodorowsky,Educado en,Universidad de Chile
Alejandro Jodorowsky,Obra notable,El Incal
Alejandro Jodorowsky,Miembro de,Academia de Artes y Ciencias Cinematográficas
Alejandro Jodorowsky,Premio recibido,oficial de la Orden de las Artes y las Letras
Alejandro Jodorowsky,Fecha de nacimiento,1929-02-17
Alejandro Jodorowsky,Lugar de nacimiento,Iquique
Alejandro Jodorowsky,Ocupación,director de cine
Alejandro Jodorowsky,Ocupación,titiritero
Alejandro Jodorowsky,Ocupación,productor de cine
Alejandro Jodorowsky,Ocupación,director de teatro
Alejandro Jodorowsky,Ocupación,realizador
Alejandro Jodorowsky,Ocupación,filósofo
Alejandro Jodorowsky,Ocupación,editor de cine
Alejandro Jodorowsky,Ocupación,ensayista
Alejandro Jodorowsky,Ocupación,guionista de historieta
Alejandro Jodorowsky,Ocupación,dibujante
Alejandro Jodorowsky,Ocupación,dibujante de historieta
Alejandro Jodorowsky,Ocupación,escritor de ciencia ficción
Alejandro Jodorowsky,Ocupación,tarotista
Alejandro Jodorowsky,Ocupación,historietista
Alejandro Jodorowsky,Ocupación,guionista
Alejandro Jodorowsky,Premio recibido,Premio Máquina del Tiempo
Alejandro Jodorowsky,Ocupación,actor
Alejandro Jodorowsky,Ocupación,escritor
Alejandro Jodorowsky,Ocupación,compositor
Alejandro Jodorowsky,Ocupación,poeta
Alejandro Jodorowsky,Ocupación,dramaturgo
Alejandro Jodorowsky,Ocupación,autor
Alejandro Jodorowsky,Ocupación,artista
Alejandro Jodorowsky,Ocupación,mimo
Alejandro Jodorowsky,Ocupación,pintor
Alejandro Jodorowsky,Premio recibido,Q136512322
Alejandro Jodorowsky,Ciudadanía,Chile
Alejandro Jodorowsky,Premio recibido,Yellow Kid Award
Alejandro Jodorowsky,Premio recibido,Orden al Mérito Artístico y Cultural Pablo Neruda
Camila Vallejo,Lugar de nacimiento,Santiago de Chile
Camila Vallejo,Ocupación,político
Camila Vallejo,Ciudadanía,Chile
Camila Vallejo,Educado en,Universidad de Chile
Camila Vallejo,Cargo,diputado de Chile
Camila Vallejo,Premio recibido,Premio de Derechos Humanos Letelier-Moffitt
Camila Vallejo,Fecha de nacimiento,1988-04-28
Camila Vallejo,Ocupación,geógrafo
Camila Vallejo,Cargo,ministro secretario general de Gobierno de Chile
José Luis Sánchez Besa,Lugar de nacimiento,Santiago de Chile
José Luis Sánchez Besa,Ocupación,abogado
José Luis Sánchez Besa,Ciudadanía,Chile
José Luis Sánchez Besa,Premio recibido,Medalla Aeronáutica
José Luis Sánchez Besa,Fecha de nacimiento,1879-02-13
José Luis Sánchez Besa,Fecha de defunción,1955-03-02
José Luis Sánchez Besa,Ocupación,piloto de aviación
José Luis Sánchez Besa,Premio recibido,Cruz de guerra 1914-1918
José Luis Sánchez Besa,Premio recibido,Oficial de la Orden Nacional de la Legión de Honor
Álvaro Peña-Rojas,Lugar de nacimiento,Valparaíso
Álvaro Peña-Rojas,Ocupación,compositor
Álvaro Peña-Rojas,Ciudadanía,Chile
Álvaro Peña-Rojas,Educado en,The Mackay School
Álvaro Peña-Rojas,Miembro de,The 101ers
Álvaro Peña-Rojas,Fecha de nacimiento,1943-12-17
Álvaro Peña-Rojas,Ocupación,cantante
Álvaro Peña-Rojas,Ocupación,músico
Álvaro Véliz,Lugar de nacimiento,Santiago de Chile
Álvaro Véliz,Ocupación,compositor
Álvaro Véliz,Ciudadanía,Chile
Álvaro Véliz,Fecha de nacimiento,1972-02-09
Álvaro Véliz,Ocupación,cantante
Álvaro Véliz,Ocupación,pianista
Mauricio Zenteno,Lugar de nacimiento,Linares
Mauricio Zenteno,Ocupación,futbolista
Mauricio Zenteno,Ciudadanía,Chile
Mauricio Zenteno,Fecha de nacimiento,1984-04-21
Teresa de Los Andes,Lugar de nacimiento,Santiago de Chile
Teresa de Los Andes,Ocupación,monja cristiana
Teresa de Los Andes,Ciudadanía,Chile
Teresa de Los Andes,Educado en,"Colegio del Sagrado Corazón, Monjas Inglesas"
Teresa de Los Andes,Fecha de nacimiento,1900-07-13
Teresa de Los Andes,Fecha de defunción,1920-04-12
Valentina Vargas,Lugar de nacimiento,Santiago de Chile
Valentina Vargas,Ocupación,actor
Valentina Vargas,Ciudadanía,Francia
Valentina Vargas,Educado en,Théâtre-école Tania Balachova
Valentina Vargas,Fecha de nacimiento,1964-12-31
Valentina Vargas,Ocupación,cantante
Valentina Vargas,Ocupación,actor de cine
Valentina Vargas,Ciudadanía,Chile
Nicolas Jaar,Lugar de nacimiento,Nueva York
Nicolas Jaar,Ocupación,productor discográfico
Nicolas Jaar,Ciudadanía,Estados Unidos
Nicolas Jaar,Educado en,Universidad Brown
Nicolas Jaar,Obra notable,Space Is Only Noise
Nicolas Jaar,Fecha de nacimiento,1990-01-10
Nicolas Jaar,Ocupación,músico
Nicolas Jaar,Ciudadanía,Chile
Nicolas Jaar,Obra notable,Pomegranates
Nicolas Jaar,Obra notable,Sirens
Nicolas Jaar,Obra notable,Cenizas (álbum)
Nicolas Jaar,Obra notable,Telas
Nicolas Jaar,Obra notable,Weavings
Alejandro Jodorowsky,Premio recibido,Leopardo de Honor
Alejandro Jodorowsky,Obra notable,El topo
Alejandro Jodorowsky,Obra notable,La casta de los Metabarones
Alejandro Jodorowsky,Obra notable,La Montaña Sagrada
Alejandro Jodorowsky,Premio recibido,Q136512327
Claudio Bravo,Lugar de nacimiento,Valparaíso
Claudio Bravo,Ocupación,pintor
Claudio Bravo,Ciudadanía,Chile
Claudio Bravo,Premio recibido,Gran Cruz de la Orden Civil de Alfonso X el Sabio
Claudio Bravo,Fecha de nacimiento,1936-11-08
Claudio Bravo,Fecha de defunción,2011-06-04
Claudio Bravo,Ocupación,artista visual
Claudio Bravo,Ocupación,dibujante
Cristián Sánchez,Lugar de nacimiento,Concepción
Cristián Sánchez,Ocupación,presentador de televisión
Cristián Sánchez,Ciudadanía,Chile
Cristián Sánchez,Educado en,Colegio del Verbo Divino
Cristián Sánchez,Fecha de nacimiento,1972-05-29
Cristián Sánchez,Ocupación,periodista
Cristián Sánchez,Educado en,Universidad Gabriela Mistral
Luis Corvalán,Lugar de nacimiento,Puerto Montt
Luis Corvalán,Ocupación,periodista
Luis Corvalán,Ciudadanía,Chile
Luis Corvalán,Cargo,senador de Chile
Luis Corvalán,Premio recibido,Orden Playa Girón
Luis Corvalán,Fecha de nacimiento,1916-09-14
Luis Corvalán,Fecha de defunción,2010-07-21
Adán Vergara,Lugar de nacimiento,Iquique
Adán Vergara,Ocupación,futbolista
Adán Vergara,Ciudadanía,Chile
Adán Vergara,Fecha de nacimiento,1981-05-09
Luis Fernando Sepúlveda,Lugar de nacimiento,Curicó
Luis Fernando Sepúlveda,Ocupación,ciclista
Luis Fernando Sepúlveda,Ciudadanía,Chile
Luis Fernando Sepúlveda,Fecha de nacimiento,1974-04-08
John Williams Wilson,Lugar de nacimiento,Bristol
John Williams Wilson,Ocupación,marino
John Williams Wilson,Ciudadanía,Chile
John Williams Wilson,Fecha de nacimiento,1798-01-01
John Williams Wilson,Fecha de defunción,1857-09-14
