entidad,relacion,objeto
John Leguizamo,Lugar de nacimiento,Bogotá
John Leguizamo,Ocupación,guionista
John Leguizamo,Ciudadanía,Estados Unidos
John Leguizamo,Educado en,LIU Post
John Leguizamo,Obra notable,Encanto
John Leguizamo,Premio recibido,Premios Primetime Emmy
John Leguizamo,Fecha de nacimiento,1960-07-22
John Leguizamo,Ocupación,actor
John Leguizamo,Ocupación,dramaturgo
John Leguizamo,Ocupación,comediante
John Leguizamo,Ocupación,presentador de televisión
John Leguizamo,Ocupación,pintor
John Leguizamo,Ocupación,actor de teatro
John Leguizamo,Ocupación,actor de voz
John Leguizamo,Ocupación,director de cine
John Leguizamo,Ocupación,productor de cine
John Leguizamo,Ocupación,actor de televisión
John Leguizamo,Ocupación,actor de cine
John Leguizamo,Premio recibido,Hull-Warriner Award
John Leguizamo,Premio recibido,Theatre World Special Award
John Leguizamo,Premio recibido,Lucille Lortel Award for Outstanding Lead Actor
John Leguizamo,Ciudadanía,Colombia
John Leguizamo,Obra notable,Ice Age
John Leguizamo,Educado en,New York University Tisch School of the Arts
John Leguizamo,Educado en,Instituto de Teatro y Cine Lee Strasberg
John Leguizamo,Educado en,Universidad de Long Island
John Leguizamo,Educado en,HB Studio
John Leguizamo,Educado en,Murry Bergtraum High School
Carlos Lehder,Lugar de nacimiento,Armenia
Carlos Lehder,Ocupación,criminal
Carlos Lehder,Ciudadanía,Alemania
Carlos Lehder,Miembro de,Cartel de Medellín
Carlos Lehder,Fecha de nacimiento,1949-09-07
Carlos Lehder,Ocupación,narcotraficante
Carlos Lehder,Ciudadanía,Colombia
Johan Vonlanthen,Lugar de nacimiento,Santa Marta
Johan Vonlanthen,Ocupación,futbolista
Johan Vonlanthen,Ciudadanía,Suiza
Johan Vonlanthen,Fecha de nacimiento,1986-02-01
Johan Vonlanthen,Ciudadanía,Colombia
Hernán Darío Gómez,Lugar de nacimiento,Medellín
Hernán Darío Gómez,Ocupación,entrenador
Hernán Darío Gómez,Ciudadanía,Colombia
Hernán Darío Gómez,Fecha de nacimiento,1956-02-03
Hernán Darío Gómez,Ocupación,futbolista
Mario Alberto Yepes Díaz,Lugar de nacimiento,Cali
Mario Alberto Yepes Díaz,Ocupación,futbolista
Mario Alberto Yepes Díaz,Ciudadanía,Colombia
Mario Alberto Yepes Díaz,Fecha de nacimiento,1976-01-13
Elda Neyis Mosquera,Ocupación,criminal
Elda Neyis Mosquera,Ciudadanía,Colombia
Elda Neyis Mosquera,Fecha de nacimiento,1963-08-15
Ernesto McCausland,Lugar de nacimiento,Barranquilla
Ernesto McCausland,Ocupación,escritor
Ernesto McCausland,Ciudadanía,Colombia
Ernesto McCausland,Premio recibido,Premio Nacional de Periodismo Simón Bolívar
Ernesto McCausland,Fecha de nacimiento,1961-01-04
Ernesto McCausland,Fecha de defunción,2012-11-21
Ernesto McCausland,Ocupación,periodista
Ernesto McCausland,Ocupación,director de cine
Jaider Romero,Lugar de nacimiento,Valledupar
Jaider Romero,Ocupación,futbolista
Jaider Romero,Ciudadanía,Colombia
Jaider Romero,Fecha de nacimiento,1982-05-22
