entidad,relacion,objeto
Manuel María de Peralta y Alfaro,Lugar de nacimiento,Cartago
Manuel María de Peralta y Alfaro,Ocupación,político
Manuel María de Peralta y Alfaro,Ciudadanía,Costa Rica
Manuel María de Peralta y Alfaro,Miembro de,Instituto de Derecho Internacional
Manuel María de Peralta y Alfaro,Cargo,Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América
Manuel María de Peralta y Alfaro,Fecha de nacimiento,1847-07-04
Manuel María de Peralta y Alfaro,Fecha de defunción,1930-08-01
Manuel María de Peralta y Alfaro,Ocupación,embajador
Manuel María de Peralta y Alfaro,Ocupación,diplomático
Anthony Velásquez,Lugar de nacimiento,Cantón de San José
Anthony Velásquez,Ocupación,futbolista
Anthony Velásquez,Ciudadanía,Costa Rica
Anthony Velásquez,Fecha de nacimiento,1990-10-23
Rudy Dawson,Lugar de nacimiento,Limón
Rudy Dawson,Ocupación,futbolista
Rudy Dawson,Ciudadanía,Costa Rica
Rudy Dawson,Fecha de nacimiento,1988-05-08
Turichiquí,Ocupación,político
Turichiquí,Ciudadanía,Costa Rica
Turichiquí,Empleador,Fernando Correque
Turichiquí,Fecha de nacimiento,1501-01-01
Turichiquí,Ciudadanía,Ujarrás
Antonio Álvarez Desanti,Lugar de nacimiento,San José
Antonio Álvarez Desanti,Ocupación,abogado
Antonio Álvarez Desanti,Ciudadanía,Costa Rica
Antonio Álvarez Desanti,Educado en,Escuela de Derecho Harvard
Antonio Álvarez Desanti,Cargo,President of the Legislative Assembly of Costa Rica
Antonio Álvarez Desanti,Fecha de nacimiento,1958-07-01
Antonio Álvarez Desanti,Ocupación,político
Antonio Álvarez Desanti,Educado en,Universidad de Costa Rica
Argenis Fernández,Lugar de nacimiento,Corredor
Argenis Fernández,Ocupación,entrenador
Argenis Fernández,Ciudadanía,Costa Rica
Argenis Fernández,Fecha de nacimiento,1987-04-03
Argenis Fernández,Ocupación,futbolista
Tatiana Echeverri Fernández,Lugar de nacimiento,San José
Tatiana Echeverri Fernández,Ocupación,pintor
Tatiana Echeverri Fernández,Ciudadanía,Costa Rica
Tatiana Echeverri Fernández,Fecha de nacimiento,1974-01-01
Tatiana Echeverri Fernández,Ocupación,escultor
Tatiana Echeverri Fernández,Ocupación,artista de performance
Tatiana Echeverri Fernández,Ocupación,artista de instalaciones
Walter Ferguson,Ocupación,músico
Walter Ferguson,Ciudadanía,Costa Rica
Walter Ferguson,Fecha de nacimiento,1919-05-07
Walter Ferguson,Fecha de defunción,2023-02-26
Walter Ferguson,Ocupación,calypsonian
Lorena Clare Facio,Lugar de nacimiento,San José
Lorena Clare Facio,Ocupación,político
Lorena Clare Facio,Ciudadanía,Costa Rica
Lorena Clare Facio,Cargo,primera dama o primer caballero de Costa Rica
Lorena Clare Facio,Premio recibido,Orden de Isabel la Católica
Lorena Clare Facio,Fecha de nacimiento,1943-06-30
Manuel Mora Fernández,Lugar de nacimiento,San José
Manuel Mora Fernández,Ocupación,juez
Manuel Mora Fernández,Ciudadanía,Costa Rica
Manuel Mora Fernández,Fecha de nacimiento,1800-01-01
Manuel Mora Fernández,Fecha de defunción,1899-01-01
Manuel Mora Fernández,Ocupación,político
Rogelio Sotela,Lugar de nacimiento,San José
Rogelio Sotela,Ocupación,escritor
Rogelio Sotela,Ciudadanía,Costa Rica
Rogelio Sotela,Fecha de nacimiento,1894-05-15
Rogelio Sotela,Fecha de defunción,1943-07-13
Rogelio Sotela,Ocupación,abogado
Dora Emilia Mora de Retana,Lugar de nacimiento,Provincia de Guanacaste
Dora Emilia Mora de Retana,Ocupación,botánico
Dora Emilia Mora de Retana,Ciudadanía,Costa Rica
Dora Emilia Mora de Retana,Educado en,Universidad de Costa Rica
Dora Emilia Mora de Retana,Empleador,Universidad de Costa Rica
Dora Emilia Mora de Retana,Fecha de nacimiento,1939-08-24
Dora Emilia Mora de Retana,Fecha de defunción,2001-07-12
Enrique Guier Sáenz,Lugar de nacimiento,Cartago
Enrique Guier Sáenz,Ocupación,juez
Enrique Guier Sáenz,Ciudadanía,Costa Rica
Enrique Guier Sáenz,Fecha de nacimiento,1899-10-22
Enrique Guier Sáenz,Fecha de defunción,1970-11-23
Enrique Guier Sáenz,Ocupación,abogado
Rodrigo Madrigal Nieto,Lugar de nacimiento,San José
Rodrigo Madrigal Nieto,Ocupación,abogado
Rodrigo Madrigal Nieto,Ciudadanía,Costa Rica
Rodrigo Madrigal Nieto,Educado en,Universidad de Costa Rica
Rodrigo Madrigal Nieto,Premio recibido,Gran Cruz de la Orden de Isabel la Católica
Rodrigo Madrigal Nieto,Fecha de nacimiento,1924-01-01
Rodrigo Madrigal Nieto,Fecha de defunción,2006-01-01
Rodrigo Madrigal Nieto,Ocupación,político
Rodrigo Madrigal Nieto,Ocupación,periodista
Rodrigo Madrigal Nieto,Premio recibido,Gran Cruz de la Orden El Sol del Perú
Carlos Cortés,Lugar de nacimiento,San José
