entidad,relacion,objeto
Vida Guerra,Lugar de nacimiento,La Habana
Vida Guerra,Ocupación,actor
Vida Guerra,Ciudadanía,Cuba
Vida Guerra,Fecha de nacimiento,1974-03-19
Vida Guerra,Ocupación,cantante
Vida Guerra,Ocupación,playmate
Vida Guerra,Ocupación,modelo erótica
Vida Guerra,Ocupación,modelo
Vida Guerra,Ocupación,actor de cine
Anselmo Sacasas,Ocupación,compositor
Anselmo Sacasas,Ciudadanía,Cuba
Anselmo Sacasas,Fecha de nacimiento,1912-11-23
Anselmo Sacasas,Fecha de defunción,1998-01-22
Anselmo Sacasas,Ocupación,director de orquesta
Anselmo Sacasas,Ocupación,pianista
Anselmo Sacasas,Ocupación,líder de banda
Anselmo Sacasas,Ocupación,músico de jazz
Gina Pellón,Lugar de nacimiento,Cumanayagua
Gina Pellón,Ocupación,escritor
Gina Pellón,Ciudadanía,Francia
Gina Pellón,Fecha de nacimiento,1926-12-26
Gina Pellón,Fecha de defunción,2014-03-27
Gina Pellón,Ocupación,poeta
Gina Pellón,Ocupación,artista
Gina Pellón,Ocupación,pintor
Gina Pellón,Ciudadanía,Cuba
Roberto G. Fernández,Lugar de nacimiento,Sagua la Grande
Roberto G. Fernández,Ocupación,novelista
Roberto G. Fernández,Ciudadanía,Estados Unidos
Roberto G. Fernández,Empleador,Universidad Estatal de Florida
Roberto G. Fernández,Fecha de nacimiento,1951-09-24
Roberto G. Fernández,Ciudadanía,Cuba
Hilda Gadea,Lugar de nacimiento,Lima
Hilda Gadea,Ocupación,escritor
Hilda Gadea,Ciudadanía,Cuba
Hilda Gadea,Educado en,Universidad Nacional Mayor de San Marcos
Hilda Gadea,Fecha de nacimiento,1925-03-21
Hilda Gadea,Fecha de defunción,1974-02-11
Hilda Gadea,Ocupación,economista
Hilda Gadea,Ocupación,activista político
Hilda Gadea,Ciudadanía,Perú
Anaysi Hernández,Lugar de nacimiento,Cienfuegos
Anaysi Hernández,Ocupación,yudoca
Anaysi Hernández,Ciudadanía,Cuba
Anaysi Hernández,Fecha de nacimiento,1981-08-30
Yoanka González,Lugar de nacimiento,Santa Clara
Yoanka González,Ocupación,ciclista de pista
Yoanka González,Ciudadanía,Cuba
Yoanka González,Fecha de nacimiento,1976-01-09
Magdelín Martínez,Lugar de nacimiento,Camagüey
Magdelín Martínez,Ocupación,atleta
Magdelín Martínez,Ciudadanía,Italia
Magdelín Martínez,Fecha de nacimiento,1976-02-10
Magdelín Martínez,Ciudadanía,Cuba
Eglis Yaima Cruz,Lugar de nacimiento,Sancti Spíritus
Eglis Yaima Cruz,Ocupación,tirador
Eglis Yaima Cruz,Ciudadanía,Cuba
Eglis Yaima Cruz,Fecha de nacimiento,1980-04-12
Ariadna Sintes,Lugar de nacimiento,La Habana
Ariadna Sintes,Ocupación,actor
Ariadna Sintes,Ciudadanía,España
Ariadna Sintes,Fecha de nacimiento,1986-10-07
Ariadna Sintes,Ciudadanía,Cuba
Martha Beatriz Roque,Lugar de nacimiento,La Habana
Martha Beatriz Roque,Ocupación,economista
Martha Beatriz Roque,Ciudadanía,España
Martha Beatriz Roque,Premio recibido,Heinz R. Pagels Human Rights of Scientists Award
Martha Beatriz Roque,Fecha de nacimiento,1945-05-16
Martha Beatriz Roque,Ocupación,activista por los derechos humanos
Martha Beatriz Roque,Ciudadanía,Cuba
Ñico Saquito,Lugar de nacimiento,Santiago de Cuba
Ñico Saquito,Ocupación,compositor
Ñico Saquito,Ciudadanía,Cuba
Ñico Saquito,Fecha de nacimiento,1901-02-13
Ñico Saquito,Fecha de defunción,1982-08-04
Ñico Saquito,Ocupación,cantante
Ñico Saquito,Ocupación,compositor de canciones
Ñico Saquito,Ocupación,guitarrista
Guillermo Cabrera Infante,Lugar de nacimiento,Gibara
Guillermo Cabrera Infante,Ocupación,guionista
Guillermo Cabrera Infante,Ciudadanía,España
Guillermo Cabrera Infante,Obra notable,Tres tristes tigres
Guillermo Cabrera Infante,Premio recibido,Premio Miguel de Cervantes
Guillermo Cabrera Infante,Fecha de nacimiento,1929-04-22
Guillermo Cabrera Infante,Fecha de defunción,2005-02-21
Guillermo Cabrera Infante,Ocupación,escritor
Guillermo Cabrera Infante,Ocupación,poeta
Guillermo Cabrera Infante,Ocupación,traductor
Guillermo Cabrera Infante,Ocupación,periodista
Guillermo Cabrera Infante,Ocupación,ensayista
Guillermo Cabrera Infante,Ocupación,lingüista
Guillermo Cabrera Infante,Premio recibido,Beca Guggenheim
Guillermo Cabrera Infante,Premio recibido,Premio Biblioteca Breve
Guillermo Cabrera Infante,Ciudadanía,Reino Unido
Guillermo Cabrera Infante,Ciudadanía,Cuba
Juan Almeida Bosque,Lugar de nacimiento,La Habana
Juan Almeida Bosque,Ocupación,militar
Juan Almeida Bosque,Ciudadanía,Cuba
Juan Almeida Bosque,Educado en,Universidad de La Habana
Juan Almeida Bosque,Cargo,diputado de la Asamblea Nacional del Poder Popular de Cuba
Juan Almeida Bosque,Premio recibido,Medala de los Amigos de la revolución argelina
Juan Almeida Bosque,Fecha de nacimiento,1927-02-17
Juan Almeida Bosque,Fecha de defunción,2009-09-11
Juan Almeida Bosque,Ocupación,poeta
Juan Almeida Bosque,Ocupación,político
Félix Savón,Lugar de nacimiento,provincia de Guantánamo
Félix Savón,Ocupación,boxeador
Félix Savón,Ciudadanía,Cuba
Félix Savón,Premio recibido,Orden Olímpica de Plata
Félix Savón,Fecha de nacimiento,1967-09-22
Reinaldo Arenas Fuentes,Lugar de nacimiento,Aguas Claras
Reinaldo Arenas Fuentes,Ocupación,escritor
Reinaldo Arenas Fuentes,Ciudadanía,Cuba
Reinaldo Arenas Fuentes,Obra notable,Antes que anochezca
Reinaldo Arenas Fuentes,Premio recibido,Beca Guggenheim
Reinaldo Arenas Fuentes,Fecha de nacimiento,1943-07-16
Reinaldo Arenas Fuentes,Fecha de defunción,1990-12-07
Reinaldo Arenas Fuentes,Ocupación,poeta
Reinaldo Arenas Fuentes,Ocupación,bibliotecario
Reinaldo Arenas Fuentes,Ocupación,dramaturgo
Reinaldo Arenas Fuentes,Ocupación,novelista
Iván Pedroso,Lugar de nacimiento,La Habana
Iván Pedroso,Ocupación,entrenador
Iván Pedroso,Ciudadanía,Cuba
Iván Pedroso,Fecha de nacimiento,1972-12-17
Iván Pedroso,Ocupación,atleta
