entidad,relacion,objeto
Enrique Ayala Mora,Lugar de nacimiento,Ibarra
Enrique Ayala Mora,Ocupación,político
Enrique Ayala Mora,Ciudadanía,Ecuador
Enrique Ayala Mora,Educado en,Universidad de Oxford
Enrique Ayala Mora,Empleador,Universidad de Oxford
Enrique Ayala Mora,Miembro de,Consejo Nacional de Evaluación y Acreditación de la Educación Superior del Ecuador
Enrique Ayala Mora,Cargo,presidente
Enrique Ayala Mora,Fecha de nacimiento,1950-11-13
Enrique Ayala Mora,Ocupación,historiador
Enrique Ayala Mora,Ocupación,profesor universitario
Enrique Ayala Mora,Ocupación,periodista
Enrique Ayala Mora,Educado en,Universidad de Essex
Enrique Ayala Mora,Educado en,Pontificia Universidad Católica del Ecuador
Enrique Ayala Mora,Empleador,Organización de los Estados Americanos
Enrique Ayala Mora,Empleador,Universidad de Glasgow
Enrique Ayala Mora,Empleador,Universidad de Washington
Enrique Ayala Mora,Empleador,Facultad Latinoamericana de Ciencias Sociales
Enrique Ayala Mora,Empleador,Universidad Nacional Mayor de San Marcos
Enrique Ayala Mora,Empleador,Universidad Pablo de Olavide
Enrique Ayala Mora,Empleador,Universidad de Nápoles Federico II
Enrique Ayala Mora,Empleador,El Comercio
Enrique Ayala Mora,Miembro de,Academia Nacional de Historia de Ecuador
Enrique Ayala Mora,Empleador,"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca"
Enrique Ayala Mora,Empleador,Pontificia Universidad Católica del Ecuador
Enrique Ayala Mora,Empleador,Universidad Central del Ecuador
Enrique Ayala Mora,Empleador,Universidad Andina Simón Bolívar
Enrique Ayala Mora,Empleador,Universidad del Valle
Enrique Ayala Mora,Empleador,Universidad Internacional de Andalucía
Enrique Ayala Mora,Empleador,Consejo Nacional de Educación Superior
Enrique Ayala Mora,Empleador,Ministerio de Relaciones Exteriores
Enrique Ayala Mora,Cargo,diputado Nacional del Ecuador
Enrique Ayala Mora,Miembro de,Asamblea Constituyente de Ecuador
Leonidas Proaño,Lugar de nacimiento,Cantón Ibarra
Leonidas Proaño,Ocupación,teólogo
Leonidas Proaño,Ciudadanía,Ecuador
Leonidas Proaño,Cargo,obispo diocesano
Leonidas Proaño,Premio recibido,Premio Bruno Kreisky
Leonidas Proaño,Fecha de nacimiento,1910-01-29
Leonidas Proaño,Fecha de defunción,1988-08-31
Fausto Gaibor García,Lugar de nacimiento,Bolívar
Fausto Gaibor García,Ocupación,sacerdote católico
Fausto Gaibor García,Ciudadanía,Ecuador
Fausto Gaibor García,Cargo,obispo auxiliar
Fausto Gaibor García,Fecha de nacimiento,1952-01-24
Fausto Gaibor García,Fecha de defunción,2021-06-04
Fausto Gaibor García,Lugar de nacimiento,Guaranda
Fausto Gaibor García,Ocupación,obispo católico
Fausto Gaibor García,Cargo,obispo titular
Fausto Gaibor García,Cargo,obispo diocesano
Pedro Reino,Lugar de nacimiento,Cantón Cevallos
Pedro Reino,Ocupación,escritor
Pedro Reino,Ciudadanía,Ecuador
Pedro Reino,Premio recibido,Concurso Nacional de Literatura Miguel Riofrío
Pedro Reino,Fecha de nacimiento,1951-02-09
Pedro Reino,Ocupación,novelista
Ebelio Ordóñez,Lugar de nacimiento,Esmeraldas
Ebelio Ordóñez,Ocupación,futbolista
Ebelio Ordóñez,Ciudadanía,Brasil
Ebelio Ordóñez,Fecha de nacimiento,1973-11-03
Ebelio Ordóñez,Ciudadanía,Ecuador
Francisco Ovidio Vera Intriago,Ocupación,sacerdote católico
Francisco Ovidio Vera Intriago,Ciudadanía,Ecuador
Francisco Ovidio Vera Intriago,Cargo,obispo auxiliar
Francisco Ovidio Vera Intriago,Fecha de nacimiento,1942-10-07
Francisco Ovidio Vera Intriago,Fecha de defunción,2014-04-21
Francisco Ovidio Vera Intriago,Ocupación,obispo católico
Francisco Ovidio Vera Intriago,Cargo,obispo titular
Máximo Tenorio,Lugar de nacimiento,Esmeraldas
Máximo Tenorio,Ocupación,futbolista
Máximo Tenorio,Ciudadanía,Ecuador
Máximo Tenorio,Fecha de nacimiento,1969-09-30
Dannes Coronel,Lugar de nacimiento,Naranjal
Dannes Coronel,Ocupación,futbolista
Dannes Coronel,Ciudadanía,Ecuador
Dannes Coronel,Fecha de nacimiento,1973-05-24
Dannes Coronel,Fecha de defunción,2020-07-07
Germán Pavón Puente,Lugar de nacimiento,Quito
Germán Pavón Puente,Ocupación,sacerdote católico
Germán Pavón Puente,Ciudadanía,Ecuador
Germán Pavón Puente,Educado en,Pontificia Universidad Gregoriana
Germán Pavón Puente,Cargo,obispo diocesano
Germán Pavón Puente,Fecha de nacimiento,1936-10-28
Germán Pavón Puente,Fecha de defunción,2025-02-22
Germán Pavón Puente,Ocupación,obispo emérito
Germán Pavón Puente,Ocupación,obispo católico
Enrique Ayala Mora,Miembro de,Cruz Roja Ecuatoriana
Enrique Ayala Mora,Empleador,Universidad de Cuenca
Enrique Ayala Mora,Empleador,Hoy
Enrique Ayala Mora,Empleador,Instituto de Altos Estudios Nacionales
Enrique Ayala Mora,Empleador,Ministerio de Educación y Cultura de Ecuador
Enrique Chediak,Lugar de nacimiento,Quito
Enrique Chediak,Ocupación,director de fotografía
Enrique Chediak,Ciudadanía,Ecuador
Enrique Chediak,Fecha de nacimiento,1967-01-01
Enrique Chediak,Ocupación,director de cine
José Luis Perlaza,Lugar de nacimiento,Esmeraldas
José Luis Perlaza,Ocupación,futbolista
José Luis Perlaza,Ciudadanía,Ecuador
José Luis Perlaza,Fecha de nacimiento,1981-10-06
Miguel Febres Cordero,Lugar de nacimiento,Cuenca
Miguel Febres Cordero,Ocupación,educador
Miguel Febres Cordero,Ciudadanía,Ecuador
Miguel Febres Cordero,Fecha de nacimiento,1854-11-07
Miguel Febres Cordero,Fecha de defunción,1910-02-12
Luis Alberto Costales,Lugar de nacimiento,Riobamba
Luis Alberto Costales,Ocupación,poeta
Luis Alberto Costales,Ciudadanía,Ecuador
Luis Alberto Costales,Fecha de nacimiento,1926-12-24
Luis Alberto Costales,Fecha de defunción,2006-02-01
Luis Alberto Costales,Ocupación,político
Héctor Chiles,Lugar de nacimiento,Carchi
Héctor Chiles,Ocupación,ciclista
Héctor Chiles,Ciudadanía,Ecuador
Héctor Chiles,Fecha de nacimiento,1971-02-11
Raúl Vallejo,Lugar de nacimiento,Manta
Raúl Vallejo,Ocupación,escritor
Raúl Vallejo,Ciudadanía,Ecuador
Raúl Vallejo,Educado en,Universidad Católica de Santiago de Guayaquil
Raúl Vallejo,Obra notable,Fiesta de solitarios
Raúl Vallejo,Premio recibido,Premio Joaquín Gallegos Lara
Raúl Vallejo,Fecha de nacimiento,1959-06-28
Raúl Vallejo,Ocupación,político
Raúl Vallejo,Ocupación,académico
Raúl Vallejo,Premio recibido,Premio Aurelio Espinosa Pólit
Raúl Vallejo,Premio recibido,Premio Real Academia Española
Raúl Vallejo,Premio recibido,Premio José Lezama Lima
Raúl Vallejo,Premio recibido,Premio de Narrativa Miguel Donoso Pareja
Raúl Vallejo,Premio recibido,Premio Joaquín Gallegos Lara de novela
Raúl Vallejo,Premio recibido,Premio Joaquín Gallegos Lara de cuento
Raúl Vallejo,Obra notable,Acoso textual
Sebastián Cordero,Lugar de nacimiento,Quito
Sebastián Cordero,Ocupación,guionista
Sebastián Cordero,Ciudadanía,Ecuador
Sebastián Cordero,Educado en,Universidad del Sur de California
Sebastián Cordero,Obra notable,"Ratas, ratones, rateros"
Sebastián Cordero,Fecha de nacimiento,1972-05-23
Sebastián Cordero,Ocupación,director de cine
Sebastián Cordero,Ocupación,productor de cine
Gerardo Guevara,Lugar de nacimiento,Quito
Gerardo Guevara,Ocupación,compositor
Gerardo Guevara,Ciudadanía,Ecuador
Gerardo Guevara,Educado en,École Normale de Musique de Paris
Gerardo Guevara,Fecha de nacimiento,1930-09-23
Gerardo Guevara,Fecha de defunción,2024-12-23
Gerardo Guevara,Ocupación,director de orquesta
Gerardo Guevara,Ocupación,pianista
Gerardo Guevara,Ocupación,director de coro
Luis Saritama,Lugar de nacimiento,Loja
Luis Saritama,Ocupación,futbolista
Luis Saritama,Ciudadanía,Ecuador
Luis Saritama,Fecha de nacimiento,1983-10-20
Juan Montalvo,Lugar de nacimiento,Ambato
Juan Montalvo,Ocupación,escritor
Juan Montalvo,Ciudadanía,Ecuador
Juan Montalvo,Fecha de nacimiento,1830-04-13
Juan Montalvo,Fecha de defunción,1889-01-17
Juan Montalvo,Ocupación,Q70098210
Juan Montalvo,Ciudadanía,Colombia
Carlos Feraud,Lugar de nacimiento,Loja
Carlos Feraud,Ocupación,futbolista
Carlos Feraud,Ciudadanía,Ecuador
Carlos Feraud,Fecha de nacimiento,1990-10-23
Leonidas Proaño,Ocupación,profesor
Leonidas Proaño,Premio recibido,Premio de Derechos Humanos de las Naciones Unidas
Leonidas Proaño,Ocupación,sacerdote católico
Leonidas Proaño,Ocupación,obispo católico
Ibarra,país,Ecuador
Ibarra,instancia de,ciudad
Ibarra,situado en la entidad territorial administrativa,Cantón Ibarra
