entidad,relacion,objeto
Guillermo Rivera,Lugar de nacimiento,San Salvador
Guillermo Rivera,Ocupación,entrenador
Guillermo Rivera,Ciudadanía,El Salvador
Guillermo Rivera,Fecha de nacimiento,1969-11-25
Guillermo Rivera,Ocupación,futbolista
Guillermo Manuel Ungo,Lugar de nacimiento,San Salvador
Guillermo Manuel Ungo,Ocupación,político
Guillermo Manuel Ungo,Ciudadanía,El Salvador
Guillermo Manuel Ungo,Educado en,Universidad de El Salvador
Guillermo Manuel Ungo,Fecha de nacimiento,1931-09-03
Guillermo Manuel Ungo,Fecha de defunción,1991-02-28
Gustavo Manzur,Ocupación,luchador
Gustavo Manzur,Ciudadanía,El Salvador
Gustavo Manzur,Fecha de nacimiento,1959-11-09
Alberto Rivas Bonilla,Lugar de nacimiento,Santa Tecla
Alberto Rivas Bonilla,Ocupación,escritor
Alberto Rivas Bonilla,Ciudadanía,El Salvador
Alberto Rivas Bonilla,Fecha de nacimiento,1891-09-04
Alberto Rivas Bonilla,Fecha de defunción,1985-11-29
Alberto Rivas Bonilla,Ocupación,médico
Alberto Rivas Bonilla,Ocupación,poeta
Wenceslao Cisneros,Lugar de nacimiento,San Salvador
Wenceslao Cisneros,Ocupación,pintor
Wenceslao Cisneros,Ciudadanía,El Salvador
Wenceslao Cisneros,Fecha de nacimiento,1823-10-04
Wenceslao Cisneros,Fecha de defunción,1878-06-12
Wenceslao Cisneros,Ocupación,caricaturista
Wenceslao Cisneros,Ocupación,litógrafo
Wenceslao Cisneros,Ciudadanía,Imperio Español
Wenceslao Cisneros,Ciudadanía,República Federal de Centroamérica
Wenceslao Cisneros,Ciudadanía,Provincias Unidas del Centro de América
Alejandro Marroquín,Lugar de nacimiento,San Salvador
Alejandro Marroquín,Ocupación,antropólogo
Alejandro Marroquín,Ciudadanía,México
Alejandro Marroquín,Educado en,Universidad de El Salvador
Alejandro Marroquín,Fecha de nacimiento,1911-03-24
Alejandro Marroquín,Fecha de defunción,1977-01-01
Alejandro Marroquín,Ciudadanía,El Salvador
Alfredo Martínez Moreno,Lugar de nacimiento,El Salvador
Alfredo Martínez Moreno,Ocupación,abogado
Alfredo Martínez Moreno,Ciudadanía,El Salvador
Alfredo Martínez Moreno,Educado en,Universidad de El Salvador
Alfredo Martínez Moreno,Miembro de,Academia Norteamericana de la Lengua Española
Alfredo Martínez Moreno,Premio recibido,Orden El Sol del Perú
Alfredo Martínez Moreno,Fecha de nacimiento,1923-09-23
Alfredo Martínez Moreno,Fecha de defunción,2021-10-02
Alfredo Martínez Moreno,Ocupación,diplomático
Alice Lardé de Venturino,Lugar de nacimiento,San Salvador
Alice Lardé de Venturino,Ocupación,científico
Alice Lardé de Venturino,Ciudadanía,El Salvador
Alice Lardé de Venturino,Fecha de nacimiento,1895-06-29
Alice Lardé de Venturino,Fecha de defunción,1983-10-14
Alice Lardé de Venturino,Ocupación,escritor
Alice Lardé de Venturino,Ocupación,compositor
Alice Lardé de Venturino,Ocupación,poeta
Aniceto Porsisoca,Lugar de nacimiento,Santa Ana
Aniceto Porsisoca,Ocupación,actor
Aniceto Porsisoca,Ciudadanía,El Salvador
Aniceto Porsisoca,Fecha de nacimiento,1928-02-24
Aniceto Porsisoca,Fecha de defunción,1993-06-09
Ramón A. Valdez,Lugar de nacimiento,Jayaque
Ramón A. Valdez,Ocupación,futbolista
Ramón A. Valdez,Ciudadanía,El Salvador
Ramón A. Valdez,Fecha de nacimiento,1985-08-07
David Granadino,Lugar de nacimiento,Santa Ana
David Granadino,Ocupación,compositor
David Granadino,Ciudadanía,El Salvador
David Granadino,Fecha de nacimiento,1876-06-13
David Granadino,Fecha de defunción,1933-08-22
Antonio Bonilla,Lugar de nacimiento,San Salvador
Antonio Bonilla,Ocupación,pintor
Antonio Bonilla,Ciudadanía,El Salvador
Antonio Bonilla,Fecha de nacimiento,1954-01-01
Armando Arteaga,Lugar de nacimiento,Guatemala
Armando Arteaga,Ocupación,revolucionario
Armando Arteaga,Ciudadanía,El Salvador
Armando Arteaga,Fecha de defunción,1975-05-10
Armando Molina,Lugar de nacimiento,San Salvador
Armando Molina,Ocupación,escritor
Armando Molina,Ciudadanía,El Salvador
Armando Molina,Educado en,Universidad Estatal de San Francisco
Armando Molina,Fecha de nacimiento,1957-08-18
Armando Molina,Ocupación,periodista
Henry Escobar,Lugar de nacimiento,Guazapa
Henry Escobar,Ocupación,futbolista
Henry Escobar,Ciudadanía,El Salvador
Henry Escobar,Fecha de nacimiento,1990-05-25
Henry Hernández,Lugar de nacimiento,San Salvador
