entidad	instancia_de	subclase_de
Ariel Fernández	ser humano	
Paula Ormaechea	ser humano	
Mercedes Paz	ser humano	
Elisa Carrió	ser humano	
José Evaristo de Uriburu	ser humano	
Arturo Umberto Illia	ser humano	
Carlos Pellegrini	ser humano	
Ed Nelson	ser humano	
Noemí Simonetto	ser humano	
Raimundo Orsi	ser humano	
Paz Lenchantin	ser humano	
Enrique Cadícamo	ser humano	
Marcelo Gallardo	ser humano	
Violet Jessop	ser humano	
Graciela Fernández Meijide	ser humano	
John Llewellyn Moxey	ser humano	
Ceferino Denis	ser humano	
Fabián Assmann	ser humano	
Paolo Quinteros	ser humano	
Bruno Sanfilippo	ser humano	
Bahía Blanca	gran ciudad, sede de gobierno, localidad, ciudad de Argentina	
biofísico	profesión	físico, biólogo
Argentina	país, nación, república federal, estado soberano, estado confesional	
Universidad Nacional del Sur	universidad pública	
Universidad de Chicago	escuela, universidad privada, universidad de investigación, institución educativa privada sin fines de lucro	
Sunchales	municipio, ciudad de Argentina	
tenista	profesión	deportista, jugador competitivo
San Miguel de Tucumán	gran ciudad, ciudad de Argentina	
Resistencia	municipio, gran ciudad, municipio de Argentina, ciudad de Argentina	
abogado	profesión jurídica	jurista
Universidad Nacional del Nordeste	universidad pública, editor de acceso abierto	
diputado de Argentina	cargo, ocupación	diputado
Salta	municipio, gran ciudad, ciudad de Argentina	
Universidad de Buenos Aires	universidad pública, editor de acceso abierto	
vicepresidente de la Nación Argentina	cargo público	vicepresidente
Pergamino	sede de gobierno, localidad, ciudad de Argentina	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
presidente de la Nación Argentina	cargo público	presidente, presidente de la Republica, jefe del Gobierno
Buenos Aires	entidad territorial administrativa, circunscripción electoral, capital federal, distrito federal, ciudad autónoma, ciudad principal, gran ciudad, ciudad de Argentina, división administrativa de primer nivel, ciudad más grande, capital nacional	
España	página de desambiguación de Wikimedia	
Brockton	ciudad de Estados Unidos	
baloncestista	profesión	deportista, jugador competitivo
Estados Unidos	asentamiento	
Universidad de Connecticut	Universidad de concesión de tierras, sea grant institution, space grant institution, institución educativa pública de los Estados Unidos, universidad pública de investigación	
velocista	profesión, disciplina deportiva	corredor
Avellaneda	página de desambiguación de Wikimedia	
