entidad	instancia_de	subclase_de
Alejandro Jodorowsky	ser humano	
Camila Vallejo	ser humano	
José Luis Sánchez Besa	ser humano	
Álvaro PeñaRojas	ser humano	
Álvaro Véliz	ser humano	
Mauricio Zenteno	ser humano	
Teresa de Los Andes	ser humano	
Valentina Vargas	ser humano	
Nicolas Jaar	ser humano	
Claudio Bravo	ser humano	
Cristián Sánchez	ser humano	
Luis Corvalán	ser humano	
Adán Vergara	ser humano	
Luis Fernando Sepúlveda	ser humano	
John Williams Wilson	ser humano	
Gonzalo el melano	ser humano	
Otto Georgi	ser humano	
Carlos Escobar Casarin	ser humano	
Astrid Fugellie	ser humano	
Eduardo Carrasco Pirard	ser humano	
René Quitral	ser humano	
Felipe Camiroaga	ser humano	
Agustín Abarca	ser humano	
Ángel Parra	ser humano	
Pedro Lemebel	ser humano	
Soledad Alvear	ser humano	
Bárbara Riveros	ser humano	
Manuela Martelli	ser humano	
Andrés Bello	ser humano	
Marina Arrate	ser humano	
Orlando Letelier	ser humano	
Gioconda Belli	ser humano	
José Donoso	ser humano	
Esteban Paredess	ser humano	
Gonzalo Fierro	ser humano	
Roberto Matta	ser humano	
Pedro Subercaseaux	ser humano	
Alejandro Amenábar	ser humano	
Santiago Cabrera	ser humano	
Eladio Vicuña Aránguiz	ser humano	
Rodrigo Tello	ser humano	
Mariano Latorre	ser humano	
Max Jara	ser humano	
José Santos León	ser humano	
Jorge Valdivia	ser humano	
Nicanor Parra	ser humano	
Ignacio Domeyko	ser humano	
Jorge Alvarado	ser humano	
Rafael Tarud Siwady	ser humano	
Clotario Blest	ser humano	
Héctor Mancilla	ser humano	
Milovan Mirosevic	ser humano	
Ximena Abarca	ser humano	
Carlos Keller	ser humano	
Abelardo Bustamante	ser humano	
Manuel Trucco	ser humano	
Abraham Oyanedel	ser humano	
Mariano Egaña	ser humano	
Raúl Ruiz	ser humano	
Claudia Acuña	ser humano	
Marta Brunet	ser humano	
Rodrigo Bascuñán	ser humano	
Andrés Morales	ser humano	
Lucila Vit	ser humano	
Krishna de Caso	ser humano	
Javiera Suárez	ser humano	
Pamela Jiles	ser humano	
Teodoro Ribera	ser humano	
Fernando Flores Labra	ser humano	
Vicar	ser humano	
Adolfo Reginato	ser humano	
Patricio Pérez Díaz	ser humano	
Claudio Bunster	ser humano	
Javiera Contador	ser humano	
Catalina Saavedra	ser humano	
Tonka Tomicic	ser humano	
Sigrid Alegría	ser humano	
Natalia Duco	ser humano	
Guillermo Subiabre	ser humano	
Agustín de Eyzaguirre	ser humano	
Javier Prado Aránguiz	ser humano	
Jacques Chonchol	ser humano	
Laura Allende	ser humano	
Elías Lafertte	ser humano	
Patricio Yáñez	ser humano	
Luis Marín Barahona	ser humano	
Karol Cariola	ser humano	
Camila Moreno	ser humano	
Francisco Javier Errázuriz Ossa	ser humano	
Jonathan Cisternas	ser humano	
Elías Figueroa	ser humano	
Américo	ser humano	
Tom Araya	ser humano	
Pablo Pozo	ser humano	
Jean Beausejour	ser humano	
Leonel	ser humano	
Humberto Suazo	ser humano	
Marco Estrada	ser humano	
Alberto Fuguet	ser humano	
Gonzalo Garrido	ser humano	
Adolfo Assor	ser humano	
Fabián Orellana	ser humano	
Miguel Pinto	ser humano	
Gerardo Vacarezza	ser humano	
Mario Pardo Acuña	ser humano	
Hans Martínez	ser humano	
Osvaldo Rodríguez	ser humano	
Gustavo BecerraSchmidt	ser humano	
María José Urzúa	ser humano	
Humberto Maturana	ser humano	
Marko Biskupovic	ser humano	
Miguel Arteche	ser humano	
Ana Maria Palma Flandez	ser humano	
Anacleto Angelini	ser humano	
Hugo Droguett	ser humano	
Elizabeth Avellán Ochoa	ser humano	
Laurence Golborne	ser humano	
Carlos Caszely	ser humano	
Héctor Croxatto	ser humano	
Pedro Humberto Allende	ser humano	
Ismael Fuentes	ser humano	
Juan Martínez de Rozas	ser humano	
Waldo Ponce	ser humano	
Diego Dublé Urrutia	ser humano	
Carlos Pezoa Véliz	ser humano	
Cirilo Vila	ser humano	
Bernardino Piñera	ser humano	
Jorge Hourton	ser humano	
Cecilia Bolocco	ser humano	
Dagoberto Godoy Fuentealba	ser humano	
Mauricio Rosenmann Taub	ser humano	
Francisco de la Lastra	ser humano	
Pablo Contreras	ser humano	
Abraham Aguilera Bravo	ser humano	
Sebastián Miranda	ser humano	
Juan Egaña	ser humano	
Rodrigo Millar	ser humano	
Gary Medel	ser humano	
Gabriel Brncic	ser humano	
