entidad	instancia_de	subclase_de
John Leguizamo	ser humano	
Carlos Lehder	ser humano	
Johan Vonlanthen	ser humano	
Hernán Darío Gómez	ser humano	
Mario Alberto Yepes Díaz	ser humano	
Elda Neyis Mosquera	ser humano	
Ernesto McCausland	ser humano	
Jaider Romero	ser humano	
Juan Guillermo Domínguez	ser humano	
Edixon Perea	ser humano	
Taliana Vargas	ser humano	
Stefanía Fernández	ser humano	
Piedad Bonnett Vélez	ser humano	
Cristina Umaña	ser humano	
Óscar Córdoba	ser humano	
Óscar Muñoz Oviedo	ser humano	
Óscar Ruiz	ser humano	
Óscar Sevilla	ser humano	
Oscar Urbina Ortega	ser humano	
Oscar Álvarez	página de desambiguación de nombres humanos	
Bogotá	distrito capital, asentamiento, municipio bajo jurisdicción central, gran ciudad, municipio de Colombia, división administrativa de primer nivel, ciudad más grande	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Encanto	álbum	
Armenia	país, estado soberano	
criminal	clase social, ocupación	malhechor, persona vinculada al derecho
Alemania	página de desambiguación de Wikimedia	
Cartel de Medellín	cartel	
Santa Marta	gran ciudad, distrito de Colombia, ciudad de Colombia	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Suiza	página de desambiguación de Wikimedia	
Colombia	país, república, Estado laico, estado soberano	
Medellín	ciudad, gran ciudad, municipio de Colombia, distrito de Colombia	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Cali	ciudad, gran ciudad, municipio de Colombia	
Barranquilla	gran ciudad, municipio de Colombia, distrito de Colombia	
escritor	profesión, ocupación	autor, artista, penman
Premio Nacional de Periodismo Simón Bolívar	distinción, premio de periodismo	
Valledupar	ciudad, gran ciudad, municipio de Colombia	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
Mérida	municipio de España	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Venezuela	país, estado soberano	
Miss Universo 2009	edición de concurso de belleza	
Amalfi	comuna de Italia	
Universidad de los Andes	página de desambiguación de Wikimedia	
libro	tipo de publicación, tipo de medios de comunicación	documento, medio de comunicación, publicación, producto
Ibagué	ciudad, gran ciudad, municipio de Colombia	
taekwondista	profesión, ocupación	deportista
Villavicencio	gran ciudad, municipio de Colombia, ciudad de Colombia	
abogado	profesión jurídica	jurista
Universidad Autónoma de Colombia	universidad, editor de acceso abierto	
Departamento del Meta	departamento de Colombia	
Albacete	municipio de España	
ciclista	subcultura, ocupación	deportista, ciclista
España	página de desambiguación de Wikimedia	
Arboledas	municipio de Colombia	
sacerdote católico	vocación católica	presbítero, clérigo católico
Seminario Mayor de Bogotá	institución académica, seminario católico	
obispo auxiliar	función episcopal, vocación católica	obispo, obispo católico, obispo titular, vicario general, ayudante
Antioquia	departamento de Colombia	
Felipe González	ser humano	
Íngrid Betancourt	ser humano	
John Parra	ser humano	
Alfredo Di Stéfano	ser humano	
Leiton Jiménez	ser humano	
Lupe Fuentes	ser humano	
Edgar Rentería	ser humano	
Ricardo Londoño	ser humano	
Juan Pablo Montoya	ser humano	
Julián Rodas	ser humano	
José de Jesús Pimiento Rodriguez	ser humano	
Sara Tunes	ser humano	
Luis Gabriel Romero Franco	ser humano	
Álvaro Uribe Vélez	ser humano	
Pablo Escobar	ser humano	
Carlos Valderrama	ser humano	
Jhon Córdoba	ser humano	
Andrés Escobar	ser humano	
Elkin Soto	ser humano	
Gustavo Gómez Córdoba	ser humano	
Sevilla	municipio de España	
Universidad de Lovaina	universidad	
Fundación Alternativas	organización, think tank	
político	profesión, frecuentemente	profesional
Francia	estado desaparecido, reinos germánicos	
Instituto de Estudios Políticos de París	organización, Gran Escuela, universidad pública, grand établissement, editorial académica	
miembro de la Cámara de Representantes de Colombia	cargo	diputado
Buenos Aires	asentamiento	
Gran Cruz de la Real Orden del Mérito Deportivo	grado de una orden	Gran Cruz de la Orden Nacional de la Legión de Honor
Chocó	departamento de Colombia	
Santa Cruz de Tenerife	municipio de España	
Fans of Adult Media and Entertainment Awards	pornographic film award	
beisbolista	profesión	deportista, jugador competitivo
Guante de Oro	premio deportivo	
ingeniero	profesión, cargo	trabajador
piloto de automovilismo	profesión, ocupación	piloto de carreras
Pereira	ciudad, gran ciudad	
Zapatoca	municipio de Colombia	
cardenal	título, cargo, vocación católica	príncipe, clérigo católico
compositor	ocupación, profesión musical	autor, músico
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Universidad Harvard	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Universidad de Georgetown	universidad católica, universidad privada, universidad de investigación, institución educativa privada sin fines de lucro	
Rionegro	página de desambiguación de Wikimedia	
director	Wikidata property to identify contributors to audiovisual works	
Istmina	municipio de Colombia	
Manizales	ciudad de Colombia	
Pontificia Universidad Javeriana	universidad católica, universidad pontificia, editor de acceso abierto, universidad jesuita	
Caracol Radio	emisora de radio	
Sofía Vergara	ser humano	
Freddy Rincón	ser humano	
Zulay Henao	ser humano	
Catalina Sandino	ser humano	
Iván Ramiro Córdoba	ser humano	
Danna García	ser humano	
Mariana Duque Mariño	ser humano	
Fabiola Zuluaga	ser humano	
René Higuita	ser humano	
Manuel Acisclo Córdoba	ser humano	
Hugo Rodallega	ser humano	
Arley Dinas	ser humano	
Silvestre Dangond	ser humano	
Pedro Rubiano Sáenz	ser humano	
Harold Reina	ser humano	
Álex Aguinaga	ser humano	
Álvaro José Domínguez	ser humano	
Álvaro Escobar-Molina	ser humano	
Álvaro Gómez	página de desambiguación de nombres humanos	
Álvaro Mejía	ser humano	
productor de cine	profesión del cine	film people, productor
American Broadcasting Company	cadena de radio, cadena de televisión, emisora de televisión, productora de cine	
Buenaventura	página de desambiguación de Wikimedia	
actor de televisión	profesión	actor
Anexo:Oso de Plata a la mejor interpretación femenina	categoría de un premio, premio a la mejor actriz protagonista	
músico	ocupación, profesión musical	artista
actor de teatro	oficio del teatro	actor, theatre maker
tenista	profesión	deportista, jugador competitivo
Cúcuta	ciudad, ciudad fronteriza, gran ciudad, área metropolitana, municipio de Colombia	
Candelaria	municipio, asentamiento	
Caloto	municipio de Colombia	
Urumita	municipio de Colombia	
Premio Grammy Latino por mejor álbum de cumbia/vallenato	Premios Grammy Latinos, categoría de un premio	premio al mejor álbum (por género)
Cartago	ciudad-Estado, emporio, ciudad antigua	
Yumbo	municipio de Colombia	
Ibarra	página de desambiguación de Wikimedia	
Ecuador	país, estado soberano	
El Cerrito	página de desambiguación de Wikimedia	
nadador	ocupación	deportista
Santa Rosa de Cabal	municipio de Colombia	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
Gabriel García Márquez	ser humano	
Fernando Botero	ser humano	
Soraya	nombre femenino	
Jeison Murillo	ser humano	
Clara Rojas	ser humano	
Carmen Villalobos	ser humano	
Anabel Torres	ser humano	
Omaira Sánchez	ser humano	
Andrés Mosquera	ser humano	
Laura Restrepo	ser humano	
Ximena Restrepo	ser humano	
Jery Sandoval	ser humano	
Caterine Ibargüen	ser humano	
Enrique Santos Montejo	ser humano	
Álvaro Mutis	ser humano	
Álvaro Pachón	ser humano	
Álvaro Sierra	ser humano	
Ángela Becerra	ser humano	
Élder Herrera	ser humano	
Consuelo González de Perdomo	ser humano	
Aracataca	municipio de Colombia	
Universidad Nacional de Colombia	universidad pública, editor de acceso abierto	
El amor en los tiempos del cólera	obra literaria	
pintor	profesión, Q778000	trabajador de la construcción, menestral
El Gato de Raval	estatua, escultura	
Point Pleasant	página de desambiguación de Wikimedia	
Premio Grammy latino por mejor álbum cantautor	categoría de un premio	
Universidad del Rosario	universidad privada, editor de acceso abierto	
Universidad de Antioquia	universidad pública, universidad de investigación, editor de acceso abierto	
Armero	municipio de Colombia	
estudiante	grupo social, ocupación, grupo de humanos	estudiante
Delirio	personaje de cómic, entidad cósmica, cambiante ficticio	
velocista	profesión, disciplina deportiva	corredor
Chile	país, nación, país transcontinental, estado soberano, república democrática	
Apartadó	municipio de Colombia	
atleta	ocupación	deportista
El Tiempo	página de desambiguación de Wikimedia	
embajador de Colombia en Chile	cargo	embajador de Colombia, embajador en Chile
La nieve del almirante	obra literaria	
Premio Miguel de Cervantes	premio literario	
Sogamoso	municipio de Colombia	
Premio Azorín	premio literario	
Pitalito	municipio de Colombia	
Juan Manuel Santos	ser humano	
Shakira	ser humano	
Juanes	ser humano	
Hilario Cuenú	ser humano	
Carlos Rodas	ser humano	
Catherine Siachoque	ser humano	
Felipa Palacios	ser humano	
Diego Gómez	ser humano	
Néstor Salazar	ser humano	
Alberto Lleras Camargo	ser humano	
Rubén Salazar Gómez	ser humano	
Fulgencio Berdugo	ser humano	
Rosibel García Mena	ser humano	
Edmar Castañeda	ser humano	
Jacquin Strouss Lucena	ser humano	
Jaime Bermúdez Merizalde	ser humano	
Bruce Graham	ser humano	
Diego Salazar Quintero	ser humano	
John Jairo Culma	ser humano	
Universidad Estatal de Kansas	Universidad de concesión de tierras, universidad pública, institución educativa pública de los Estados Unidos	
The Elders	organización, organización no gubernamental	
Universal Music Group	empresa de capital abierto, major, compañía discográfica, record label group	
Carolina del Príncipe	municipio de Colombia	
guitarrista	ocupación, profesión musical	intérprete de instrumento de cuerda pulsada
Universidad Pontificia Bolivariana	universidad, universidad pontificia, editor de acceso abierto	
premio Grammy al mejor álbum de pop latino	categoría de un premio	premio al mejor álbum
Tuluá	municipio de Colombia	
Bojayá	municipio de Colombia	
Palmira	ciudad, municipio de Cuba	
Academia Estadounidense de las Artes y las Ciencias	organización sin fines de lucro, sociedad erudita, editorial académica	
obispo católico	función episcopal, vocación católica	obispo, sacerdote católico, pastor, ministro, clérigo católico
Pontificia Universidad Gregoriana	universidad pontificia, universidad jesuita	
cardenal presbítero	cargo, orden episcopal, función episcopal	cardenal
Jamundí	municipio de Colombia	
Universidad de Columbia	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Canciller de Colombia	cargo	ministro de Relaciones Exteriores
La Cumbre	página de desambiguación de Wikimedia	
arquitecto	propiedad de Wikidata relacionada con la arquitectura, Wikidata property to identify contributors to works or products	
Universidad Case de la Reserva Occidental	universidad privada, institución educativa privada sin fines de lucro, editor de acceso abierto	
halterófilo	ocupación	atleta de fuerza
Helena Araújo	ser humano	
Rodrigo Lara Bonilla	ser humano	
Carlos Alberto Sánchez	ser humano	
Daniel Jositsch	ser humano	
Roberto Guerrero	ser humano	
Alejandra Azcárate	ser humano	
Jorge Aurelio Noguera Cotes	ser humano	
Jorge Eliécer Gaitán	ser humano	
Radamel Falcao García	ser humano	
César Ham	ser humano	
Carlos Valdés	ser humano	
Carlos Bacca	ser humano	
Cristhian Bonilla	ser humano	
Gerardo Reichel-Dolmatoff	ser humano	
Ever Palacios	ser humano	
Hamilton Ricard	ser humano	
Danilson Córdoba	ser humano	
Hernán Gaviria	ser humano	
Edwin García	ser humano	
Leopoldo Rother	ser humano	
Neiva	página de desambiguación de Wikimedia	
Universidad Externado de Colombia	universidad, editor de acceso abierto	
senador de Colombia	cargo	senador
Zúrich	gemeinde de Suiza, ciudad universitaria, capital cantonal de Suiza, ciudad más grande	
Universidad de San Galo	universidad pública, universidad de investigación	
Universidad de Zúrich	universidad, comprehensive university	
piloto de Fórmula Uno	profesión	piloto de automovilismo
comediante	profesión, ocupación	actor, artista
alcalde de Bogotá	cargo público	alcalde
diputado del Congreso Nacional de Honduras	cargo	parlamentario
Honduras	país, estado soberano	
Supía	municipio de Colombia	
Salzburgo	ciudad estatutaria de Austria, gemeinde de Austria, distrito de Austria, gran ciudad, lugar con derechos de ciudad y privilegios	
antropólogo	profesión	científico social
Austria	país, república, Estado sin litoral, estado soberano, estado de derecho, estado sucesor	
Sorbonne Universidad de París	universidad en Francia, entidad desaparecida	
Academia Nacional de Ciencias de los Estados Unidos	academia de ciencias, editorial, empresa productora, editorial académica	
Carepa	municipio de Colombia	
Breslavia	ciudad con derechos de distrito	
Eduardo Santos	ser humano	
Jacobo Arenas	ser humano	
Amparo Ángel	ser humano	
Manuel María Paz	ser humano	
Abraham Gonzalez	ser humano	
Francisco de Paula Santander	ser humano	
Karina Arroyave	ser humano	
Santiago Botero	ser humano	
Gustavo Rojas Pinilla	ser humano	
Camilo Zúñiga	ser humano	
Piedad Córdoba	ser humano	
Juan Pablo Suárez	ser humano	
Carlos Huertas	ser humano	
Pedro Alonso López	ser humano	
Augusto Barrera	ser humano	
Catalina Denis	ser humano	
Angelino Garzón	ser humano	
