entidad	instancia_de	subclase_de
Manuel María de Peralta y Alfaro	ser humano	
Anthony Velásquez	ser humano	
Rudy Dawson	ser humano	
Turichiquí	ser humano	
Antonio Álvarez Desanti	ser humano	
Argenis Fernández	ser humano	
Tatiana Echeverri Fernández	ser humano	
Walter Ferguson	ser humano	
Lorena Clare Facio	ser humano	
Manuel Mora Fernández	ser humano	
Rogelio Sotela	ser humano	
Dora Emilia Mora de Retana	ser humano	
Enrique Guier Sáenz	ser humano	
Rodrigo Madrigal Nieto	ser humano	
Carlos Cortés	ser humano	
Carlos Luis Fallas	ser humano	
Carmen Lyra	ser humano	
Denis Hamlett	ser humano	
Esteban Ramírez	ser humano	
Fabián Dobles	ser humano	
Cartago	ciudadEstado, emporio, ciudad antigua	
político	profesión, frecuentemente	profesional
Costa Rica	país, estado soberano	
Instituto de Derecho Internacional	organización no gubernamental, organización sin fines de lucro, sociedad erudita, academia nacional	
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América	rango diplomático	ministro plenipotenciario, enviado extraordinario
Cantón de San José	cantón de Costa Rica	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Limón	ciudad, distrito de Costa Rica	
Fernando Correque	ser humano	
Ujarrás	asentamiento	
San José	ciudad, entidad territorial administrativa, gran ciudad, ciudad más grande	
abogado	profesión jurídica	jurista
Escuela de Derecho Harvard	facultad de derecho, editorial, escuela de postgrado	
Corredor	página de desambiguación de Wikimedia	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
pintor	profesión, Q778000	trabajador de la construcción, menestral
escultor	profesión artística	artesano, artista visual, artista plástico
músico	ocupación, profesión musical	artista
calypsonian	instrumentalista, ocupación	cantante, calypso musician
primera dama o primer caballero de Costa Rica	cargo	
Orden de Isabel la Católica	orden, condecoración civil	
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
escritor	profesión, ocupación	autor, artista, penman
Provincia de Guanacaste	provincia de Costa Rica	
botánico	profesión	biólogo
Universidad de Costa Rica	universidad, editor de acceso abierto	
Gran Cruz de la Orden de Isabel la Católica	grado de una orden	Gran Cruz
La Nación	página de desambiguación de Wikimedia	
Alajuela	ciudad, distrito de Costa Rica	
Sorbonne Universidad de París	universidad en Francia, entidad desaparecida	
La Galería de las Mujeres de Costa Rica	salón de la fama	
Universidad George Mason	universidad, institución educativa pública de los Estados Unidos	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
productor de televisión	profesión, cargo	profesional de medios, productor
San Antonio	sede de condado, ciudad de Estados Unidos, gran ciudad	
Margarita Penón Góngora	ser humano	
Román Arrieta Villalobos	ser humano	
Bernie Wright McClean	ser humano	
Jorge Rossi Chavarría	ser humano	
Abel Guier	ser humano	
Agapito Jiménez Zamora	ser humano	
Alberto Cañas Escalante	ser humano	
Alberto Salom Echeverría	ser humano	
Alejandro Alvarado García	ser humano	
Alejandro Jenkins	ser humano	
Alejandro Sequeira	ser humano	
Alex Brenes	ser humano	
Alex Sánchez Cruz	ser humano	
Alexander Madrigal	ser humano	
Alfio Piva Mesén	ser humano	
Alfonso Chase	ser humano	
Alfredo Piedra Mora	ser humano	
Allan Oviedo	ser humano	
Allan Segura	ser humano	
Alonso Fernández Alvarez	ser humano	
Vassar College	Universidad de Artes Liberales en los Estados Unidos, institución educativa privada sin fines de lucro	
arzobispo	cargo, cargo eclesiástico, función episcopal, ocupación religiosa cristiana	obispo, eparca, cabeza de una diócesis
obispo diocesano	cargo eclesiástico, función episcopal	obispo, pastor, ordinario, clérigo diócesano, cabeza de una diócesis
Provincia de Cartago	provincia de Costa Rica	
guitarrista bajo	ocupación, profesión musical	bajista, guitarrista
León	municipio de España	
Universidad de San Carlos de Guatemala	universidad pública, editor de acceso abierto	
físico	profesión	científico físico
Universidad Harvard	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Instituto Tecnológico de Massachusetts	universidad, universidad técnica, instituto tecnológico, space grant institution, institución educativa privada sin fines de lucro, editorial académica	
jugador de póquer	profesión	jugador competitivo
Naranjo	página de desambiguación de Wikimedia	
México	país, estado soberano	
Cantón de Goicoechea	cantón de Costa Rica	
