entidad	instancia_de	subclase_de
Vida Guerra	ser humano	
Anselmo Sacasas	ser humano	
Gina Pellón	ser humano	
Roberto G. Fernández	ser humano	
Hilda Gadea	ser humano	
Anaysi Hernández	ser humano	
Yoanka González	ser humano	
Magdelín Martínez	ser humano	
Eglis Yaima Cruz	ser humano	
Ariadna Sintes	ser humano	
Martha Beatriz Roque	ser humano	
Ñico Saquito	ser humano	
Guillermo Cabrera Infante	ser humano	
Juan Almeida Bosque	ser humano	
Félix Savón	ser humano	
Reinaldo Arenas Fuentes	ser humano	
Iván Pedroso	ser humano	
Compay Segundo	ser humano	
Ibrahim Ferrer	ser humano	
Dave Lombardo	ser humano	
La Habana	página de desambiguación de Wikimedia	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Cuba	país, país insular, Estado unitario, Estado comunista, estado soberano	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
compositor	ocupación	cinematic technician
director de orquesta	propiedad de Wikidata para elementos sobre organizaciones, propiedad de Wikidata relacionada con la música	
Cumanayagua	municipio de Cuba	
escritor	profesión, ocupación	autor, artista, penman
Francia	país, república, estado soberano	
Sagua la Grande	ciudad, municipio de Cuba	
novelista	profesión	escritor
Estados Unidos	asentamiento	
Universidad Estatal de Florida	escuela, universidad pública, institución educativa pública de los Estados Unidos	
Lima	ciudad, megaciudad, característica geográfica, gran ciudad, ciudad más grande	
Universidad Nacional Mayor de San Marcos	monumento histórico, bien cultural, editor de acceso abierto, universidad pública de investigación	
Cienfuegos	ciudad, municipio de Cuba, gran ciudad	
yudoca	profesión, ocupación	budoka, deportista, artista marcial
Santa Clara	isla	
ciclista de pista	profesión	ciclista
Camagüey	ciudad, municipio de Cuba, gran ciudad	
atleta	ocupación	deportista
Italia	país, estado soberano	
Sancti Spíritus	página de desambiguación de Wikimedia	
tirador		cinturón
España	página de desambiguación de Wikimedia	
economista	profesión, grupo de ocupaciones de la CIUO	científico social, profesionales sociales y religiosos
Santiago de Cuba	ciudad, municipio de Cuba, gran ciudad	
Gibara	ciudad, municipio de Cuba	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
Tres tristes tigres	obra literaria	
Premio Miguel de Cervantes	premio literario	
militar	profesión, ocupación	empleado, guerrero
Universidad de La Habana	universidad pública, editor de acceso abierto	
diputado de la Asamblea Nacional del Poder Popular de Cuba	cargo	parlamentario
provincia de Guantánamo	provincia de Cuba	
boxeador	profesión	deportista, artista marcial
Orden Olímpica de Plata	grado de una orden	
Aguas Claras	página de desambiguación de Wikimedia	
Antes que anochezca	película	
Beca Guggenheim	beca, evento anual	premio académico
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Malabana, (película de 2001)	película	
Dúo Los Compadres	dúo musical, dúo de hermanos o hermanas	
San Luis	ciudad, municipio, gran ciudad	
Buena Vista Social Club	página de desambiguación de Wikimedia	
premio Grammy al mejor álbum latino tropical	categoría de un premio	
baterista	ocupación, profesión musical	percusionista
Slayer	banda de heavy metal	
Federico Laredo Brú	ser humano	
Abel Prieto	ser humano	
Abel Santamaría	ser humano	
Abelardo Colomé Ibarra	ser humano	
Orlando Bosch Ávila	ser humano	
Tomás Estrada Palma	ser humano	
Harold Gramatges	ser humano	
Adalberto Álvarez	ser humano	
Cándido Fabré	ser humano	
Miguel Calderón Gómez	ser humano	
Rafael Cañizares	ser humano	
Alejandro Ortiz Herrera	ser humano	
Pablo García	ser humano	
José Miguel Álvarez	ser humano	
Óscar Varona	ser humano	
Tomás Herrera Martínez	ser humano	
Franklin Standard	ser humano	
Conrado Pérez	ser humano	
Ruperto Herrera Tabio	ser humano	
Juan Domecq	ser humano	
San Juan de los Remedios	asentamiento	
abogado	profesión jurídica	jurista
Presidente de Cuba	cargo público	jefe de Estado, presidente de la Republica
Pinar del Río	ciudad, municipio de Cuba, gran ciudad	
Unión de Escritores y Artistas de Cuba	asociación cultural	
Encrucijada	página de desambiguación de Wikimedia	
Héroe de la República de Cuba	título honorífico	
Provincia de Villa Clara	provincia de Cuba	
terrorista	ocupación	delincuente, delincuente, criminal, activista político, activista, extremista, radical
Agencia Central de Inteligencia	agencias independientes del gobierno de Estados Unidos, Servicio de Inteligencia Extranjera	
Bayamo	ciudad, municipio de Cuba, gran ciudad	
Premio Tomás Luis de Victoria	premio de música	
baloncestista	profesión	deportista, jugador competitivo
Las Villas	página de desambiguación de Wikimedia	
Salón de la Fama FIBA	Salón de la Fama del Deporte	distinción
Celia Cruz	ser humano	
Serafina Núñez	ser humano	
Armando Valladares	ser humano	
Mario Cimarro	ser humano	
Aramís Álvarez Pedraza	ser humano	
Desi Arnaz	ser humano	
Mongo Santamaría	ser humano	
Wifredo Lam	ser humano	
Daniel Núñez	ser humano	
Vilma Espin Guillois	ser humano	
Tomás Regalado	ser humano	
Chelo Alonso	ser humano	
Pedro Juan Gutiérrez	ser humano	
José Carlos Somoza	ser humano	
Amir Valle	ser humano	
Ana Mendieta	ser humano	
Tania León	ser humano	
Xiomara Alfaro	ser humano	
Regla Torres	ser humano	
Machito	ser humano	
La Sonora Matancera	grupo musical	
Premio Lo Nuestro a la Excelencia	categoría de un premio	
Advisory Council		concejo
embajador	rango diplomático, título de autoridad, cargo	jefe de misión, plenipotenciario
Centro de Educación Artística	institución educativa	
ajedrecista	profesión	deportista, abstract game player, chess person, jugador de juego de tablero
actor de televisión	profesión	actor
Medalla de Victoria Segunda Guerra Mundial	United States service medals of the world wars	
Premio Billboard Salón de la Fama	categoría de un premio	premio de música
dibujante arquitectónico	profesión, Q778000	delineante
Academia Nacional de Bellas Artes San Alejandro	academia	
halterófilo	ocupación	atleta de fuerza
ingeniero	profesión, cargo	trabajador
Instituto Tecnológico de Massachusetts	universidad, universidad técnica, instituto tecnológico, space grant institution, institución educativa privada sin fines de lucro, editorial académica	
Premio Lenin de la Paz	distinción	
político	profesión, frecuentemente	profesional
Secundaria Immaculata-Lasalle	escuela secundaria superior	
alcalde de Miami	cargo público	alcalde de una localidad de Florida
Matanzas	ciudad, municipio de Cuba, gran ciudad	
El Rey de La Habana	película	
psiquiatra	profesión, cargo	médico especialista, profesional de la salud mental
Universidad Complutense de Madrid	universidad pública	
La caverna de las ideas	obra escrita	
Guantánamo	ciudad, municipio de Cuba, gran ciudad	
Premio Rodolfo Walsh	premio literario	
escultor	profesión artística	artesano, artista visual, artista plástico
Universidad de Iowa	universidad, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Premio de Roma	beca, premio artístico, concurso	examen
College de Brooklyn de la Universidad de la Ciudad de Nueva York	college, institución educativa pública de los Estados Unidos	
