entidad	instancia_de	subclase_de
Enrique Ayala Mora	ser humano	
Leonidas Proaño	ser humano	
Fausto Gaibor García	ser humano	
Pedro Reino	ser humano	
Ebelio Ordóñez	ser humano	
Francisco Ovidio Vera Intriago	ser humano	
Máximo Tenorio	ser humano	
Dannes Coronel	ser humano	
Germán Pavón Puente	ser humano	
Enrique Chediak	ser humano	
José Luis Perlaza	ser humano	
Miguel Febres Cordero	ser humano	
Luis Alberto Costales	ser humano	
Héctor Chiles	ser humano	
Raúl Vallejo	ser humano	
Sebastián Cordero	ser humano	
Gerardo Guevara	ser humano	
Luis Saritama	ser humano	
Juan Montalvo	ser humano	
Carlos Feraud	ser humano	
Ibarra	página de desambiguación de Wikimedia	
político	profesión, frecuentemente	profesional
Ecuador	país, estado soberano	
Universidad de Oxford	institución educativa universitaria, universidad pública, universidad colegiada, organización educativa, asociación caritativa exenta	
Cantón Ibarra	cantón de Ecuador	
teólogo	profesión	religioso, académico de humanidades
obispo diocesano	cargo eclesiástico, función episcopal	obispo, pastor, ordinario, clérigo diócesano, cabeza de una diócesis
Premio Bruno Kreisky	premio de la paz, premio de derechos humanos	
Bolívar	estado de Venezuela	
sacerdote católico	vocación católica	presbítero, clérigo católico
obispo auxiliar	función episcopal, vocación católica	obispo, obispo católico, obispo titular, vicario general, ayudante
Cantón Cevallos	cantón de Ecuador	
escritor	profesión, ocupación	autor, artista, penman
Concurso Nacional de Literatura Miguel Riofrío	competición, distinción	
Esmeraldas	ciudad	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Brasil	álbum	
Naranjal	municipio de México	
Pontificia Universidad Gregoriana	universidad pontificia, universidad jesuita	
director de fotografía	propiedad de Wikidata para elementos sobre películas, propiedad de Wikidata relacionada con la fotografía	
director de cine	profesión, profesión del cine	artista visual, profesional del cine, realizador, miembro del equipo de filmación
Cuenca	municipio de España	
educador	profesión	personal educativo, profesionales de la enseñanza
Riobamba	ciudad	
poeta	profesión	escritor
Carchi	apellido	
ciclista	subcultura, ocupación	deportista, ciclista
Manta	comuna de Italia	
Universidad Católica de Santiago de Guayaquil	universidad	
Fiesta de solitarios	obra literaria	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
Universidad del Sur de California	universidad privada, universidad de investigación, institución educativa privada sin fines de lucro, editor de acceso abierto	
Ratas, ratones, rateros	película	
compositor	ocupación, profesión musical	autor, músico
École Normale de Musique de Paris	conservatorio de música, edificio escolar, academia de música	
Loja	página de desambiguación de Wikimedia	
Ambato	ciudad	
Abdalá Bucaram	ser humano	
Iván Kaviedes	ser humano	
Agustín Delgado	ser humano	
Carlos Tenorio	ser humano	
Segundo Alejandro Castillo	ser humano	
Abdón Calderón Garaycoa	ser humano	
Yamile Bahamonde	ser humano	
Andrés Gómez Santos	ser humano	
Lucio Gutiérrez	ser humano	
Johanna Ordóñez	ser humano	
Carlos Julio Arosemena Tola	ser humano	
Leopoldo Benites	ser humano	
Nicolás Lapentti	ser humano	
Édison Méndez	ser humano	
Felipe Caicedo Boom	ser humano	
Ulises de la Cruz	ser humano	
José María Avilés	página de desambiguación de Wikimedia	
