entidad	instancia_de	subclase_de
Guillermo Rivera	ser humano	
Guillermo Manuel Ungo	ser humano	
Gustavo Manzur	ser humano	
Alberto Rivas Bonilla	ser humano	
Wenceslao Cisneros	ser humano	
Alejandro Marroquín	ser humano	
Alfredo Martínez Moreno	ser humano	
Alice Lardé de Venturino	ser humano	
Aniceto Porsisoca	ser humano	
Ramón A. Valdez	ser humano	
David Granadino	ser humano	
Antonio Bonilla	ser humano	
Armando Arteaga	ser humano	
Armando Molina	ser humano	
Henry Escobar	ser humano	
Henry Hernández	ser humano	
Henry Martínez	ser humano	
Benjamín Solís Menéndez	ser humano	
Bernardino Villalpando	ser humano	
Boris Pineda	ser humano	
San Salvador	entidad territorial administrativa, gran ciudad, distrito de El Salvador	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
El Salvador	país, estado soberano	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
político	profesión, frecuentemente	profesional
Universidad de El Salvador	universidad pública	
luchador	ocupación	luchador
Santa Tecla	página de desambiguación de Wikimedia	
escritor	profesión, ocupación	autor, artista, penman
pintor	profesión, Q778000	trabajador de la construcción, menestral
antropólogo	profesión	científico social
México	asentamiento	
abogado	profesión jurídica	jurista
Academia Norteamericana de la Lengua Española	sociedad erudita, regulador del idioma, editor de acceso abierto	
científico	profesión, cargo	investigador, erudito
Santa Ana	ciudad de Estados Unidos, gran ciudad, Ciudad santuario, ciudad chárter	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Jayaque	distrito de El Salvador	
compositor	ocupación, profesión musical	autor, músico
Guatemala	país, república, república bananera, estado soberano	
revolucionario	ocupación	activista político, faccioso
Universidad Estatal de San Francisco	universidad, institución educativa pública de los Estados Unidos	
Guazapa	entidad territorial administrativa, distrito de El Salvador	
boxeador	profesión	deportista, artista marcial
Chalchuapa	entidad territorial administrativa, asentamiento, distrito de El Salvador	
Talavera de la Reina	municipio de España	
obispo católico	función episcopal, vocación católica	obispo, sacerdote católico, pastor, ministro, clérigo católico
obispo de Cuba	cargo episcopal histórico	obispo diocesano, ordinario, obispo sufragáneo, obispo católico latino
ajedrecista	profesión	deportista, abstract game player, chess person, jugador de juego de tablero
C. Gerardo Perla	ser humano	
Carlos Alberto Imery	ser humano	
Carlos Alberto Soriano	ser humano	
Carlos Artiga	ser humano	
Carlos Colón-Quintana	ser humano	
Carlos Ernesto García	ser humano	
Carlos Hernández	página de desambiguación de nombres humanos	
Carmen González Huguet	ser humano	
Medardo Gómez	ser humano	
Ciro Cruz Zepeda	ser humano	
Copán Galel	ser humano	
Cuachimichin	ser humano	
Juan Felipe Toruño	ser humano	
David Galindo	ser humano	
Juan Isolino Rosa	ser humano	
Dionisio Villacorta	ser humano	
Johanna Pineda	ser humano	
Domingo Antonio de Lara	ser humano	
Elena Gallegos Rosales	ser humano	
Eleonora Beatrice Carrillo Alamanni	ser humano	
Director de la Escuela Nacional de Artes Gráficas	cargo	director de escuela
Premio Centroamericano de Literatura Rogelio Sinán	premio literario	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Universidad Baylor	universidad privada, universidad cristiana, institución educativa privada sin fines de lucro	
poeta	profesión	escritor
deportista	profesión, ocupación	personalidad del deporte
España	página de desambiguación de Wikimedia	
cacique	cargo, ocupación	político, jefe tribal
León	municipio de España	
San Francisco Gotera	ciudad, distrito de El Salvador	
Zacatecoluca	ciudad, distrito de El Salvador	
tirador		cinturón
primera dama	título honorífico, cargo	mujer, consorte, First Spouse
primera dama o primer caballero de Costa Rica	cargo	
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
Anastasio Aquino	ser humano	
Lilian Mercedes Letona	ser humano	
Andrés Ignacio Menéndez	ser humano	
Andrés del Valle	ser humano	
Herbert Anaya	ser humano	
Schafik Hándal	ser humano	
Roque Dalton	ser humano	
Anita Cristina Escher Echeverría	ser humano	
Rafael Burgos	ser humano	
Víctor Turcios	ser humano	
