entidad	instancia_de	subclase_de
Agustín Gómez	ser humano	
Agustín Iriarte	ser humano	
Alaíde Foppa	ser humano	
Harris Whitbeck	ser humano	
Alejandro Sinibaldi	ser humano	
Alfonso Bauer Paiz	ser humano	
Alfonso Enrique Barrientos	ser humano	
Alfredo Wyld	ser humano	
Adela de Torrebiarte	ser humano	
Alfonso Orantes	ser humano	
Hedras Ramos	ser humano	
Helder Torres	ser humano	
Helen Mack Chang	ser humano	
Arturo Ubico Urruela	ser humano	
Baudilio Méndez	ser humano	
Henry Raudales	ser humano	
Boby Tally	ser humano	
Boris España	ser humano	
Hernán Sandoval	ser humano	
Carlos Figueroa Ibarra	ser humano	
Guatemala	país, república, república bananera, estado soberano	
escritor	profesión, ocupación	autor, artista, penman
pintor	profesión, Q778000	trabajador de la construcción, menestral
Barcelona	ciudad, municipio de Cataluña	
España	país, Estado nación, reino, estado soberano, país mediterráneo	
Sorbonne Universidad de París	universidad en Francia, entidad desaparecida	
Universidad Nacional Autónoma de México	universidad, editor de acceso abierto, universidad pública de investigación	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Columbia University Graduate School of Journalism	escuela de periodismo, departamento universitario, escuela de postgrado	
Mazatenango	municipio de Guatemala	
político	profesión, frecuentemente	profesional
Universidad Rafael Landívar	universidad privada, universidad jesuita	
Ciudad de Guatemala	ciudad, asentamiento, gran ciudad, municipio de Guatemala, ciudad más grande, capital nacional	
Universidad de San Carlos de Guatemala	universidad pública, editor de acceso abierto	
Diputado del Congreso de Guatemala	cargo	parlamentario
compositor	ocupación, profesión musical	autor, músico
poeta	profesión	escritor
Generación del 20	colectivo de artistas, grupo de humanos	
músico	ocupación, profesión musical	artista
guitarrista	ocupación, profesión musical	intérprete de instrumento de cuerda pulsada
nadador	ocupación	deportista
Retalhuleu	ciudad, municipio de Guatemala	
activista por los derechos humanos	ocupación	activista político
Premio Right Livelihood	premio político	
violinista	cargo, ocupación, profesión musical	instrumentalista
Guastatoya	ciudad, municipio de Guatemala	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Chiquimula	página de desambiguación de Wikimedia	
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
Escuela Agrícola Panamericana	institución educativa universitaria	
sociólogo	profesión, ocupación	científico social
Carlos Illescas	ser humano	
Carlos Lapola	ser humano	
Carlos Mercedes Vásquez	ser humano	
Celso Lara	ser humano	
Cynthia del Águila	ser humano	
Claudio valerio Gaetani	ser humano	
César Augusto Palma y Palma	ser humano	
Dalia Soberanis	ser humano	
Dante Liano	ser humano	
Diego Molina Flores	ser humano	
Domingo Bethancourt	ser humano	
Edelberto Torres Rivas	ser humano	
Edwin Enríquez	ser humano	
Efraín Medina	ser humano	
Enrique Martínez Sobral	ser humano	
Enrique Solares	ser humano	
Erwin Guillermo	ser humano	
Mario Monteforte Toledo	ser humano	
Luis de Lion	ser humano	
Fabián Rodríguez	ser humano	
Premio Xavier Villaurrutia	premio literario	
Esquipulas	municipio de Nicaragua	
antropólogo	profesión	científico social
Universidad del Valle de Guatemala	universidad privada	
Ministro de Educación de Guatemala	cargo público	ministro de Educación
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
deportista	profesión, ocupación	personalidad del deporte
Chimaltenango	municipio de Guatemala	
fotógrafo	ocupación, agente	artista visual
Cobán	municipio de Guatemala	
Santa Catarina Mita	municipio de Guatemala	
ingeniero agrónomo	profesión, ocupación	ingeniero, agrónomo
Ministro de Agricultura, Ganadería y Alimentación de Guatemala	cargo público	ministro
Academia Mexicana de la Lengua	academia, academia nacional	
Presidente del Congreso de la República de Guatemala	cargo	presidente del parlamento
Carlos Solórzano	ser humano	
Carmen Rodríguez	ser humano	
Carol Zardetto	ser humano	
Catarina Castor	ser humano	
Christian López	ser humano	
Christopher Díaz-Figueroa	ser humano	
Claudio Albizuris	ser humano	
