entidad	instancia_de	subclase_de
Edgard Crisanto	ser humano	
Randy Diamond	ser humano	
Josué Discua	ser humano	
Manuel Doño	ser humano	
José Escalante	ser humano	
Kevin Espinoza	ser humano	
Bryan Róchez	ser humano	
Brayan Figueroa	ser humano	
Juan Flores Madariaga	ser humano	
Alexander García	ser humano	
Brayan García	ser humano	
Luis García Peña	ser humano	
Ana García Carías	ser humano	
Harlinton Gutiérrez	ser humano	
Hernán García Martínez	ser humano	
Franklyn Jhonson	ser humano	
Ronald Martínez Ponce	ser humano	
Henrry Mejia	ser humano	
Rubén Licona	ser humano	
Efraín López	ser humano	
Tela	página de desambiguación de Wikimedia	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Honduras	país, estado soberano	
Santa Bárbara	ciudad, comuna de Chile	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Comayagua	página de desambiguación de Wikimedia	
San Pedro Sula	gran ciudad, municipio de Honduras	
Villanueva	municipio de Filipinas	
Tegucigalpa	entidad territorial administrativa, gran ciudad, ciudad más grande	
El Porvenir	página de desambiguación de Wikimedia	
Catacamas	municipio de Honduras	
El Progreso	página de desambiguación de Wikimedia	
presidente	propiedad de Wikidata para elementos sobre organizaciones	
Universidad de Albany	universidad pública, institución educativa pública de los Estados Unidos	
Primera Dama de Honduras	título, cargo	primera dama
José Santos Guardiola	ser humano	
Puerto Cortés	municipio de Honduras	
La Ceiba	gran ciudad, municipio de Honduras	
Balfate	municipio de Honduras	
Dennis Ferrera	ser humano	
Dunia Elvir	ser humano	
Eddy Vega	ser humano	
Edgar Nuñez	ser humano	
Eduardo Arriola	ser humano	
Eduardo Bähr	ser humano	
Edwin Yobani Avila	ser humano	
María Antonieta Guillén Vásquez	ser humano	
Elizabeth Azcona Bocock	ser humano	
Elkin González	ser humano	
Elmer Marín	ser humano	
Elmer Mejia	ser humano	
Elmer Montoya	ser humano	
Elvia Alvarado	ser humano	
Elvia Reyes	ser humano	
Elvis Scott	ser humano	
Emilio Umanzor	ser humano	
Emilson Cruz	ser humano	
Enrique Flores Lanza	ser humano	
Erick Andino	ser humano	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Universidad de Phoenix	universidad, private for-profit educational institution	
Roatán	isla, asentamiento	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Brassavola de oro	distinción	
político	profesión, frecuentemente	profesional
vicepresidente	cargo, título corporativo, ocupación	alto cargo, adjunto, oficial
Universidad de Notre Dame	universidad católica, universidad privada, institución educativa privada sin fines de lucro, editor de acceso abierto, editorial académica	
La Libertad	municipio de Filipinas	
Sonaguera	municipio de Honduras	
activista por los derechos humanos	ocupación	activista político
esgrimista	ocupación	deportista
Olanchito	municipio de Honduras	
abogado	profesión jurídica	jurista
Erick Martínez Ávila	ser humano	
Mary Flake de Flores	ser humano	
Ernesto Noel Aquino	ser humano	
Esdras Padilla	ser humano	
Esteban Handal Perez	ser humano	
Fermin Galeano	ser humano	
Júnior Lacayo	ser humano	
Francisco Antonio López	ser humano	
Francisco Antonio Pavón	ser humano	
Franco Güity	ser humano	
Franklin Webster	ser humano	
Fredy Nasser	ser humano	
Félix Crisanto	ser humano	
Gabriela Núñez	ser humano	
Georgino Orellana	ser humano	
Geovanny Castro	ser humano	
Geovany Baca	ser humano	
Nahúm Espinoza	ser humano	
Gerson Rodas	ser humano	
Sami Kafati	ser humano	
Universidad Nacional Autónoma de Honduras	universidad	
Memphis	ciudad antigua, Ancient Egyptian archaeological site	
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Universidad Estatal de Luisiana	Universidad de concesión de tierras, universidad pública, universidad de investigación, institución educativa pública de los Estados Unidos	
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
Universidad de Texas en Austin	institución educativa pública de los Estados Unidos, universidad pública de investigación	
diputado del Congreso Nacional de Honduras	cargo	parlamentario
Santa Rosa de Aguán	municipio de Honduras	
Universidad de Texas A&M	universidad, Universidad de concesión de tierras, United States senior military college, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Brus Laguna	municipio de Honduras	
boxeador	profesión	deportista, artista marcial
director de cine	profesión, profesión del cine	artista visual, profesional del cine, realizador, miembro del equipo de filmación
Ramón Rosa	ser humano	
Gilberto Machado	ser humano	
Felipe Bustillo	ser humano	
Rafael Manzanares Aguilar	ser humano	
Argentina Díaz Lozano	ser humano	
Carlos Gutiérrez (diplomático)	ser humano	
Carlos Zúñiga Figueroa	ser humano	
Cirilo Nelson	ser humano	
Clementina Suárez	ser humano	
Nora Gúnera de Melgar	ser humano	
Edwin Pavón	ser humano	
Ernesto Alvarado García	ser humano	
Ernesto Bondy Reyes	ser humano	
Esteban Handal Pérez	ser humano	
Eugenio Dolmo Flores	ser humano	
Eva Cortés	ser humano	
Federico Ramírez	ser humano	
Gaby Flores	ser humano	
Gonzalo Guardiola	ser humano	
Hermán Allan Padgett	ser humano	
Universidad de San Carlos de Guatemala	universidad pública, editor de acceso abierto	
Juticalpa	gran ciudad, municipio de Honduras	
La Esperanza	asentamiento	
compositor	ocupación, profesión musical	autor, músico
Premio Nacional de Arte Pablo Zelaya Sierra	distinción	
Santa Rosa de Copán	ciudad, municipio de Honduras	
diplomático	profesión, título corporativo	estadista, alto cargo
Orden de la Cruz del Sur	orden	
Universidad de Boston	universidad, institución educativa privada sin fines de lucro, editor de acceso abierto	
botánico	profesión	biólogo
Universidad de Colorado	universidad	
escritor	profesión, ocupación	autor, artista, penman
Concepción de María	municipio de Honduras	
La Lima	municipio de Honduras	
La Unión	asentamiento	
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
