entidad	instancia_de	subclase_de
Rodulfo Brito Foucher	ser humano	
Marco Fabián de la Mora	ser humano	
Eizi Matuda	ser humano	
Stephen F. Austin	ser humano	
Rafael Coronel	ser humano	
Álvaro Corcuera	ser humano	
Álvaro Gaxiola	ser humano	
Ricardo Arredondo	ser humano	
Ángel Antonio León	ser humano	
Angel Bracho	ser humano	
Villahermosa	gran ciudad, localidad de México	
abogado	profesión jurídica	jurista
Guadalajara	página de desambiguación de Wikimedia	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
catedrático	título de autoridad, rango académico, tratamiento protocolario, ocupación	profesor universitario, research fellow
Condado de Wythe	condado de Virginia	
político	profesión, frecuentemente	profesional
Zacatecas	estado de México	
pintor	profesión, Q778000	trabajador de la construcción, menestral
Ciudad de México	ciudad, megaciudad, metrópoli, capital federal, ciudad principal, gran ciudad, entidad federativa de Mexico, ciudad más grande	
sacerdote católico	vocación católica	presbítero, clérigo católico
saltador	profesión	deportista
boxeador	profesión	deportista, artista marcial
México	asentamiento	
Aarón Galindo	ser humano	
Ana Rosa Payán Cervera	ser humano	
Fausto Manuel Pinto Rosas	ser humano	
Genaro García Luna	ser humano	
Manuel Camacho	ser humano	
Gerardo Torrado	ser humano	
Pablo Barrera Acosta	ser humano	
Omar Bravo	ser humano	
Guadalupe Victoria	ser humano	
Jared Borgetti	ser humano	
Culiacán	ciudad, localidad de México, city in Mexico	
ingeniero	profesión, cargo	trabajador
Jalisco	estado de México	
Los Mochis	cabecera municipal, localidad de México	
Tamazula de Victoria	asentamiento	
Xavier Cortés Rocha	ser humano	
Eduardo Hernández Moncada	ser humano	
Pedro Armendáriz	ser humano	
Manuel M. Ponce	ser humano	
Martin Vasquez	ser humano	
Francisco Fonseca	ser humano	
Manuel Uribe Garza	ser humano	
Miguel Bernal Jiménez	ser humano	
Antonio Attolini Lack	ser humano	
Tulio Demicheli	ser humano	
Tampico	localidad de México	
arquitecto	propiedad de Wikidata relacionada con la arquitectura, Wikidata property to identify contributors to works or products	
XalapaEnríquez	gran ciudad, localidad de México	
compositor	ocupación, profesión musical	autor, músico
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Buenos Aires	entidad territorial administrativa, circunscripción electoral, capital federal, distrito federal, ciudad autónoma, ciudad principal, gran ciudad, ciudad de Argentina, división administrativa de primer nivel, ciudad más grande, capital nacional	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
Hubertus von Hohenlohe	ser humano	
Abelardo L. Rodríguez	ser humano	
Miguel Ángel Ruiz Macías	ser humano	
Max Ludwig Cetto Day	ser humano	
Raúl Rojas	ser humano	
Alfonso Rojo de la Vega	ser humano	
Metro	city of Indonesia	
Franz Mayer	ser humano	
Paul Westheim	ser humano	
Fernando Espinosa	ser humano	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Heroica Guaymas	gran ciudad, localidad de México	
militar	profesión, ocupación	empleado, guerrero
escritor	profesión, ocupación	autor, artista, penman
Coblenza	entidad territorial administrativa, Kreisstadt, gran ciudad, municipio urbano de Alemania, distrito urbano de RenaniaPalatinado	
informático teórico	profesión	científico, analista de sistemas, technology specialist
luchador profesional	profesión	luchador, atleta profesional
Mannheim	centro regional mayor, Residenz, ciudad universitaria, gran ciudad, Stadtkreis, municipio urbano de Alemania	
fotógrafo	ocupación, agente	artista visual
Eschwege	villa, Kreisstadt, municipio urbano de Alemania	
Octavio Paz	ser humano	
Alfonso Cuarón	ser humano	
Mario Molina	ser humano	
Lila Downs	ser humano	
Orlando Salido	ser humano	
Rosario María Gutiérrez Eskildsen	ser humano	
Ron Chernow	ser humano	
Gerónimo	ser humano	
Carlos Pellicer Cámara	ser humano	
Florencia de Saracho	ser humano	
Federico Gamboa	ser humano	
Frida Kahlo	ser humano	
Antonio Arias Bernal	ser humano	
Vicente Zarazúa	ser humano	
Louis C.K.	ser humano	
Jonathan dos Santos	ser humano	
Esteban Gutiérrez	ser humano	
Agustín I de México	ser humano	
Adolfo Best Maugard	ser humano	
Adolfo Bautista	ser humano	
Adolfo González	ser humano	
Adolfo Miguel Castaño Fonseca	ser humano	
Adolfo Mexiac	ser humano	
Adolfo Mújica y Sáyago	ser humano	
Adolfo Sánchez Vázquez	ser humano	
León Trotski	ser humano	
Patricia Navidad	ser humano	
José Eduardo de Cárdenas	ser humano	
Manuel Mondragón	ser humano	
Omar Arellano	ser humano	
Lorena Ochoa	ser humano	
Salma Hayek	ser humano	
Cameron Diaz	ser humano	
Pablo de Escandón	ser humano	
Andrés Guardado	ser humano	
Luis Buñuel	ser humano	
Sara Ramírez	ser humano	
Raúl Valerio	ser humano	
Germán Valdés	ser humano	
Jorge Ibargüengoitia	ser humano	
Emiliano Zapata	ser humano	
Enrique González Martínez	ser humano	
Joaquín Reyes Chávez	ser humano	
Alejandro González Iñárritu	ser humano	
Felipe Calderón	ser humano	
Adolfo Antonio Suárez Rivera	ser humano	
Arturo Rosenblueth Stearns	ser humano	
Carlos Vela	ser humano	
José Joaquín Fernández de Lizardi	ser humano	
Simón Radowitzky	ser humano	
Francisco Bramón	ser humano	
Rudy Youngblood	ser humano	
Francisco León de la Barra	ser humano	
Patricia Espinosa Cantellano	ser humano	
Raúl Cárdenas	ser humano	
Antonio Salazar	ser humano	
María Inés Teresa del Santísimo Sacramento	ser humano	
Mario Van Peebles	ser humano	
Alfonso Montemayor	ser humano	
Tomás Garrido Canabal	ser humano	
Octavio Ocampo	ser humano	
