entidad	instancia_de	subclase_de
Ernesto Cardenal	ser humano	
Claribel Alegría Vides	ser humano	
Nora Astorga	ser humano	
Bárbara Carrera	ser humano	
Fernando Cardenal	ser humano	
Miguel d'Escoto Brockmann	ser humano	
Violeta Chamorro	ser humano	
Adolfo Díaz Recinos	ser humano	
Rubén Darío	ser humano	
Pablo Antonio Vega Mantilla	ser humano	
René Schick Gutiérrez	ser humano	
Bianca Jagger	ser humano	
Gioconda Belli	ser humano	
María Romero Meneses	ser humano	
Enrique Bolaños Geyer	ser humano	
Anastasio Somoza García	ser humano	
Omar Cabezas	ser humano	
Benito Rosales	ser humano	
Augusto César Sandino	ser humano	
Anastasio Somoza Debayle	ser humano	
Argentina	país, nación, república federal, estado soberano, estado confesional	
escritor	profesión, ocupación	autor, artista, penman
Nicaragua	país, estado soberano	
Universidad de Columbia	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Casa de los tres mundos	centro artístico	
Estelí	página de desambiguación de Wikimedia	
escritor de literatura infantil	profesión, ocupación	escritor
El Salvador	país, estado soberano	
Universidad George Washington	universidad privada, universidad de investigación, institución educativa privada sin fines de lucro, editor de acceso abierto	
comendador de la Orden de la Estrella de la Solidaridad Italiana	grado de una orden	comendador
Managua	municipio de Nicaragua, gran ciudad, ciudad más grande	
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
Universidad Católica de América	universidad católica	
embajador	rango diplomático, título de autoridad, cargo	jefe de misión, plenipotenciario
Bluefields	página de desambiguación de Wikimedia	
actor de televisión	profesión	actor
actor de cine	profesión del cine	actor, film people
Granada	municipio de España	
político	profesión, frecuentemente	profesional
ministro de Educación	cargo público, cargo	ministro
Los Ángeles	asentamiento	
sacerdote	ocupación religiosa	clérigo
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Columbia University Graduate School of Journalism	escuela de periodismo, departamento universitario, escuela de postgrado	
Organización de las Naciones Unidas	organización intergubernamental, organización internacional	
Rivas	página de desambiguación de Wikimedia	
Presidente de Nicaragua	cargo público	presidente, jefe del Gobierno
Alajuela	ciudad, distrito de Costa Rica	
Ciudad Darío	municipio de Nicaragua	
Azul...	obra literaria	
cónsul	rango diplomático, cargo	diplomático
sacerdote católico	vocación católica	presbítero, clérigo católico
obispo titular	cargo, cargo eclesiástico, función episcopal, vocación católica	obispo católico
Orden El Sol del Perú	orden estatal	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Reino Unido	país, país insular, estado soberano, poder colonial	
Instituto de Estudios Políticos de París	organización, Gran Escuela, universidad pública, grand établissement, editorial académica	
Premio Right Livelihood	premio político	
España	país, Estado nación, reino, estado soberano, país mediterráneo	
La mujer habitada	obra literaria	
Academia Nicaragüense de la Lengua	sociedad erudita	
monja	ocupación religiosa	monje
Nindirí	municipio de Nicaragua	
Universidad de San Luis	universidad, edificio, institución educativa privada sin fines de lucro	
San Marcos	página de desambiguación de Wikimedia	
León	municipio de España	
miembro de la Asamblea Nacional de Nicaragua	cargo	parlamentario
Niquinohomo	municipio de Nicaragua	
Academia Militar de los Estados Unidos	academia militar, museo militar, institución educativa pública de los Estados Unidos, Direct Reporting Unit	
Luis Enrique	ser humano	
Sebastián Uriza	ser humano	
Evaristo Carazo	ser humano	
David Nicolás Osorno	ser humano	
Fernando Guzmán Solórzano	ser humano	
Vicente Cuadra y Ruy Lugo	ser humano	
Arnoldo Alemán	ser humano	
Florencio Xatruch	ser humano	
Carlos Fonseca Amador	ser humano	
Fabio Gadea	ser humano	
Adán Cárdenas	ser humano	
Máximo Jerez Tellería	ser humano	
José Núñez	ser humano	
Rosalío Cortés	ser humano	
Benjamín Lacayo Sacasa	ser humano	
Roberto Martínez Lacayo	ser humano	
José María Guerrero	ser humano	
Juan José Estrada Morales	ser humano	
Justo Abaunza	ser humano	
Miguel Ramón Morales	ser humano	
Somoto	ciudad, municipio de Nicaragua	
compositor	ocupación, profesión musical	autor, músico
Salsa Giants	grupo musical	
premio Grammy al mejor álbum latino tropical	categoría de un premio	
Tipitapa	página de desambiguación de Wikimedia	
abogado	profesión jurídica	jurista
Universidad Nacional Autónoma de Nicaragua	universidad	
Honduras	país, estado soberano	
Universidad Nacional Autónoma de NicaraguaLeón	universidad	
presidente de Honduras	cargo público	presidente de la Republica, jefe del Gobierno
Matagalpa	página de desambiguación de Wikimedia	
Ocotal	ciudad, municipio de Nicaragua	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Universidad de Pisa	organización, archivo, universidad pública, editor de acceso abierto	
diplomático	profesión, título corporativo	estadista, alto cargo
Monumento Nacional Archipiélago de Solentiname	área protegida, grupo de islas	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
Masaya	gran ciudad	
Nicoya	página de desambiguación de Wikimedia	
Capitanía general de Guatemala	capitanía general del Imperio español	
Mercedes Tenorio	ser humano	
Miguel Ángel Sánchez López	ser humano	
Milton Bustos	ser humano	
Yolanda Blanco	ser humano	
Nicarao	ser humano	
Norfran Lazo	ser humano	
Omar Núñez	ser humano	
Orlando Vásquez	ser humano	
Oscar Danilo Blandón	ser humano	
Oswaldo Mairena	ser humano	
Pedro Miguel Arce	ser humano	
Ramiro Ortiz	ser humano	
Ramón Otoniel Olivas	ser humano	
Raúl Leguías	ser humano	
Roger Mejía	ser humano	
Rudel Calero	ser humano	
Salvador Dubois	ser humano	
Víctor Webster	ser humano	
Walter Martínez	ser humano	
Wilber Sánchez	ser humano	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
poeta	profesión	escritor
cacique	cargo, ocupación	político, jefe tribal
comandante	Dienststellung, función, ocupación	militar, jefe, comandante
Ticuantepe	municipio de Nicaragua	
nadador	ocupación	deportista
deportista	profesión, ocupación	personalidad del deporte
narcotraficante	ocupación	contrabandista
Chinandega	municipio de Nicaragua, gran ciudad	
beisbolista	profesión	deportista, jugador competitivo
Universidad de Toronto	universidad colegiada, universidad pública de investigación, Universidad en Ontario	
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Ciudad de Colón	página de desambiguación de Wikimedia	
La Libertad	municipio de Filipinas	
Diriamba	municipio de Nicaragua	
tirador		cinturón
