entidad	instancia_de	subclase_de
Federico Escobar	ser humano	
Roberto Antonio Nurse	ser humano	
Abdiel J. Adames	ser humano	
Abel Bravo	ser humano	
Abel Castillo Pérez	ser humano	
Acracia Sarasqueta	ser humano	
Adán Gordón	ser humano	
Harold Cummings	ser humano	
Agustín Del Rosario	ser humano	
Alberto Dutary	ser humano	
Alberto S. Taylor	ser humano	
Alejandro Lagrotta	ser humano	
Alexander Andreve	ser humano	
Alfredo Cantón	ser humano	
Alfredo Phillips	ser humano	
Amelia Denis de Icaza	ser humano	
Simón Urbina	ser humano	
Améth Ramírez	ser humano	
Ana Isabel Illueca	ser humano	
Arysteides Turpana	ser humano	
Ciudad de Panamá	ciudad, gran ciudad, área metropolitana	
poeta	profesión	escritor
Panamá	país, república, estado soberano	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
México	asentamiento	
químico	profesión, término químico, grupo de ocupaciones de la CIUO	profesionales de las ciencias físicas y de la tierra, científico físico
Universidad de Panamá	universidad	
político	profesión, frecuentemente	profesional
Parita	Distritos de Panamá	
escritor	profesión, ocupación	autor, artista, penman
nadador	ocupación	deportista
pintor	profesión, Q778000	trabajador de la construcción, menestral
botánico	profesión	biólogo
Universidad de Pensilvania en Indiana	universidad, institución educativa pública de los Estados Unidos	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Nuevo Emperador	Comunidad de Panamá	
Ciudad de Colón	página de desambiguación de Wikimedia	
compositor	ocupación, profesión musical	autor, músico
Río Azúcar	arroyo	
Universidad Federal de Bahía	federal university, editor de acceso abierto	
Bolívar Urrutia Parrilla	ser humano	
Herasto Reyes	ser humano	
Buenaventura Correoso	ser humano	
Carlos Oriel Wynter Melo	ser humano	
Catherine	videojuego, deportes electrónicos de disciplina	
Diógenes Cedeño Cenci	ser humano	
Chantal Martínez	ser humano	
Chavelita Pinzón	ser humano	
Cienfue	ser humano	
Damián Castillo Durán	ser humano	
Danger Man	serie de televisión	
Demetrio Herrera Sevillano	ser humano	
Demetrio Korsi	ser humano	
Erika Ender	ser humano	
Dimitri Sucre Benjamin	ser humano	
Manuel María Ayala	ser humano	
Diógenes de la Rosa	ser humano	
Dolores Caballero Núñez	ser humano	
Dora Pérez de Zárate	ser humano	
Edgar Soberón Torchia	ser humano	
Las Tablas	página de desambiguación de Wikimedia	
militar	profesión, ocupación	empleado, guerrero
educador	profesión	personal educativo, profesionales de la enseñanza
David	personaje humano bíblico	
boxeador	profesión	deportista, artista marcial
Ancón	asentamiento, parroquia rural de Ecuador	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Premio Grammy Latino a la canción del año	categoría de un premio	
recolector de plantas	ocupación	recolector científico
Brasil	álbum	
Chepo	Distritos de Panamá	
España	página de desambiguación de Wikimedia	
Escuela Internacional de Cine y Televisión	escuela de cine	
Eduard Benitez	ser humano	
Eduardo Charpentier de Castro	ser humano	
Eduardo Jiménez	ser humano	
Elsie Alvarado de Ricord	ser humano	
Enrique Jaramillo Levi	ser humano	
Eric Hughes	ser humano	
Ernesto Jaén Guardia	ser humano	
Pedro J. Sosa	ser humano	
Esther Neira de Calvo	ser humano	
Eusebio Antonio Morales	ser humano	
Eustaciano Arias	ser humano	
Gil Colunje	ser humano	
Giovanna Benedetti	ser humano	
Gringo el Original	ser humano	
Gumercinda Páez	ser humano	
Japanese	ser humano	
Javier Alvarado	ser humano	
Javier Romero Hernández	ser humano	
Jean McLean	ser humano	
Jeptha Brawner Duncan Guillén-Arosemena	ser humano	
La Chorrera	ciudad	
ingeniero	profesión, cargo	trabajador
Penonomé	ciudad, Comunidad de Panamá	
Bolívar	estado de Venezuela	
abogado	profesión jurídica	jurista
deportista	profesión, ocupación	personalidad del deporte
Colombia	país, república, Estado laico, estado soberano	
Universidad Autónoma de Barcelona	organización, universidad pública, editor de acceso abierto	
Santiago de Veraguas	ciudad, Comunidad de Panamá	
Concurso Nacional de Literatura Ricardo Miró	distinción	
Sorbonne Universidad de París	universidad en Francia, entidad desaparecida	
Joaquín Beleño	ser humano	
Joel Santos Ureña	ser humano	
Q5932808		
Johnny Ruiz	ser humano	
Jorge Conte Porras	ser humano	
Jorge Turner	ser humano	
José Abdul Pinto	ser humano	
José Antonio Marín	ser humano	
José Daniel Crespo	ser humano	
José Diego Álvarez P.	ser humano	
José Dolores Moscote	ser humano	
José Dolores Urriola	ser humano	
Humberto Ivaldi	ser humano	
José Justavino	ser humano	
José Marmolejo	ser humano	
José María Alemán	ser humano	
José de Fábrega	ser humano	
Julio Medina	ser humano	
Julio Segundo	ser humano	
Luis Concepción	ser humano	
Boquete	Distritos de Panamá	
Instituto Nacional de Panamá	escuela	
Pesé	Comunidad de Panamá	
Universidad de Columbia	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Cartagena de Indias	obra escrita	
Real y Militar Orden de San Hermenegildo	condecoración militar	
I. Roberto Eisenmann Jr.	ser humano	
Lucho Azcarraga	ser humano	
Lucy Jaén	ser humano	
Luisita Aguilera Patiño	ser humano	
Manuel Bonilla Atencio	ser humano	
Manuel José Hurtado	ser humano	
Manuel Torres	ser humano	
Marcos G. McGrath	ser humano	
Marta Matamoros	ser humano	
María Natividad Sánchez de Stapf	ser humano	
María de la Ossa de Amador	ser humano	
Mateo Iturralde	ser humano	
Matilde Real de González	ser humano	
Mayín Correa	ser humano	
Melitón Martín Villalta	ser humano	
Miguel Tello	ser humano	
Miguel Ángel Barcasnegras	ser humano	
Mitchell Doens	ser humano	
Moisés Giroldi Vera	ser humano	
Moisés Pinzón Martínez	ser humano	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Premio María Moors Cabot	premio de periodismo	
Antón	Comunidad de Panamá	
sacerdote católico	vocación católica	presbítero, clérigo católico
Universidad de Notre Dame	universidad católica, universidad privada, institución educativa privada sin fines de lucro, editor de acceso abierto, editorial académica	
Congregación de Santa Cruz	congregación religiosa católica, organización religiosa, organización católica	
Provincia de Panamá	provincia de Panamá	
sindicalista	ocupación	activista social, activista político
catedrático	título de autoridad, rango académico, tratamiento protocolario, ocupación	profesor universitario, research fellow
