entidad	instancia_de	subclase_de
Heriberto Herrera	ser humano	
Gerardo Romero	ser humano	
Adolfino Cañete	ser humano	
Diego Figueredo	ser humano	
Delfín Benítez Cáceres	ser humano	
David Portillo	ser humano	
Ubaldo Aquino	ser humano	
Epifanio González	ser humano	
Esther Ballestrino	ser humano	
Herminio Miranda	ser humano	
José Luis Appleyard	ser humano	
Edgar Rolón	ser humano	
Lorenzo Melgarejo	ser humano	
Juan Daniel Cáceres	ser humano	
Juan Manuel Iturbe	ser humano	
Fidel Maíz	ser humano	
Eulogio Martínez	ser humano	
César Meza Colli	ser humano	
Juan Samudio	ser humano	
Livio Abramo	ser humano	
Guarambaré	municipio de Paraguay	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
España	página de desambiguación de Wikimedia	
Paraguay	país, estado soberano	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Asunción	ciudad, ciudad fronteriza, capital regional, gran ciudad, ciudad más grande	
Argentina	país, nación, república federal, estado soberano, estado confesional	
San Juan Bautista	barrio administrativo de Madrid	
San Pedro de Ycuamandiyú	ciudad, municipio de Paraguay	
árbitro de fútbol	profesión	árbitro, oficial del partido, person associated with football
árbitro FIFA	cargo	árbitro de fútbol, árbitro internacional
Fray Bentos	ciudad, ciudad fronteriza	
activista	ocupación, actitud ética	persona
Uruguay	país, Estado laico, república constitucional, estado soberano	
Universidad Nacional de Asunción	universidad, editor de acceso abierto	
Madres de Plaza de Mayo	asociación de mujeres, organización de derechos humanos	
Itá	ciudad, municipio de Paraguay	
abogado	profesión jurídica	jurista
Loma Grande	municipio de Paraguay	
Buenos Aires	asentamiento	
Arroyos y Esteros	asentamiento, municipio de Paraguay	
político	profesión, frecuentemente	profesional
Araraquara	gran ciudad, municipio de Brasil	
grabador	profesión, Q778000	orfebre
Brasil	país, república federal, Estado laico, estado soberano	
Accademia delle Arti del Disegno	archivo, academia de bellas artes, sociedad erudita, recinto artístico	
Mauricio José Troche	ser humano	
Víctor Hugo Mareco	ser humano	
Éric Ramos	ser humano	
Cayetano Ré	ser humano	
José Eduvigis Díaz	ser humano	
Tomás Romero Pereira	municipio de Paraguay	
Darío Segovia	ser humano	
Gerardo Rivas	ser humano	
Estanislao Struway	ser humano	
Carlos Franco	ser humano	
Attila Sallustro	ser humano	
Domingo Francisco Sánchez	ser humano	
Derlis Florentín	ser humano	
Elvio Romero	ser humano	
Juan Manuel Frutos	ser humano	
Neuris Delgado Ramírez	ser humano	
José Domingo Salcedo	ser humano	
Julio César Manzur	ser humano	
Amadeo Ortega	ser humano	
Lorenzo Calonga	ser humano	
Curuguaty	municipio de Paraguay	
militar	profesión, ocupación	empleado, guerrero
Carapeguá	asentamiento, municipio de Paraguay	
Pirayú	villa, municipio de Paraguay	
líder militar	profesión	oficial militar, líder
Encarnación	ciudad, ciudad fronteriza, gran ciudad	
arquitecto	propiedad de Wikidata relacionada con la arquitectura, Wikidata property to identify contributors to works or products	
Universidad Nacional de La Plata	universidad pública, editor de acceso abierto, editorial académica	
presidente de Paraguay	cargo público	presidente de la Republica, jefe del Gobierno
Piribebuy	municipio de Paraguay	
golfista	profesión, ocupación	deportista, jugador competitivo
Italia	país, estado soberano	
vicepresidente del Paraguay	cargo	
Caacupé	villa, municipio de Paraguay	
Yegros	asentamiento, municipio de Paraguay	
escritor	profesión, ocupación	autor, artista, penman
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
Bayamo	ciudad, municipio de Cuba, gran ciudad	
ajedrecista	profesión	deportista, abstract game player, chess person, jugador de juego de tablero
Concepción	gran ciudad, ciudad de Chile	
Luque	municipio	
Itauguá	municipio de Paraguay	
Luis Enrique Cáceres	ser humano	
Daniel Jara Martínez	ser humano	
Manuel Andrada	ser humano	
Mario Rubén Heyn	ser humano	
Martín Portillo	ser humano	
Lourdes Arévalos	ser humano	
Nery Kennedy	ser humano	
Nicolás Caballero	ser humano	
Oscar Velásquez	ser humano	
Paz Encina	ser humano	
Roberto González Segovia	ser humano	
Roque Vallejos	ser humano	
Rubén Ramírez Lezcano	ser humano	
Luis Alberto Castiglioni	ser humano	
Jonathan Fabbro	ser humano	
Virgilio Ferreira Romero	ser humano	
Jorge Martín Salinas	ser humano	
Lucas Melano	ser humano	
Víctor Fatecha	ser humano	
Víctor Galeano	ser humano	
arpista	ocupación, profesión musical	intérprete de instrumento de cuerda pulsada
San Lorenzo	municipio, ciudad de Argentina	
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
participante en concursos de belleza	ocupación	animador, modelo, concursante
Mbocayaty del Yhaguy	municipio de Paraguay	
atleta	ocupación	deportista
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
Hamaca paraguaya	película	
ministro de Defensa	cargo	ministro
Universidad de California en Los Ángeles	universidad, organización, campus, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Medalla de la República Oriental del Uruguay	medalla, categoría de un premio	
Itacurubí del Rosario	asentamiento, municipio de Paraguay	
ingeniero	profesión, cargo	trabajador
Universidad Católica Nuestra Señora de la Asunción	universidad, editor de acceso abierto	
Atyrá	municipio de Paraguay	
Córdoba	municipio de España	
piloto de automovilismo	profesión, ocupación	piloto de carreras
Édgar Benítez	ser humano	
Juan Carlos Wasmosy	ser humano	
José Saturnino Cardozo	ser humano	
José Félix Estigarribia	ser humano	
Nelson Cuevas	ser humano	
Pedro Pablo Peña	ser humano	
Carlos Kiese	ser humano	
Adolfo Saguier	ser humano	
Agustín Pío Barrios	ser humano	
Jorge Amado Nunes	ser humano	
Sergio Aquino	ser humano	
Juan José Medina	ser humano	
Julio dos Santos	ser humano	
José Ariel Núñez	ser humano	
Andrés Barbero	ser humano	
Renée Ferrer de Arréllaga	ser humano	
Blanca Ovelar	ser humano	
Veronica Cepede Royg	ser humano	
Luis Ángel González Macchi	ser humano	
Andrés Rodríguez Pedotti	ser humano	
Repatriación	municipio de Paraguay	
Nueva Italia	municipio de Paraguay	
México	asentamiento	
Caraguatay	página de desambiguación de Wikimedia	
Escuela Especial Militar de SaintCyr	Gran Escuela, academia militar	
Río Tebicuary	río	
compositor	ocupación	cinematic technician
Berazategui	gran ciudad, localidad, ciudad de Argentina	
Laguna Blanca	comuna de Chile	
recolector de plantas	ocupación	recolector científico
poeta	profesión	escritor
Senador Nacional de Paraguay	cargo	senador
tenista	profesión	deportista, jugador competitivo
Borja	página de desambiguación de Wikimedia	
Ángel Cardozo Lucena	ser humano	
César Zabala	ser humano	
David Meza	ser humano	
Derlis Aníbal González	ser humano	
Domingo Benegas	ser humano	
Edelmiro Arévalo	ser humano	
Egni Eckert	ser humano	
Eligio Echagüe	ser humano	
Eligio Martínez	ser humano	
Eligio Insfrán	ser humano	
Eliseo Insfrán	ser humano	
Óscar Denis Sánchez	ser humano	
Fabio Alcaraz	ser humano	
Fabio Caballero	ser humano	
Faustino Alonso	ser humano	
Felipe Ocampos	ser humano	
Fernando Giménez	ser humano	
Fidencio Oviedo	ser humano	
Fiorella Migliore	ser humano	
Francisco Ferreira	ser humano	
Capiatá	asentamiento, municipio de Paraguay	
Pedro Juan Caballero	ciudad, ciudad fronteriza, municipio de Paraguay, gran ciudad	
jugador de fútbol sala	ocupación	jugador competitivo
Presidente Franco	asentamiento, municipio de Paraguay	
Coronel Oviedo	asentamiento, municipio de Paraguay	
Ciudad del Este	ciudad, ciudad fronteriza, municipio de Paraguay, gran ciudad	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Enrique Avalos	ser humano	
Melanio Báez	ser humano	
Darío Jara	ser humano	
Óscar Aguilera	ser humano	
Victoriano Leguizamón	ser humano	
Marcelino Vargas	ser humano	
José Aveiro	ser humano	
Casiano Céspedes	ser humano	
Armando González	página de desambiguación de nombres humanos	
Antonio Cabrera	ser humano	
Francisco Sosa	ser humano	
Carlos Jara Saguier	ser humano	
Pánfilo Escobar	ser humano	
Edgar Robles	ser humano	
José de La Cruz Benítez	ser humano	
Carlos Espínola	página de desambiguación de nombres humanos	
Peter P. Klassen	ser humano	
Casiano Delvalle	ser humano	
Porfirio Rolón	ser humano	
Abraham Acevedo	ser humano	
Yaguarón	página de desambiguación de Wikimedia	
Colonia de Jortytsia	volost del Imperio ruso	
Lambaré	asentamiento, municipio de Paraguay	
yudoca	profesión, ocupación	budoka, deportista, artista marcial
Roberto Villanueva	ser humano	
Marco Ruiz	ser humano	
Marcial Ávalos	ser humano	
Pablo Centurión	ser humano	
Alberto González Gonzalito	ser humano	
Roberto Ismael Torres Baez	ser humano	
Sebelio Peralta Álvarez	ser humano	
Gustavo Benítez	ser humano	
Juan Carlos Franco	ser humano	
Roberto Cabañas	ser humano	
Pablo César Aguilar "El Capi Azulado"	ser humano	
Danilo Aceval	ser humano	
Pedro Sarabia	ser humano	
Julia Isídrez	ser humano	
Julio Santa Cruz	ser humano	
José Patricio Guggiari	ser humano	
Eligio Ayala	ser humano	
Juan Bautista Villalba	ser humano	
José Parodi	ser humano	
Silvio Pettirossi	ser humano	
sacerdote católico	vocación católica	presbítero, clérigo católico
obispo auxiliar	función episcopal, vocación católica	obispo, obispo católico, obispo titular, vicario general, ayudante
Paraguarí	municipio de Paraguay	
Pilar	municipio de Filipinas	
artista	ocupación, profesión artística	creador
Premio Príncipe Claus	premio de cultura	
escuela primaria	etapa educativa, tipo de institución educativa	escuela, institución educativa
Mbuyapey	asentamiento, municipio de Paraguay	
Universidad de Heidelberg	campus, universidad pública, comprehensive university, editor de acceso abierto, universidad pública de investigación, University of Excellence	
piloto de aviación	profesión	miembro de tripulación, operador de vehículo
Édgar González	ser humano	
Luis Alberto del Paraná	ser humano	
Carlos Morales Santos	ser humano	
Hugo Brizuela	ser humano	
Julio César Yegros	ser humano	
César Ramírez	ser humano	
Rogelio Delgado	ser humano	
Daniel Sanabria	ser humano	
Federico Santander	ser humano	
Rolando Chilavert	ser humano	
Luis Nery Caballero	ser humano	
Osmar Molinas	ser humano	
Miguel Samudio	ser humano	
Pablo Velázquez	ser humano	
Richard Ortiz	ser humano	
Modesto Denis	ser humano	
César López Fretes	ser humano	
Atilio López	ser humano	
Juan Cañete	ser humano	
Altos	página de desambiguación de Wikimedia	
Alberto y Los Trios Paraguayos	grupo musical	
Tobatí	localidad	
Villarrica	comuna de Chile, ciudad de Chile	
Héctor Lacognata	ser humano	
Ronald Huth	ser humano	
Marcos Antonio Morínigo	ser humano	
Rafael Franco	ser humano	
Luis Alberto Riart	ser humano	
Jorge Adolfo Carlos Livieres Banks	ser humano	
Ricardo Jorge Valenzuela Ríos	ser humano	
Luis Fernando Páez	ser humano	
Sergio Órteman	ser humano	
Agustín Barboza	ser humano	
Arístides Rojas	ser humano	
Pablo Daniel Escobar	ser humano	
Ángel Ortiz	ser humano	
Eladio Zárate	ser humano	
Víctor Espínola	ser humano	
Juan Francisco Escobar	ser humano	
Jorge Battaglia	ser humano	
Alejandro Da Silva	ser humano	
Alfredo Mendoza	ser humano	
Juan E. O'Leary	ser humano	
Esquina	municipio	
Montevideo	ciudad, entidad territorial administrativa, capital nacional	
Limpio	municipio de Paraguay	
Bolivia	país, república, Estado sin litoral, estado soberano	
Areguá	ciudad, municipio de Paraguay	
Alberdi	página de desambiguación de Wikimedia	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
músico	ocupación, profesión musical	artista
Salvador Jovellanos	ser humano	
Higinio Uriarte	ser humano	
Juan Bautista Gill	ser humano	
José Gaspar Rodríguez de Francia	ser humano	
Néstor Camacho	ser humano	
Francisco Solano López	ser humano	
Fulgencio Yegros	ser humano	
Raúl Vicente Amarilla	ser humano	
Federico Franco	ser humano	
Rodolfo Gamarra	ser humano	
Marcelo Estigarribia	ser humano	
Raúl Cubas Grau	ser humano	
Néstor Ortigoza	ser humano	
Willi Plett	ser humano	
Diego Gavilán	ser humano	
Josefina Plá	ser humano	
Herminio Giménez	ser humano	
Arsenio Erico	ser humano	
Ananías Maidana Palacios	ser humano	
Fabián Caballero	ser humano	
Universidad Nacional de Córdoba	universidad pública, editor de acceso abierto	
Villa Florida	ciudad, municipio de Paraguay	
cónsul	rango diplomático, cargo	diplomático
San Antonio de Padua	localidad, ciudad de Argentina	
jugador de hockey sobre hielo	profesión, ocupación	patinador sobre hielo, jugador competitivo
Canadá	parada de autobús	
Trofeo Calder	distinción	
Isla de Lobos	isla volcánica	
Academia Internacional de Cerámica	organización no gubernamental, academia	
Medalla de Oro al Mérito en las Bellas Artes	premio artístico, condecoración civil	
General Bernardino Caballero	municipio de Paraguay	
secretario general	propiedad de Wikidata para elementos sobre organizaciones	
Posadas	municipio, ciudad fronteriza, gran ciudad, ciudad de Argentina	
Augusto el más capito	ser humano	
Celso Ortiz	ser humano	
Guido Alvarenga	ser humano	
Santiago Salcedo	ser humano	
Larissa Riquelme	ser humano	
María José Maldonado	ser humano	
Yanina González	ser humano	
Lucas Barrios	ser humano	
Nelson Haedo Valdez	ser humano	
Iván Piris	ser humano	
Estefanía Küster	ser humano	
Axel Bachmann	ser humano	
Emil Hassler	ser humano	
Johann Rudolf Rengger	ser humano	
Zacarías Ortiz Rolón	ser humano	
Emiliano González Navero	ser humano	
Benigno Ferreira	ser humano	
Fernando Lugo	ser humano	
Roque Santa Cruz	ser humano	
Alfredo Stroessner	ser humano	
Universidad de Toulouse IILe Mirail	universidad en Francia, editor de acceso abierto	
Yo el Supremo	obra literaria	
San Fernando	ciudad componente	
Departamento de Caaguazú	departamento de Paraguay	
Alemania	página de desambiguación de Wikimedia	
presentador de televisión	cargo, ocupación mediática	actor, celebridad, presentador, profesional de medios, periodista de televisión, personalidad televisiva, presentador de programa
Aarau	gemeinde de Suiza, centro administrativo, capital cantonal de Suiza, capital desaparecida, ciudad de Suiza	
naturalista	profesión, cargo, ocupación	científico
Suiza	país, Estado, federación, Estado sin litoral, confederación, estado soberano	
honoris causa	grado académico, distinción, tipo de premio	grado académico, título honorífico
Baden	gemeinde de Suiza, ciudad de Suiza	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
obispo titular	cargo, cargo eclesiástico, función episcopal, vocación católica	obispo católico
San Pedro del Paraná	municipio de Paraguay	
Pontificia Universidad Gregoriana	universidad pontificia, universidad jesuita	
Escuela de Armas	institución educativa	
Óscar Cardozo	ser humano	
Antolín Alcaraz	ser humano	
Cristian Riveros	ser humano	
José Luis Chilavert	ser humano	
Justo Villar	ser humano	
Nicanor Duarte Frutos	ser humano	
Leryn Franco	ser humano	
Carlos Antonio López	ser humano	
Manuel Fleitas Solich	ser humano	
Ángel Berni	ser humano	
Francisco Arce	ser humano	
Leongino Unzaim	ser humano	
Samuel Aguilar	ser humano	
Francisco González	ser humano	
Darío Verón	ser humano	
José Montiel	ser humano	
Carlos Gamarra	ser humano	
Paulo César Da Silva	ser humano	
Edgar Barreto	ser humano	
Enrique Vera	ser humano	
Doctor Juan Eulogio Estigarribia	municipio de Paraguay	
San Roque González de Santa Cruz	municipio de Paraguay	
Julián Augusto Saldívar	municipio de Paraguay	
Cerrito	página de desambiguación de Wikimedia	
Sociedad de Geografía de Berlín	organización sin fines de lucro, sociedad geográfica	
Wiesbaden	centro regional mayor, gran ciudad, ciudad balneario, municipio urbano de Alemania, distrito urbano de Hesse, municipio optante	
San Ignacio Guazú	ciudad, municipio de Paraguay	
Ypacaraí	municipio de Paraguay	
Juan Lezcano	ser humano	
Néstor Ayala	ser humano	
Victor Caballero	ser humano	
Francisco Aguirre	página de desambiguación de nombres humanos	
Luis Vargas Peña	ser humano	
Osvaldo Martínez	ser humano	
Freddy Bareiro	ser humano	
Nelson Cabrera	ser humano	
Juana Marta Rodas	ser humano	
Catalino Rivarola	ser humano	
Ramón Delgado	ser humano	
Ben Hockin	ser humano	
Cirilo Antonio Rivarola	ser humano	
Gustavo Morínigo	ser humano	
Marcos Cáceres	ser humano	
Rodrigo Rojas	ser humano	
Ángel Franco	ser humano	
Gabriel Casaccia	ser humano	
David Galeano Olivera	ser humano	
Pedro Benítez	ser humano	
ceramista	profesión, Q778000, ocupación	artesano, artista visual
Barranquilla	gran ciudad, municipio de Colombia, distrito de Colombia	
nadador	ocupación	deportista
Reino Unido	país, país insular, estado soberano, poder colonial	
Eusebio Ayala	ser humano	
Fernando de la Mora	asentamiento, municipio de Paraguay	
Eustacio Chamorro	ser humano	
Diego Florentín	ser humano	
Quiterio Olmedo	ser humano	
José Miracca	ser humano	
Eusebio Díaz	ser humano	
Romildo Etcheverry	ser humano	
Lino Nessi	ser humano	
Saguier Carreras	ser humano	
Salvador Flores	ser humano	
Jacinto Villalba	ser humano	
Emilio Martínez	ser humano	
Santiago Benítez	ser humano	
Ernesto Cristaldo	ser humano	
Carlos Diarte	ser humano	
Facundo Machaín	ser humano	
Moisés Santiago Bertoni	ser humano	
Jorge Luis Campos	ser humano	
Ever Hugo Almeida	ser humano	
Miguel Ángel Benítez Pavón	ser humano	
Roberto Eladio Fernández Bonillo	ser humano	
profesor	profesión, cargo, ocupación	educador, académico, school staff
Lottigna	pueblo, barrio, antigua comuna de Suiza	
ornitólogo	profesión, ocupación	zoólogo de vertebrados
Salto	freguesía	
Olga Blinder	ser humano	
Ricardo Tavarelli	ser humano	
Gabriel González	ser humano	
Miguel Giacomuzzi	ser humano	
Gonzalo Cardozo	ser humano	
Rossana de los Ríos	ser humano	
Gustavo Gómez Portillo	ser humano	
Matías Rodrigo Pérez	ser humano	
Carlos Milcíades Villalba Aquino	ser humano	
Celso Esquivel	ser humano	
Claudio Silvero Acosta	ser humano	
Lino César Oviedo Silva	ser humano	
Carlos Peralta	ser humano	
Manuel Bernal	ser humano	
Dario Lezcano	ser humano	
Ricardo Boettner	ser humano	
Edmundo Mellid	ser humano	
Florencio Amarilla	ser humano	
Hernán Arsenio Pérez	ser humano	
Epifanio Méndez Fleitas	ser humano	
obispo diocesano	cargo eclesiástico, función episcopal	obispo, pastor, ordinario, clérigo diócesano, cabeza de una diócesis
General Artigas	municipio de Paraguay	
Iturbe	página de desambiguación de Wikimedia	
Juan de Mena	ser humano	
comandante	Dienststellung, función, ocupación	militar, jefe, comandante
Orden de Mayo	orden	
químico	profesión, término químico, grupo de ocupaciones de la CIUO	profesionales de las ciencias físicas y de la tierra, científico físico
Cruz de Oficial de la Orden del Mérito de la República Federal de Alemania	condecoración	
Universidad Pontificia Salesiana	seminario, universidad pontificia	
Coronel Bogado	municipio de Paraguay	
Ñemby	municipio de Paraguay	
Julio César Cáceres	ser humano	
Carlos Bonet	ser humano	
Jonathan Santana	ser humano	
Juan Bautista Agüero	ser humano	
Claudio Morel Rodríguez	ser humano	
Gilberto Penayo	ser humano	
Julio César Romero	ser humano	
Diego Barreto	ser humano	
Salvador Cabañas	ser humano	
Denis Caniza	ser humano	
Adalberto Martínez Flores	ser humano	
Víctor Cáceres	ser humano	
Roberto Acuña	ser humano	
Rafael Barrett	ser humano	
Carlos Amarilla	ser humano	
Aureliano Torres	ser humano	
Aldo Bobadilla	ser humano	
