entidad	instancia_de	subclase_de
Mario Testino	ser humano	
Miguel Núñez de Sanabria	ser humano	
Héctor Bailetti	ser humano	
Hernán Barcos	ser humano	
Edwin Retamoso	ser humano	
Luis Solari	ser humano	
Pedro Gonzales	ser humano	
Carlos Noriega	ser humano	
Luis Giampietri	ser humano	
Alberto Barton	ser humano	
Hildebrando Castro Pozo	ser humano	
Alberto Borea	ser humano	
José Gálvez Egúsquiza	ser humano	
Antonio Brack Egg	ser humano	
John Hinostroza	ser humano	
Nixa	ciudad de Estados Unidos	
Marcio Valverde	ser humano	
Manfred Oettl Reyes	ser humano	
Denisse Fajardo	ser humano	
Ottorino Sartor	ser humano	
Lima	ciudad, megaciudad, característica geográfica, gran ciudad, ciudad más grande	
fotógrafo	ocupación, agente	artista visual
Reino Unido	país, país insular, estado soberano, poder colonial	
Universidad del Pacífico	página de desambiguación de Wikimedia	
Royal Photographic Society	sociedad erudita	
abogado	profesión jurídica	jurista
España	país, Estado nación, reino, estado soberano, país mediterráneo	
Universidad Nacional Mayor de San Marcos	monumento histórico, bien cultural, editor de acceso abierto, universidad pública de investigación	
virrey del Perú	cargo histórico	virrey
Chincha Alta	ciudad	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Perú	país, estado soberano	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Bell Ville	ciudad, municipio	
Argentina	país, nación, república federal, estado soberano, estado confesional	
Abancay	ciudad	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
Presidente del Consejo de Ministros del Perú	cargo	ministro
astronauta	ocupación	científico, miembro de tripulación, viajero
Universidad del Sur de California	universidad privada, universidad de investigación, institución educativa privada sin fines de lucro, editor de acceso abierto	
Administración Nacional de Aeronáutica y del Espacio	agencias independientes del gobierno de Estados Unidos, agencia espacial	
Callao	ciudad, gran ciudad, puerto marítimo	
político	profesión, frecuentemente	profesional
Escuela Naval del Perú	academia naval	
Vicepresidente del Perú	cargo público	vicepresidente
Buenos Aires	entidad territorial administrativa, circunscripción electoral, capital federal, distrito federal, ciudad autónoma, ciudad principal, gran ciudad, ciudad de Argentina, división administrativa de primer nivel, ciudad más grande, capital nacional	
Ayabaca	ciudad	
profesor	profesión, cargo, ocupación	educador, académico, school staff
escritor	profesión, ocupación	autor, artista, penman
Pontificia Universidad Católica del Perú	instituto de investigación, universidad católica, universidad privada, universidad pontificia, editor de acceso abierto	
Comisión de Estudio de las Bases de la Reforma Constitucional del Perú	comisión gubernamental, comisión	
Departamento de Cajamarca	departmento del Perú	
diputado de Perú	cargo	diputado, congresista del Perú
Distrito de Villa Rica	distrito de Perú	
Universidad de Wurzburgo	universidad pública, comprehensive university	
Universidad Nacional Agraria La Molina	universidad	
Distrito de San José	distrito de Perú	
Múnich	Kreisstadt, metrópoli, centro financiero, Residenz, ciudad universitaria, gobierno local en Alemania, gran ciudad, municipio urbano de Alemania, urban district of Bavaria	
esquiador alpino	profesión	esquiador
Alemania	país, estado soberano	
voleibolista	profesión	deportista, jugador competitivo
jugador de voleibol de playa	profesión, ocupación	voleibolista
Distrito de Chancay	distrito de Perú	
Juan Landázuri Ricketts	ser humano	
César Calvo	ser humano	
Juan Reynoso	ser humano	
Jorge Chávez	ser humano	
Diego Valverde Villena	ser humano	
Carlos Ferrero Costa	ser humano	
Alberto Andrade Carmona	ser humano	
Esteban Canal	ser humano	
Alberto Pandolfi	ser humano	
Fernando García López	ser humano	
Saby Kamalich	ser humano	
Miguel Ángel de la Flor Valle	ser humano	
Luis Alberto Sánchez	ser humano	
María Rostworowski	ser humano	
Waldir Sáenz	ser humano	
Alejandro Villanueva	ser humano	
Orlando Prado	ser humano	
Guillermo Salas	ser humano	
Alberto Pizango	ser humano	
José Luis Carranza	ser humano	
Arequipa	asentamiento, gran ciudad	
obispo católico	función episcopal, vocación católica	obispo, sacerdote católico, pastor, ministro, clérigo católico
Universidad Nacional de San Agustín de Arequipa	universidad pública	
cardenal	título, cargo, vocación católica	príncipe, clérigo católico
Iquitos	ciudad, gran ciudad	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
Premio El Poeta Joven del Perú	premio de poesía	
París	departamento de Francia, megaciudad, metrópoli, ciudad global, territorial collectivity of France with special status, ciudad más grande	
ingeniero	profesión, cargo	trabajador
Francia	estado desaparecido, reinos germánicos	
Lycée Carnot	edificio escolar, lycée	
Medalla Aeronáutica	medalla, condecoración militar	
Universidad Complutense de Madrid	placa conmemorativa	
alcalde de Lima	cargo público	alcalde de Perú
Chiclayo	ciudad, gran ciudad	
ajedrecista	profesión	deportista, abstract game player, chess person, jugador de juego de tablero
Italia	página de desambiguación de Wikimedia	
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
Universidad Nacional de Ingeniería	universidad, editor de acceso abierto	
Distrito de Pimentel	distrito de Perú	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
militar	profesión, ocupación	empleado, guerrero
Ministro de Relaciones Exteriores del Perú	cargo	ministro de Relaciones Exteriores
Gran Cruz de la Orden El Sol del Perú	grado de una orden	Gran Cruz
científico	profesión, cargo	investigador, erudito
Beca Guggenheim	beca, evento anual	premio académico
Laureles Deportivos del Perú	distinción	
Nuevo Chimbote	distrito de Perú	
académico	rango académico, título honorífico, tipo de membresía	fellow
Alejandra Monteverde	ser humano	
Jesús Mateo Calderón Barrueto	ser humano	
Jesús Moliné Labarta	ser humano	
Jimena Misayauri	ser humano	
John Earls	ser humano	
Pedro Barreto	ser humano	
José Abelardo Quiñones Gonzales	ser humano, Héroe Nacional del Perú	
José Antonio Iturriaga	ser humano	
José Bernardo Alzedo	ser humano	
José Eduardo Velásquez Tarazona	ser humano	
José Farías	ser humano	
Hugo Garaycoa	ser humano	
José María Ortega Trinidad	ser humano	
José Paulino Ríos Reynoso	ser humano	
Juan Antonio Ugarte Pérez	ser humano	
Juan Jiménez Mayor	ser humano	
Juan de Zavala y de la Puente	ser humano	
Kevin Joseph Farrell	ser humano	
Ernesto Palacio	ser humano	
Katherine Winder	ser humano	
badmintonista	profesión	deportista, jugador competitivo
Cajabamba	página de desambiguación de Wikimedia	
sacerdote católico	vocación católica	presbítero, clérigo católico
obispo auxiliar	función episcopal, vocación católica	obispo, obispo católico, obispo titular, vicario general, ayudante
La Puebla de Alfindén	municipio de Aragón	
Universidad de Navarra	organización, universidad católica, universidad privada, editor de acceso abierto	
Universidad de Piura	universidad, universidad católica, editor de acceso abierto	
atleta	ocupación	deportista
Sídney	ciudad, metrópoli, ciudad global, centro financiero, gran ciudad, capital de estado, ciudad más grande	
historiador	profesión	académico de humanidades
Australia	país, federación, estado soberano	
Universidad de Illinois en UrbanaChampaign	universidad, Universidad de concesión de tierras, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Colegio de la Inmaculada	página de desambiguación de Wikimedia	
campeón nacional	título deportivo, título, grado o estatus	campeón, jugador competitivo
compositor	ocupación	cinematic technician
Himno Nacional del Perú	himno nacional	
Caraz	montaña	
Provincia de Oyón	provincia del Perú	
Distrito de Imperial	distrito de Perú	
Arzobispo de Arequipa	función episcopal	ordinario, arzobispo metropolitano católico romano
gobernador civil de la provincia de Barcelona	cargo público, cargo histórico	gobernador civil
Gran Cruz de la Orden de San Carlos	grado de una orden	Gran Cruz
Dublín	gran ciudad, asentamiento portuario, ciudad más grande	
filósofo	ocupación	académico de humanidades
Universidad Pontificia de Salamanca	universidad privada, universidad pontificia, editor de acceso abierto	
obispo titular	cargo, cargo eclesiástico, función episcopal, vocación católica	obispo católico
cantante de ópera	ocupación, profesión musical	cantante, cantante de música clásica, classical musician
Gustavo Gutiérrez	ser humano	
Rodolfo Cerrón Palomino	ser humano	
Abraham Valdelomar	ser humano	
Kristian Kreković	ser humano	
Akio Tamashiro	ser humano	
Piermaria Oddone	ser humano	
Martín Chambi	ser humano	
Hilda Gadea	ser humano	
Henry Ian Cusick	ser humano	
Jefferson Farfán	ser humano	
Alberto Tejada	ser humano	
Honorio Delgado	ser humano	
Juan Manuel Vargas	ser humano	
Teófilo Cubillas	ser humano	
Juan Velasco Alvarado	ser humano	
Abimael Guzmán	ser humano	
Édgar Valcárcel	ser humano	
Arturo Yamasaki	ser humano	
Manco Inca	ser humano	
Andrés Avelino Cáceres	ser humano	
profesor universitario	profesión académica	profesor, académico
Universidad Católica de Lyon	universidad católica, universidad privada	
