entidad	instancia_de	subclase_de
Lisvel Elisa Eve	ser humano	
Marianne Cruz	ser humano	
Valentín Reynoso Hidalgo	ser humano	
Jeoselyna Rodríguez	ser humano	
Violeta Stephen	ser humano	
Victor Emilio Masalles Pere	ser humano	
Wendy Cruz	ser humano	
Francisco García	página de desambiguación de nombres humanos	
Mariasela Álvarez	ser humano	
Brenda Castillo	ser humano	
Ramfis Trujillo	ser humano	
Aneury Rodríguez	ser humano	
Miriam Cruz	ser humano	
Annerys Vargas	ser humano	
Melky Cabrera	ser humano	
Yoel Tapia	ser humano	
Jhonny Peralta	ser humano	
Pedro Mir	ser humano	
Carlos Santa	ser humano	
Wilson Betemit	ser humano	
Puerto Plata	provincia de la República Dominicana	
voleibolista	profesión	deportista, jugador competitivo
República Dominicana	país, país insular, estado soberano, Estado archipelágico	
Salcedo	municipio de Filipinas	
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
comunicador	ocupación	persona
María Trinidad Sánchez	provincia de la República Dominicana	
sacerdote católico	vocación católica	presbítero, clérigo católico
Pontificia Universidad Gregoriana	universidad pontificia, universidad jesuita	
obispo titular	cargo, cargo eclesiástico, función episcopal, vocación católica	obispo católico
Santo Domingo	municipio de Filipinas	
San Pedro de Macorís	ciudad, municipio de la República Dominicana	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Barcelona	ciudad, municipio de Cataluña	
economista	profesión, grupo de ocupaciones de la CIUO	científico social, profesionales sociales y religiosos
Santiago de los Caballeros	ciudad, municipio de la República Dominicana	
ciclista	subcultura, ocupación	deportista, ciclista
baloncestista	profesión	deportista, jugador competitivo
Universidad de Louisville	institución educativa pública de los Estados Unidos, universidad pública de investigación	
arquitecto	propiedad de Wikidata relacionada con la arquitectura, Wikidata property to identify contributors to works or products	
España	página de desambiguación de Wikimedia	
productor de televisión	profesión, cargo	profesional de medios, productor
San Cristóbal	página de desambiguación de Wikimedia	
político	profesión, frecuentemente	profesional
Colegio de Comando y Estado Mayor General del Ejército de los Estados Unidos	escuela de guerra	
