entidad	instancia_de	subclase_de
Barbra Streisand	ser humano	
Andy Warhol	ser humano	
Miley Cyrus	ser humano	
Tom DeLonge	ser humano	
Mark Hoppus	ser humano	
Jon Abrahams	ser humano	
Rodger Bumpass	ser humano	
Jimmy Bennett	ser humano	
Kim Carnes	ser humano	
Chris Rock	ser humano	
Adam Carolla	ser humano	
Jonathan Winters	ser humano	
Patrice O’Neal	ser humano	
Claire Holt	ser humano	
Ned Beatty	ser humano	
Julian McMahon	ser humano	
James Coburn	ser humano	
Corbin Bleu	ser humano	
Frank Lloyd Wright	ser humano	
Eminem	ser humano	
Marilyn Monroe	ser humano	
Mitt Romney	ser humano	
Daniel Craig	ser humano	
Marlene Dietrich	ser humano	
Vince Gilligan	ser humano	
Chloë Grace Moretz	ser humano	
Alison Lohman	ser humano	
Ernst Mayr	ser humano	
Mr. Lawrence	ser humano	
Emily Dickinson	ser humano	
Troian Bellisario	ser humano	
Jennette McCurdy	ser humano	
Clancy Brown	ser humano	
Zach Gilford	ser humano	
Anna Faris	ser humano	
Miranda Cosgrove	ser humano	
Jason Lee	ser humano	
Herman Melville	ser humano	
James Meredith	ser humano	
Jimmy Kimmel	ser humano	
Greta Garbo	ser humano	
Eugenio Calabi	ser humano	
Larry Page	ser humano	
Bill Gates	ser humano	
Joan Lorring	ser humano	
Corey Dillon	ser humano	
Gregory Merson	ser humano	
Ron Howard	ser humano	
Carmelita Jeter	ser humano	
Melissa Fahn	ser humano	
Brooklyn	Distritos de la ciudad de Nueva York	
cantautor	ocupación, profesión musical	cantante, compositor de canciones
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Erasmus Hall High School	escuela secundaria superior	
Yentl	película	
Pittsburgh	sede de condado, gran ciudad, municipio autónomo de Pensilvania, ciudad de Pensilvania	
artista gráfico	profesión	artista visual
Universidad Carnegie Mellon	universidad privada, universidad de investigación, institución educativa privada sin fines de lucro	
Díptico de Marilyn	pintura	
Nashville	sede de condado, ciudad de Estados Unidos, gran ciudad, ciudadcondado	
actor de televisión	profesión	actor
Hannah Montana	serie de televisión	
Poway	ciudad de Estados Unidos	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Angels & Airwaves	grupo musical	
Ridgecrest	página de desambiguación de Wikimedia	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Universidad Estatal de California en San Marcos	universidad, institución educativa pública de los Estados Unidos	
Blink182	álbum	
Nueva York	página de desambiguación de Wikimedia	
Little Rock	sede de condado, ciudad de Estados Unidos, gran ciudad, capital de estado o región insular de Estados Unidos	
Universidad Estatal de Arkansas	universidad, institución educativa pública de los Estados Unidos, editorial académica	
Bob Esponja	serie de televisión de animación	
Seal Beach	ciudad de Estados Unidos, ciudad chárter	
músico	ocupación, profesión musical	artista
Los Ángeles	asentamiento	
Andrews	página de desambiguación de Wikimedia	
