entidad	instancia_de	subclase_de
Pablo Sandoval	ser humano	
Perla Haney-Jardine	ser humano	
Félix Hernández	ser humano	
Diego Matheuz	ser humano	
Diego Molero Bellavia	ser humano	
Puerto Cabello	ciudad, gran ciudad	
beisbolista	profesión	deportista, jugador competitivo
Venezuela	país, estado soberano	
Niterói	gran ciudad, municipio de Brasil	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Valencia	ciudad componente	
Seattle Mariners	equipo de béisbol	
Premio Cy Young	distinción	
Barquisimeto	ciudad, gran ciudad	
director de orquesta	propiedad de Wikidata para elementos sobre organizaciones, propiedad de Wikidata relacionada con la música	
violinista	cargo, ocupación, profesión musical	instrumentalista
Coro	página de desambiguación de Wikimedia	
militar	profesión, ocupación	empleado, guerrero
Academia Militar de la Armada Bolivariana	universidad, academia militar	
Fuerza Armada Nacional Bolivariana	fuerzas armadas	
Salomón Rondón	ser humano	
Caracas	ciudad, capital federal, gran ciudad, ciudad más grande	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Pastor Maldonado	ser humano	
Wilhelm Lehmann	ser humano	
Henri Pittier	ser humano	
"Carlos ""Morocho"" Hernández"	ser humano	
Inocente Carreño	ser humano	
Maracay	ciudad, gran ciudad	
piloto de automovilismo	profesión, ocupación	piloto de carreras
piloto de Fórmula Uno	profesión	piloto de automovilismo
escritor	profesión, ocupación	autor, artista, penman
Alemania	país, estado soberano	
Academia de las Ciencias y las Letras de Maguncia	organización, academia de ciencias, universidad pública de investigación	
Premio Schiller Memorial	premio literario	
Bex	gemeinde de Suiza	
naturalista	profesión, cargo, ocupación	científico
Universidad de Jena	universidad pública, comprehensive university, colección	
boxeador	profesión	deportista, artista marcial
Isla de Margarita	isla	
compositor	ocupación	cinematic technician
himno de la municipalidad de Baruta	himno regional, obra de composición musical	
César Ramón Ortega Herrera	ser humano	
Ignacio Burk	ser humano	
Alexi Amarista	ser humano	
Radamel Falcao García	ser humano	
Ignacio Andrade	ser humano	
Yaracuy	estado de Venezuela	
sacerdote católico	vocación católica	presbítero, clérigo católico
obispo diocesano	cargo eclesiástico, función episcopal	obispo, pastor, ordinario, clérigo diócesano, cabeza de una diócesis
Núremberg	gran ciudad, municipio urbano de Alemania, urban district of Bavaria	
Barcelona	ciudad, municipio de Cataluña	
Santa Marta	gran ciudad, distrito de Colombia, ciudad de Colombia	
Colombia	país, república, Estado laico, estado soberano	
Mérida	municipio de España	
presidente de Venezuela	cargo público	jefe de Estado, presidente de la Republica, jefe del Gobierno
José Ruperto Monagas	ser humano	
Lorenzo Campins y Ballester	ser humano	
Vicente Gerbasi	ser humano	
Pedro Gamarro	ser humano	
Omar Catarí	ser humano	
Aragua de Barcelona	asentamiento	
Palma de Mallorca	ciudad, municipio de España, comarca de las Islas Baleares	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
Universidad de Valencia	universidad pública, editor de acceso abierto	
Universidad Central de Venezuela	universidad pública, editor de acceso abierto	
Carabobo	estado de Venezuela	
Academia Venezolana de la Lengua	academia	
Premio Nacional de Literatura	página de desambiguación de Wikimedia	
Machiques	ciudad, gran ciudad	
Adán Chávez	ser humano	
Fernando De Ornelas	ser humano	
Alba Roversi	ser humano	
Vicente Nebrada	ser humano	
Francisco Buttó	ser humano	
Sabaneta	ciudad	
político	profesión, frecuentemente	profesional
Universidad de Los Andes	universidad pública, editor de acceso abierto	
Universidad Católica Andrés Bello	universidad católica, universidad privada, bien cultural, universidad jesuita	
bailarín de ballet	profesión	bailarín
Teatro Teresa Carreño	teatro de ópera	
Orden de Andrés Bello	orden	
Maturín	ciudad, gran ciudad	
Edwin Becerra	ser humano	
Paul Ramírez	ser humano	
Pedro Gutiérrez	ser humano	
Taniusha Mollet	ser humano	
Francisco Cervelli	ser humano	
ciclista	subcultura, ocupación	deportista, ciclista
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Lara	estado de Venezuela	
Italia	país, estado soberano	
Marena Bencomo	ser humano	
Conny Méndez	ser humano	
Bárbaro Rivas	ser humano	
Morella Muñoz	ser humano	
Reynaldo Hahn	ser humano	
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
participante en concursos de belleza	ocupación	animador, modelo, concursante
Petare	asentamiento	
pintor	profesión, Q778000	trabajador de la construcción, menestral
cantante de ópera	ocupación, profesión musical	cantante, cantante de música clásica, classical musician
Francia	país, república, estado soberano	
Conservatorio de París	conservatorio de música, Gran Escuela	
Academia de Bellas Artes	escuela	
Daniela Larreal	ser humano	
Cipriano Castro	ser humano	
Rafael Urdaneta	ser humano	
Maracaibo	ciudad, gran ciudad	
Táchira	estado de Venezuela	
Colegio Mayor de San Bartolomé	colegio mayor	
diputado de Venezuela	cargo	diputado
Andrés Rodríguez de Villegas	ser humano	
Ana Mercedes Asuaje de Rugeles	ser humano	
Roberto Petagine	ser humano	
San Juan	municipio de Filipinas	
gobernador real de La Florida	cargo	gobernador
Universidad Católica de América	universidad católica	
Nueva Esparta	estado de Venezuela	
Freddy Cachazo	ser humano	
Rafael Romero	ser humano	
Vicente Llobregat	ser humano	
físico	profesión	científico físico
Universidad Harvard	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Medalla Gribov	premio de física	
atleta	ocupación	deportista
Alicante	ciudad, gran ciudad, municipio de España, municipio de la Comunidad Valenciana	
árbitro de fútbol	profesión	árbitro, oficial del partido, person associated with football
Augusto Brandt	ser humano	
Margarita Cadenas	ser humano	
José Gregorio Hernández	ser humano	
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
director de cine	profesión, profesión del cine	artista visual, profesional del cine, realizador, miembro del equipo de filmación
Isnotú	asentamiento	
Frederick Segura	ser humano	
Fredy Cedeño	ser humano	
Fredy Reyna	ser humano	
Valera	comunidad no incorporada en los Estados Unidos	
voleibolista	profesión	deportista, jugador competitivo
músico	ocupación, profesión musical	artista
José Gregorio Valera	ser humano	
Victorino Márquez Bustillos	ser humano	
Diana Arismendi	ser humano	
Guanare	ciudad, gran ciudad	
abogado	profesión jurídica	jurista
Caballero de la Gran Cruz de la Orden de Pío IX	grado de una orden	Gran Cruz
Universidad Simón Bolívar	universidad pública, editor de acceso abierto	
Rafael Mea Vitali	ser humano	
Zair Montes	ser humano	
Gaspar Colón Moleiro	ser humano	
Giancarlo Maldonado	ser humano	
Miku	ser humano	
