entidad,relacion,objeto,source_file
Ariel Fernández,Lugar de nacimiento,Bahía Blanca,argentina
Ariel Fernández,Ocupación,biofísico,argentina
Ariel Fernández,Ciudadanía,Argentina,argentina
Ariel Fernández,Educado en,Universidad Nacional del Sur,argentina
Ariel Fernández,Empleador,Universidad de Chicago,argentina
Ariel Fernández,Premio recibido,Fellow of the American Institute for Medical and Biological Engineering,argentina
Ariel Fernández,Fecha de nacimiento,1957-04-08,argentina
Ariel Fernández,Empleador,Universidad de Miami,argentina
Ariel Fernández,Empleador,Universidad Rice,argentina
Ariel Fernández,Empleador,Morgridge Institute for Research,argentina
Paula Ormaechea,Lugar de nacimiento,Sunchales,argentina
Paula Ormaechea,Ocupación,tenista,argentina
Paula Ormaechea,Ciudadanía,Argentina,argentina
Paula Ormaechea,Fecha de nacimiento,1992-09-28,argentina
Mercedes Paz,Lugar de nacimiento,San Miguel de Tucumán,argentina
Mercedes Paz,Ocupación,tenista,argentina
Mercedes Paz,Ciudadanía,Argentina,argentina
Mercedes Paz,Fecha de nacimiento,1966-06-27,argentina
Elisa Carrió,Lugar de nacimiento,Resistencia,argentina
Elisa Carrió,Ocupación,abogado,argentina
Elisa Carrió,Ciudadanía,Argentina,argentina
Elisa Carrió,Educado en,Universidad Nacional del Nordeste,argentina
Elisa Carrió,Cargo,diputado de Argentina,argentina
Elisa Carrió,Fecha de nacimiento,1956-12-26,argentina
Elisa Carrió,Ocupación,político,argentina
José Evaristo de Uriburu,Lugar de nacimiento,Salta,argentina
José Evaristo de Uriburu,Ocupación,abogado,argentina
José Evaristo de Uriburu,Ciudadanía,Argentina,argentina
José Evaristo de Uriburu,Educado en,Universidad de Buenos Aires,argentina
José Evaristo de Uriburu,Cargo,vicepresidente de la Nación Argentina,argentina
José Evaristo de Uriburu,Fecha de nacimiento,1831-11-19,argentina
José Evaristo de Uriburu,Fecha de defunción,1914-10-23,argentina
José Evaristo de Uriburu,Ocupación,político,argentina
José Evaristo de Uriburu,Ocupación,diplomático,argentina
José Evaristo de Uriburu,Fecha de defunción,1914-10-25,argentina
José Evaristo de Uriburu,Educado en,"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca",argentina
José Evaristo de Uriburu,Cargo,presidente de la Nación Argentina,argentina
José Evaristo de Uriburu,Cargo,diputado de Argentina,argentina
José Evaristo de Uriburu,Cargo,senador de Argentina,argentina
José Evaristo de Uriburu,Cargo,embajador de Argentina en Chile,argentina
Arturo Umberto Illia,Lugar de nacimiento,Pergamino,argentina
Arturo Umberto Illia,Ocupación,médico,argentina
Arturo Umberto Illia,Ciudadanía,Argentina,argentina
Arturo Umberto Illia,Educado en,Universidad de Buenos Aires,argentina
Arturo Umberto Illia,Cargo,presidente de la Nación Argentina,argentina
Arturo Umberto Illia,Premio recibido,Caballero de Gran Cruz con collar de la Orden al Mérito de la República Italiana,argentina
Arturo Umberto Illia,Fecha de nacimiento,1900-08-04,argentina
Arturo Umberto Illia,Fecha de defunción,1983-01-18,argentina
Arturo Umberto Illia,Ocupación,político,argentina
Arturo Umberto Illia,Cargo,diputado de Argentina,argentina
