entidad,relacion,objeto,source_file
Alejandro Jodorowsky,Lugar de nacimiento,Tocopilla,chile
Alejandro Jodorowsky,Ocupación,escultor,chile
Alejandro Jodorowsky,Ciudadanía,Francia,chile
Alejandro Jodorowsky,Educado en,Universidad de Chile,chile
Alejandro Jodorowsky,Obra notable,El Incal,chile
Alejandro Jodorowsky,Miembro de,Academia de Artes y Ciencias Cinematográficas,chile
Alejandro Jodorowsky,Premio recibido,oficial de la Orden de las Artes y las Letras,chile
Alejandro Jodorowsky,Fecha de nacimiento,1929-02-17,chile
Alejandro Jodorowsky,Lugar de nacimiento,Iquique,chile
Alejandro Jodorowsky,Ocupación,director de cine,chile
Alejandro Jodorowsky,Ocupación,titiritero,chile
Alejandro Jodorowsky,Ocupación,productor de cine,chile
Alejandro Jodorowsky,Ocupación,director de teatro,chile
Alejandro Jodorowsky,Ocupación,realizador,chile
Alejandro Jodorowsky,Ocupación,filósofo,chile
Alejandro Jodorowsky,Ocupación,editor de cine,chile
Alejandro Jodorowsky,Ocupación,ensayista,chile
Alejandro Jodorowsky,Ocupación,guionista de historieta,chile
Alejandro Jodorowsky,Ocupación,dibujante,chile
Alejandro Jodorowsky,Ocupación,dibujante de historieta,chile
Alejandro Jodorowsky,Ocupación,escritor de ciencia ficción,chile
Alejandro Jodorowsky,Ocupación,tarotista,chile
Alejandro Jodorowsky,Ocupación,historietista,chile
Alejandro Jodorowsky,Ocupación,guionista,chile
Alejandro Jodorowsky,Premio recibido,Premio Máquina del Tiempo,chile
Alejandro Jodorowsky,Ocupación,actor,chile
Alejandro Jodorowsky,Ocupación,escritor,chile
Alejandro Jodorowsky,Ocupación,compositor,chile
Alejandro Jodorowsky,Ocupación,poeta,chile
Alejandro Jodorowsky,Ocupación,dramaturgo,chile
Alejandro Jodorowsky,Ocupación,autor,chile
Alejandro Jodorowsky,Ocupación,artista,chile
Alejandro Jodorowsky,Ocupación,mimo,chile
Alejandro Jodorowsky,Ocupación,pintor,chile
Alejandro Jodorowsky,Premio recibido,Q136512322,chile
Alejandro Jodorowsky,Ciudadanía,Chile,chile
Alejandro Jodorowsky,Premio recibido,Yellow Kid Award,chile
Alejandro Jodorowsky,Premio recibido,Orden al Mérito Artístico y Cultural Pablo Neruda,chile
Camila Vallejo,Lugar de nacimiento,Santiago de Chile,chile
Camila Vallejo,Ocupación,político,chile
Camila Vallejo,Ciudadanía,Chile,chile
Camila Vallejo,Educado en,Universidad de Chile,chile
Camila Vallejo,Cargo,diputado de Chile,chile
Camila Vallejo,Premio recibido,Premio de Derechos Humanos Letelier-Moffitt,chile
Camila Vallejo,Fecha de nacimiento,1988-04-28,chile
Camila Vallejo,Ocupación,geógrafo,chile
Camila Vallejo,Cargo,ministro secretario general de Gobierno de Chile,chile
José Luis Sánchez Besa,Lugar de nacimiento,Santiago de Chile,chile
José Luis Sánchez Besa,Ocupación,abogado,chile
José Luis Sánchez Besa,Ciudadanía,Chile,chile
José Luis Sánchez Besa,Premio recibido,Medalla Aeronáutica,chile
José Luis Sánchez Besa,Fecha de nacimiento,1879-02-13,chile
José Luis Sánchez Besa,Fecha de defunción,1955-03-02,chile
José Luis Sánchez Besa,Ocupación,piloto de aviación,chile
José Luis Sánchez Besa,Premio recibido,Cruz de guerra 1914-1918,chile
José Luis Sánchez Besa,Premio recibido,Oficial de la Orden Nacional de la Legión de Honor,chile
Álvaro Peña-Rojas,Lugar de nacimiento,Valparaíso,chile
Álvaro Peña-Rojas,Ocupación,compositor,chile
Álvaro Peña-Rojas,Ciudadanía,Chile,chile
Álvaro Peña-Rojas,Educado en,The Mackay School,chile
Álvaro Peña-Rojas,Miembro de,The 101ers,chile
Álvaro Peña-Rojas,Fecha de nacimiento,1943-12-17,chile
Álvaro Peña-Rojas,Ocupación,cantante,chile
Álvaro Peña-Rojas,Ocupación,músico,chile
Álvaro Véliz,Lugar de nacimiento,Santiago de Chile,chile
Álvaro Véliz,Ocupación,compositor,chile
Álvaro Véliz,Ciudadanía,Chile,chile
Álvaro Véliz,Fecha de nacimiento,1972-02-09,chile
Álvaro Véliz,Ocupación,cantante,chile
Álvaro Véliz,Ocupación,pianista,chile
Mauricio Zenteno,Lugar de nacimiento,Linares,chile
Mauricio Zenteno,Ocupación,futbolista,chile
Mauricio Zenteno,Ciudadanía,Chile,chile
Mauricio Zenteno,Fecha de nacimiento,1984-04-21,chile
Teresa de Los Andes,Lugar de nacimiento,Santiago de Chile,chile
Teresa de Los Andes,Ocupación,monja cristiana,chile
Teresa de Los Andes,Ciudadanía,Chile,chile
Teresa de Los Andes,Educado en,"Colegio del Sagrado Corazón, Monjas Inglesas",chile
Teresa de Los Andes,Fecha de nacimiento,1900-07-13,chile
Teresa de Los Andes,Fecha de defunción,1920-04-12,chile
Valentina Vargas,Lugar de nacimiento,Santiago de Chile,chile
Valentina Vargas,Ocupación,actor,chile
Valentina Vargas,Ciudadanía,Francia,chile
Valentina Vargas,Educado en,Théâtre-école Tania Balachova,chile
Valentina Vargas,Fecha de nacimiento,1964-12-31,chile
Valentina Vargas,Ocupación,cantante,chile
Valentina Vargas,Ocupación,actor de cine,chile
Valentina Vargas,Ciudadanía,Chile,chile
Nicolas Jaar,Lugar de nacimiento,Nueva York,chile
Nicolas Jaar,Ocupación,productor discográfico,chile
Nicolas Jaar,Ciudadanía,Estados Unidos,chile
Nicolas Jaar,Educado en,Universidad Brown,chile
Nicolas Jaar,Obra notable,Space Is Only Noise,chile
Nicolas Jaar,Fecha de nacimiento,1990-01-10,chile
Nicolas Jaar,Ocupación,músico,chile
Nicolas Jaar,Ciudadanía,Chile,chile
Nicolas Jaar,Obra notable,Pomegranates,chile
Nicolas Jaar,Obra notable,Sirens,chile
Nicolas Jaar,Obra notable,Cenizas (álbum),chile
Nicolas Jaar,Obra notable,Telas,chile
Nicolas Jaar,Obra notable,Weavings,chile
Alejandro Jodorowsky,Premio recibido,Leopardo de Honor,chile
Alejandro Jodorowsky,Obra notable,El topo,chile
Alejandro Jodorowsky,Obra notable,La casta de los Metabarones,chile
Alejandro Jodorowsky,Obra notable,La Montaña Sagrada,chile
Alejandro Jodorowsky,Premio recibido,Q136512327,chile
Claudio Bravo,Lugar de nacimiento,Valparaíso,chile
Claudio Bravo,Ocupación,pintor,chile
Claudio Bravo,Ciudadanía,Chile,chile
Claudio Bravo,Premio recibido,Gran Cruz de la Orden Civil de Alfonso X el Sabio,chile
Claudio Bravo,Fecha de nacimiento,1936-11-08,chile
Claudio Bravo,Fecha de defunción,2011-06-04,chile
Claudio Bravo,Ocupación,artista visual,chile
Claudio Bravo,Ocupación,dibujante,chile
Cristián Sánchez,Lugar de nacimiento,Concepción,chile
Cristián Sánchez,Ocupación,presentador de televisión,chile
Cristián Sánchez,Ciudadanía,Chile,chile
Cristián Sánchez,Educado en,Colegio del Verbo Divino,chile
Cristián Sánchez,Fecha de nacimiento,1972-05-29,chile
Cristián Sánchez,Ocupación,periodista,chile
Cristián Sánchez,Educado en,Universidad Gabriela Mistral,chile
Luis Corvalán,Lugar de nacimiento,Puerto Montt,chile
Luis Corvalán,Ocupación,periodista,chile
Luis Corvalán,Ciudadanía,Chile,chile
Luis Corvalán,Cargo,senador de Chile,chile
Luis Corvalán,Premio recibido,Orden Playa Girón,chile
Luis Corvalán,Fecha de nacimiento,1916-09-14,chile
Luis Corvalán,Fecha de defunción,2010-07-21,chile
Adán Vergara,Lugar de nacimiento,Iquique,chile
Adán Vergara,Ocupación,futbolista,chile
Adán Vergara,Ciudadanía,Chile,chile
Adán Vergara,Fecha de nacimiento,1981-05-09,chile
Luis Fernando Sepúlveda,Lugar de nacimiento,Curicó,chile
Luis Fernando Sepúlveda,Ocupación,ciclista,chile
Luis Fernando Sepúlveda,Ciudadanía,Chile,chile
Luis Fernando Sepúlveda,Fecha de nacimiento,1974-04-08,chile
John Williams Wilson,Lugar de nacimiento,Bristol,chile
John Williams Wilson,Ocupación,marino,chile
John Williams Wilson,Ciudadanía,Chile,chile
John Williams Wilson,Fecha de nacimiento,1798-01-01,chile
John Williams Wilson,Fecha de defunción,1857-09-14,chile
John Williams Wilson,Ocupación,militar,chile
John Williams Wilson,Ciudadanía,Reino Unido de Gran Bretaña e Irlanda,chile
Gonzalo el melano,Lugar de nacimiento,Lebu,chile
Gonzalo el melano,Ocupación,escritor,chile
Gonzalo el melano,Ciudadanía,España,chile
Gonzalo el melano,Educado en,Universidad de Chile,chile
Gonzalo el melano,Empleador,Universidad de Rostock,chile
Gonzalo el melano,Premio recibido,Premio Miguel de Cervantes,chile
Gonzalo el melano,Fecha de nacimiento,1917-12-20,chile
Gonzalo el melano,Fecha de defunción,2011-04-25,chile
Gonzalo el melano,Ocupación,poeta,chile
Gonzalo el melano,Ocupación,político,chile
Gonzalo el melano,Ocupación,profesor universitario,chile
Gonzalo el melano,Premio recibido,Premio Nacional de Literatura,chile
Gonzalo el melano,Premio recibido,Beca Guggenheim,chile
Gonzalo el melano,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana,chile
Gonzalo el melano,Premio recibido,Orden al Mérito Docente y Cultural Gabriela Mistral,chile
Gonzalo el melano,Ciudadanía,Chile,chile
Gonzalo el melano,Empleador,Universidad de Concepción,chile
Otto Georgi,Lugar de nacimiento,Valdivia,chile
Otto Georgi,Ocupación,pintor,chile
Otto Georgi,Ciudadanía,Chile,chile
Otto Georgi,Miembro de,Generación del 13,chile
Otto Georgi,Fecha de nacimiento,1890-01-01,chile
Otto Georgi,Fecha de defunción,1969-01-01,chile
Carlos Escobar Casarin,Lugar de nacimiento,Temuco,chile
Carlos Escobar Casarin,Ocupación,entrenador,chile
Carlos Escobar Casarin,Ciudadanía,Chile,chile
Carlos Escobar Casarin,Fecha de nacimiento,1990-05-21,chile
Carlos Escobar Casarin,Ocupación,futbolista,chile
Astrid Fugellie,Lugar de nacimiento,Punta Arenas,chile
Astrid Fugellie,Ocupación,escritor,chile
Astrid Fugellie,Ciudadanía,Chile,chile
Astrid Fugellie,Fecha de nacimiento,1949-02-02,chile
Astrid Fugellie,Ocupación,profesor,chile
Astrid Fugellie,Ocupación,poeta,chile
Astrid Fugellie,Ocupación,personalidad de radio,chile
Eduardo Carrasco Pirard,Lugar de nacimiento,Santiago de Chile,chile
Eduardo Carrasco Pirard,Ocupación,escritor,chile
Eduardo Carrasco Pirard,Ciudadanía,Chile,chile
Eduardo Carrasco Pirard,Educado en,Universidad de Heidelberg,chile
Eduardo Carrasco Pirard,Miembro de,Quilapayún,chile
Eduardo Carrasco Pirard,Premio recibido,caballero de las Artes y las Letras,chile
Eduardo Carrasco Pirard,Fecha de nacimiento,1940-07-02,chile
Eduardo Carrasco Pirard,Ocupación,poeta,chile
Eduardo Carrasco Pirard,Ocupación,cantante,chile
Eduardo Carrasco Pirard,Ocupación,músico,chile
Eduardo Carrasco Pirard,Ocupación,compositor de canciones,chile
Eduardo Carrasco Pirard,Ocupación,filósofo,chile
Eduardo Carrasco Pirard,Educado en,Universidad de Chile,chile
Eduardo Carrasco Pirard,Educado en,Pontificia Universidad Católica de Chile,chile
Eduardo Carrasco Pirard,Educado en,Liceo José Victorino Lastarria,chile
