entidad,relacion,objeto,source_file
John Leguizamo,Lugar de nacimiento,Bogotá,colombia
John Leguizamo,Ocupación,guionista,colombia
John Leguizamo,Ciudadanía,Estados Unidos,colombia
John Leguizamo,Educado en,LIU Post,colombia
John Leguizamo,Obra notable,Encanto,colombia
John Leguizamo,Premio recibido,Premios Primetime Emmy,colombia
John Leguizamo,Fecha de nacimiento,1960-07-22,colombia
John Leguizamo,Ocupación,actor,colombia
John Leguizamo,Ocupación,dramaturgo,colombia
John Leguizamo,Ocupación,comediante,colombia
John Leguizamo,Ocupación,presentador de televisión,colombia
John Leguizamo,Ocupación,pintor,colombia
John Leguizamo,Ocupación,actor de teatro,colombia
John Leguizamo,Ocupación,actor de voz,colombia
John Leguizamo,Ocupación,director de cine,colombia
John Leguizamo,Ocupación,productor de cine,colombia
John Leguizamo,Ocupación,actor de televisión,colombia
John Leguizamo,Ocupación,actor de cine,colombia
John Leguizamo,Premio recibido,Hull-Warriner Award,colombia
John Leguizamo,Premio recibido,Theatre World Special Award,colombia
John Leguizamo,Premio recibido,Lucille Lortel Award for Outstanding Lead Actor,colombia
John Leguizamo,Ciudadanía,Colombia,colombia
John Leguizamo,Obra notable,Ice Age,colombia
John Leguizamo,Educado en,New York University Tisch School of the Arts,colombia
John Leguizamo,Educado en,Instituto de Teatro y Cine Lee Strasberg,colombia
John Leguizamo,Educado en,Universidad de Long Island,colombia
John Leguizamo,Educado en,HB Studio,colombia
John Leguizamo,Educado en,Murry Bergtraum High School,colombia
Carlos Lehder,Lugar de nacimiento,Armenia,colombia
Carlos Lehder,Ocupación,criminal,colombia
Carlos Lehder,Ciudadanía,Alemania,colombia
Carlos Lehder,Miembro de,Cartel de Medellín,colombia
Carlos Lehder,Fecha de nacimiento,1949-09-07,colombia
Carlos Lehder,Ocupación,narcotraficante,colombia
Carlos Lehder,Ciudadanía,Colombia,colombia
Johan Vonlanthen,Lugar de nacimiento,Santa Marta,colombia
Johan Vonlanthen,Ocupación,futbolista,colombia
Johan Vonlanthen,Ciudadanía,Suiza,colombia
Johan Vonlanthen,Fecha de nacimiento,1986-02-01,colombia
Johan Vonlanthen,Ciudadanía,Colombia,colombia
Hernán Darío Gómez,Lugar de nacimiento,Medellín,colombia
Hernán Darío Gómez,Ocupación,entrenador,colombia
Hernán Darío Gómez,Ciudadanía,Colombia,colombia
Hernán Darío Gómez,Fecha de nacimiento,1956-02-03,colombia
Hernán Darío Gómez,Ocupación,futbolista,colombia
Mario Alberto Yepes Díaz,Lugar de nacimiento,Cali,colombia
Mario Alberto Yepes Díaz,Ocupación,futbolista,colombia
Mario Alberto Yepes Díaz,Ciudadanía,Colombia,colombia
Mario Alberto Yepes Díaz,Fecha de nacimiento,1976-01-13,colombia
Elda Neyis Mosquera,Ocupación,criminal,colombia
Elda Neyis Mosquera,Ciudadanía,Colombia,colombia
Elda Neyis Mosquera,Fecha de nacimiento,1963-08-15,colombia
Ernesto McCausland,Lugar de nacimiento,Barranquilla,colombia
Ernesto McCausland,Ocupación,escritor,colombia
Ernesto McCausland,Ciudadanía,Colombia,colombia
Ernesto McCausland,Premio recibido,Premio Nacional de Periodismo Simón Bolívar,colombia
Ernesto McCausland,Fecha de nacimiento,1961-01-04,colombia
Ernesto McCausland,Fecha de defunción,2012-11-21,colombia
Ernesto McCausland,Ocupación,periodista,colombia
Ernesto McCausland,Ocupación,director de cine,colombia
Jaider Romero,Lugar de nacimiento,Valledupar,colombia
Jaider Romero,Ocupación,futbolista,colombia
Jaider Romero,Ciudadanía,Colombia,colombia
Jaider Romero,Fecha de nacimiento,1982-05-22,colombia
Juan Guillermo Domínguez,Lugar de nacimiento,Bogotá,colombia
Juan Guillermo Domínguez,Ocupación,futbolista,colombia
Juan Guillermo Domínguez,Ciudadanía,Colombia,colombia
Juan Guillermo Domínguez,Fecha de nacimiento,1986-12-17,colombia
Edixon Perea,Lugar de nacimiento,Cali,colombia
Edixon Perea,Ocupación,futbolista,colombia
Edixon Perea,Ciudadanía,Colombia,colombia
Edixon Perea,Fecha de nacimiento,1984-04-20,colombia
Taliana Vargas,Lugar de nacimiento,Santa Marta,colombia
Taliana Vargas,Ocupación,actor,colombia
Taliana Vargas,Ciudadanía,Colombia,colombia
Taliana Vargas,Fecha de nacimiento,1987-12-20,colombia
Taliana Vargas,Ocupación,modelo,colombia
Taliana Vargas,Ocupación,participante en concursos de belleza,colombia
Stefanía Fernández,Lugar de nacimiento,Mérida,colombia
Stefanía Fernández,Ocupación,periodista,colombia
Stefanía Fernández,Ciudadanía,Venezuela,colombia
Stefanía Fernández,Premio recibido,Miss Universo 2009,colombia
Stefanía Fernández,Fecha de nacimiento,1990-09-04,colombia
Stefanía Fernández,Ocupación,modelo,colombia
Stefanía Fernández,Ocupación,participante en concursos de belleza,colombia
Stefanía Fernández,Premio recibido,Miss Venezuela 2008,colombia
Stefanía Fernández,Ciudadanía,Colombia,colombia
Piedad Bonnett Vélez,Lugar de nacimiento,Amalfi,colombia
Piedad Bonnett Vélez,Ocupación,escritor,colombia
Piedad Bonnett Vélez,Ciudadanía,Colombia,colombia
Piedad Bonnett Vélez,Educado en,Universidad de los Andes,colombia
Piedad Bonnett Vélez,Obra notable,libro,colombia
Piedad Bonnett Vélez,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana,colombia
Piedad Bonnett Vélez,Fecha de nacimiento,1951-01-01,colombia
Piedad Bonnett Vélez,Ocupación,poeta,colombia
