entidad,relacion,objeto,source_file
Manuel María de Peralta y Alfaro,Lugar de nacimiento,Cartago,costa_rica
Manuel María de Peralta y Alfaro,Ocupación,político,costa_rica
Manuel María de Peralta y Alfaro,Ciudadanía,Costa Rica,costa_rica
Manuel María de Peralta y Alfaro,Miembro de,Instituto de Derecho Internacional,costa_rica
Manuel María de Peralta y Alfaro,Cargo,Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,costa_rica
Manuel María de Peralta y Alfaro,Fecha de nacimiento,1847-07-04,costa_rica
Manuel María de Peralta y Alfaro,Fecha de defunción,1930-08-01,costa_rica
Manuel María de Peralta y Alfaro,Ocupación,embajador,costa_rica
Manuel María de Peralta y Alfaro,Ocupación,diplomático,costa_rica
Anthony Velásquez,Lugar de nacimiento,Cantón de San José,costa_rica
Anthony Velásquez,Ocupación,futbolista,costa_rica
Anthony Velásquez,Ciudadanía,Costa Rica,costa_rica
Anthony Velásquez,Fecha de nacimiento,1990-10-23,costa_rica
Rudy Dawson,Lugar de nacimiento,Limón,costa_rica
Rudy Dawson,Ocupación,futbolista,costa_rica
Rudy Dawson,Ciudadanía,Costa Rica,costa_rica
Rudy Dawson,Fecha de nacimiento,1988-05-08,costa_rica
Turichiquí,Ocupación,político,costa_rica
Turichiquí,Ciudadanía,Costa Rica,costa_rica
Turichiquí,Empleador,Fernando Correque,costa_rica
Turichiquí,Fecha de nacimiento,1501-01-01,costa_rica
Turichiquí,Ciudadanía,Ujarrás,costa_rica
Antonio Álvarez Desanti,Lugar de nacimiento,San José,costa_rica
Antonio Álvarez Desanti,Ocupación,abogado,costa_rica
Antonio Álvarez Desanti,Ciudadanía,Costa Rica,costa_rica
Antonio Álvarez Desanti,Educado en,Escuela de Derecho Harvard,costa_rica
Antonio Álvarez Desanti,Cargo,President of the Legislative Assembly of Costa Rica,costa_rica
Antonio Álvarez Desanti,Fecha de nacimiento,1958-07-01,costa_rica
Antonio Álvarez Desanti,Ocupación,político,costa_rica
Antonio Álvarez Desanti,Educado en,Universidad de Costa Rica,costa_rica
Argenis Fernández,Lugar de nacimiento,Corredor,costa_rica
Argenis Fernández,Ocupación,entrenador,costa_rica
Argenis Fernández,Ciudadanía,Costa Rica,costa_rica
Argenis Fernández,Fecha de nacimiento,1987-04-03,costa_rica
Argenis Fernández,Ocupación,futbolista,costa_rica
Tatiana Echeverri Fernández,Lugar de nacimiento,San José,costa_rica
Tatiana Echeverri Fernández,Ocupación,pintor,costa_rica
Tatiana Echeverri Fernández,Ciudadanía,Costa Rica,costa_rica
Tatiana Echeverri Fernández,Fecha de nacimiento,1974-01-01,costa_rica
Tatiana Echeverri Fernández,Ocupación,escultor,costa_rica
Tatiana Echeverri Fernández,Ocupación,artista de performance,costa_rica
Tatiana Echeverri Fernández,Ocupación,artista de instalaciones,costa_rica
Walter Ferguson,Ocupación,músico,costa_rica
Walter Ferguson,Ciudadanía,Costa Rica,costa_rica
Walter Ferguson,Fecha de nacimiento,1919-05-07,costa_rica
Walter Ferguson,Fecha de defunción,2023-02-26,costa_rica
Walter Ferguson,Ocupación,calypsonian,costa_rica
Lorena Clare Facio,Lugar de nacimiento,San José,costa_rica
Lorena Clare Facio,Ocupación,político,costa_rica
Lorena Clare Facio,Ciudadanía,Costa Rica,costa_rica
Lorena Clare Facio,Cargo,primera dama o primer caballero de Costa Rica,costa_rica
Lorena Clare Facio,Premio recibido,Orden de Isabel la Católica,costa_rica
Lorena Clare Facio,Fecha de nacimiento,1943-06-30,costa_rica
Manuel Mora Fernández,Lugar de nacimiento,San José,costa_rica
Manuel Mora Fernández,Ocupación,juez,costa_rica
Manuel Mora Fernández,Ciudadanía,Costa Rica,costa_rica
