entidad,relacion,objeto,source_file
Vida Guerra,Lugar de nacimiento,La Habana,cuba
Vida Guerra,Ocupación,actor,cuba
Vida Guerra,Ciudadanía,Cuba,cuba
Vida Guerra,Fecha de nacimiento,1974-03-19,cuba
Vida Guerra,Ocupación,cantante,cuba
Vida Guerra,Ocupación,playmate,cuba
Vida Guerra,Ocupación,modelo erótica,cuba
Vida Guerra,Ocupación,modelo,cuba
Vida Guerra,Ocupación,actor de cine,cuba
Anselmo Sacasas,Ocupación,compositor,cuba
Anselmo Sacasas,Ciudadanía,Cuba,cuba
Anselmo Sacasas,Fecha de nacimiento,1912-11-23,cuba
Anselmo Sacasas,Fecha de defunción,1998-01-22,cuba
Anselmo Sacasas,Ocupación,director de orquesta,cuba
Anselmo Sacasas,Ocupación,pianista,cuba
Anselmo Sacasas,Ocupación,líder de banda,cuba
Anselmo Sacasas,Ocupación,músico de jazz,cuba
Gina Pellón,Lugar de nacimiento,Cumanayagua,cuba
Gina Pellón,Ocupación,escritor,cuba
Gina Pellón,Ciudadanía,Francia,cuba
Gina Pellón,Fecha de nacimiento,1926-12-26,cuba
Gina Pellón,Fecha de defunción,2014-03-27,cuba
Gina Pellón,Ocupación,poeta,cuba
Gina Pellón,Ocupación,artista,cuba
Gina Pellón,Ocupación,pintor,cuba
Gina Pellón,Ciudadanía,Cuba,cuba
Roberto G. Fernández,Lugar de nacimiento,Sagua la Grande,cuba
Roberto G. Fernández,Ocupación,novelista,cuba
Roberto G. Fernández,Ciudadanía,Estados Unidos,cuba
Roberto G. Fernández,Empleador,Universidad Estatal de Florida,cuba
Roberto G. Fernández,Fecha de nacimiento,1951-09-24,cuba
Roberto G. Fernández,Ciudadanía,Cuba,cuba
Hilda Gadea,Lugar de nacimiento,Lima,cuba
Hilda Gadea,Ocupación,escritor,cuba
Hilda Gadea,Ciudadanía,Cuba,cuba
Hilda Gadea,Educado en,Universidad Nacional Mayor de San Marcos,cuba
Hilda Gadea,Fecha de nacimiento,1925-03-21,cuba
Hilda Gadea,Fecha de defunción,1974-02-11,cuba
Hilda Gadea,Ocupación,economista,cuba
Hilda Gadea,Ocupación,activista político,cuba
Hilda Gadea,Ciudadanía,Perú,cuba
Anaysi Hernández,Lugar de nacimiento,Cienfuegos,cuba
Anaysi Hernández,Ocupación,yudoca,cuba
Anaysi Hernández,Ciudadanía,Cuba,cuba
Anaysi Hernández,Fecha de nacimiento,1981-08-30,cuba
Yoanka González,Lugar de nacimiento,Santa Clara,cuba
Yoanka González,Ocupación,ciclista de pista,cuba
Yoanka González,Ciudadanía,Cuba,cuba
Yoanka González,Fecha de nacimiento,1976-01-09,cuba
Magdelín Martínez,Lugar de nacimiento,Camagüey,cuba
Magdelín Martínez,Ocupación,atleta,cuba
Magdelín Martínez,Ciudadanía,Italia,cuba
Magdelín Martínez,Fecha de nacimiento,1976-02-10,cuba
Magdelín Martínez,Ciudadanía,Cuba,cuba
Eglis Yaima Cruz,Lugar de nacimiento,Sancti Spíritus,cuba
Eglis Yaima Cruz,Ocupación,tirador,cuba
Eglis Yaima Cruz,Ciudadanía,Cuba,cuba
Eglis Yaima Cruz,Fecha de nacimiento,1980-04-12,cuba
Ariadna Sintes,Lugar de nacimiento,La Habana,cuba
Ariadna Sintes,Ocupación,actor,cuba
Ariadna Sintes,Ciudadanía,España,cuba
Ariadna Sintes,Fecha de nacimiento,1986-10-07,cuba
Ariadna Sintes,Ciudadanía,Cuba,cuba
Martha Beatriz Roque,Lugar de nacimiento,La Habana,cuba
Martha Beatriz Roque,Ocupación,economista,cuba
Martha Beatriz Roque,Ciudadanía,España,cuba
Martha Beatriz Roque,Premio recibido,Heinz R. Pagels Human Rights of Scientists Award,cuba
Martha Beatriz Roque,Fecha de nacimiento,1945-05-16,cuba
Martha Beatriz Roque,Ocupación,activista por los derechos humanos,cuba
Martha Beatriz Roque,Ciudadanía,Cuba,cuba
Ñico Saquito,Lugar de nacimiento,Santiago de Cuba,cuba
Ñico Saquito,Ocupación,compositor,cuba
Ñico Saquito,Ciudadanía,Cuba,cuba
Ñico Saquito,Fecha de nacimiento,1901-02-13,cuba
Ñico Saquito,Fecha de defunción,1982-08-04,cuba
Ñico Saquito,Ocupación,cantante,cuba
Ñico Saquito,Ocupación,compositor de canciones,cuba
Ñico Saquito,Ocupación,guitarrista,cuba
Guillermo Cabrera Infante,Lugar de nacimiento,Gibara,cuba
Guillermo Cabrera Infante,Ocupación,guionista,cuba
Guillermo Cabrera Infante,Ciudadanía,España,cuba
Guillermo Cabrera Infante,Obra notable,Tres tristes tigres,cuba
Guillermo Cabrera Infante,Premio recibido,Premio Miguel de Cervantes,cuba
Guillermo Cabrera Infante,Fecha de nacimiento,1929-04-22,cuba
Guillermo Cabrera Infante,Fecha de defunción,2005-02-21,cuba
Guillermo Cabrera Infante,Ocupación,escritor,cuba
Guillermo Cabrera Infante,Ocupación,poeta,cuba
Guillermo Cabrera Infante,Ocupación,traductor,cuba
Guillermo Cabrera Infante,Ocupación,periodista,cuba
Guillermo Cabrera Infante,Ocupación,ensayista,cuba
Guillermo Cabrera Infante,Ocupación,lingüista,cuba
Guillermo Cabrera Infante,Premio recibido,Beca Guggenheim,cuba
Guillermo Cabrera Infante,Premio recibido,Premio Biblioteca Breve,cuba
Guillermo Cabrera Infante,Ciudadanía,Reino Unido,cuba
Guillermo Cabrera Infante,Ciudadanía,Cuba,cuba
Juan Almeida Bosque,Lugar de nacimiento,La Habana,cuba
Juan Almeida Bosque,Ocupación,militar,cuba
Juan Almeida Bosque,Ciudadanía,Cuba,cuba
Juan Almeida Bosque,Educado en,Universidad de La Habana,cuba
Juan Almeida Bosque,Cargo,diputado de la Asamblea Nacional del Poder Popular de Cuba,cuba
Juan Almeida Bosque,Premio recibido,Medala de los Amigos de la revolución argelina,cuba
Juan Almeida Bosque,Fecha de nacimiento,1927-02-17,cuba
Juan Almeida Bosque,Fecha de defunción,2009-09-11,cuba
Juan Almeida Bosque,Ocupación,poeta,cuba
Juan Almeida Bosque,Ocupación,político,cuba
Félix Savón,Lugar de nacimiento,provincia de Guantánamo,cuba
Félix Savón,Ocupación,boxeador,cuba
Félix Savón,Ciudadanía,Cuba,cuba
Félix Savón,Premio recibido,Orden Olímpica de Plata,cuba
Félix Savón,Fecha de nacimiento,1967-09-22,cuba
Reinaldo Arenas Fuentes,Lugar de nacimiento,Aguas Claras,cuba
Reinaldo Arenas Fuentes,Ocupación,escritor,cuba
Reinaldo Arenas Fuentes,Ciudadanía,Cuba,cuba
Reinaldo Arenas Fuentes,Obra notable,Antes que anochezca,cuba
Reinaldo Arenas Fuentes,Premio recibido,Beca Guggenheim,cuba
Reinaldo Arenas Fuentes,Fecha de nacimiento,1943-07-16,cuba
Reinaldo Arenas Fuentes,Fecha de defunción,1990-12-07,cuba
Reinaldo Arenas Fuentes,Ocupación,poeta,cuba
Reinaldo Arenas Fuentes,Ocupación,bibliotecario,cuba
Reinaldo Arenas Fuentes,Ocupación,dramaturgo,cuba
Reinaldo Arenas Fuentes,Ocupación,novelista,cuba
Iván Pedroso,Lugar de nacimiento,La Habana,cuba
Iván Pedroso,Ocupación,entrenador,cuba
Iván Pedroso,Ciudadanía,Cuba,cuba
Iván Pedroso,Fecha de nacimiento,1972-12-17,cuba
Iván Pedroso,Ocupación,atleta,cuba
Compay Segundo,Lugar de nacimiento,Santiago de Cuba,cuba
Compay Segundo,Ocupación,compositor,cuba
Compay Segundo,Ciudadanía,Cuba,cuba
Compay Segundo,Obra notable,"Malabana, (película de 2001)",cuba
Compay Segundo,Miembro de,Dúo Los Compadres,cuba
Compay Segundo,Fecha de nacimiento,1907-11-18,cuba
Compay Segundo,Fecha de defunción,2003-07-13,cuba
Compay Segundo,Ocupación,cantante,cuba
Compay Segundo,Ocupación,compositor de canciones,cuba
Compay Segundo,Ocupación,guitarrista,cuba
Ibrahim Ferrer,Lugar de nacimiento,San Luis,cuba
Ibrahim Ferrer,Ocupación,cantante,cuba
Ibrahim Ferrer,Ciudadanía,Cuba,cuba
Ibrahim Ferrer,Miembro de,Buena Vista Social Club,cuba
Ibrahim Ferrer,Premio recibido,premio Grammy al mejor álbum latino tropical,cuba
Ibrahim Ferrer,Fecha de nacimiento,1927-02-20,cuba
Ibrahim Ferrer,Fecha de defunción,2005-08-06,cuba
Ibrahim Ferrer,Ocupación,músico,cuba
Ibrahim Ferrer,Premio recibido,Premio Grammy Latino al mejor artista nuevo,cuba
Ibrahim Ferrer,Premio recibido,Premio Grammy latino por mejor álbum tropical tradicional,cuba
Dave Lombardo,Lugar de nacimiento,La Habana,cuba
Dave Lombardo,Ocupación,baterista,cuba
Dave Lombardo,Ciudadanía,Estados Unidos,cuba
Dave Lombardo,Educado en,Pius X High School,cuba
Dave Lombardo,Miembro de,Slayer,cuba
Dave Lombardo,Fecha de nacimiento,1965-02-16,cuba
Dave Lombardo,Ocupación,músico,cuba
