entidad,relacion,objeto,source_file
Enrique Ayala Mora,Lugar de nacimiento,Ibarra,ecuador
Enrique Ayala Mora,Ocupación,político,ecuador
Enrique Ayala Mora,Ciudadanía,Ecuador,ecuador
Enrique Ayala Mora,Educado en,Universidad de Oxford,ecuador
Enrique Ayala Mora,Empleador,Universidad de Oxford,ecuador
Enrique Ayala Mora,Miembro de,Consejo Nacional de Evaluación y Acreditación de la Educación Superior del Ecuador,ecuador
Enrique Ayala Mora,Cargo,presidente,ecuador
Enrique Ayala Mora,Fecha de nacimiento,1950-11-13,ecuador
Enrique Ayala Mora,Ocupación,historiador,ecuador
Enrique Ayala Mora,Ocupación,profesor universitario,ecuador
Enrique Ayala Mora,Ocupación,periodista,ecuador
Enrique Ayala Mora,Educado en,Universidad de Essex,ecuador
Enrique Ayala Mora,Educado en,Pontificia Universidad Católica del Ecuador,ecuador
Enrique Ayala Mora,Empleador,Organización de los Estados Americanos,ecuador
Enrique Ayala Mora,Empleador,Universidad de Glasgow,ecuador
Enrique Ayala Mora,Empleador,Universidad de Washington,ecuador
Enrique Ayala Mora,Empleador,Facultad Latinoamericana de Ciencias Sociales,ecuador
Enrique Ayala Mora,Empleador,Universidad Nacional Mayor de San Marcos,ecuador
Enrique Ayala Mora,Empleador,Universidad Pablo de Olavide,ecuador
Enrique Ayala Mora,Empleador,Universidad de Nápoles Federico II,ecuador
Enrique Ayala Mora,Empleador,El Comercio,ecuador
Enrique Ayala Mora,Miembro de,Academia Nacional de Historia de Ecuador,ecuador
Enrique Ayala Mora,Empleador,"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca",ecuador
Enrique Ayala Mora,Empleador,Pontificia Universidad Católica del Ecuador,ecuador
Enrique Ayala Mora,Empleador,Universidad Central del Ecuador,ecuador
Enrique Ayala Mora,Empleador,Universidad Andina Simón Bolívar,ecuador
Enrique Ayala Mora,Empleador,Universidad del Valle,ecuador
Enrique Ayala Mora,Empleador,Universidad Internacional de Andalucía,ecuador
Enrique Ayala Mora,Empleador,Consejo Nacional de Educación Superior,ecuador
Enrique Ayala Mora,Empleador,Ministerio de Relaciones Exteriores,ecuador
Enrique Ayala Mora,Cargo,diputado Nacional del Ecuador,ecuador
Enrique Ayala Mora,Miembro de,Asamblea Constituyente de Ecuador,ecuador
Leonidas Proaño,Lugar de nacimiento,Cantón Ibarra,ecuador
Leonidas Proaño,Ocupación,teólogo,ecuador
Leonidas Proaño,Ciudadanía,Ecuador,ecuador
Leonidas Proaño,Cargo,obispo diocesano,ecuador
Leonidas Proaño,Premio recibido,Premio Bruno Kreisky,ecuador
Leonidas Proaño,Fecha de nacimiento,1910-01-29,ecuador
Leonidas Proaño,Fecha de defunción,1988-08-31,ecuador
Fausto Gaibor García,Lugar de nacimiento,Bolívar,ecuador
Fausto Gaibor García,Ocupación,sacerdote católico,ecuador
Fausto Gaibor García,Ciudadanía,Ecuador,ecuador
Fausto Gaibor García,Cargo,obispo auxiliar,ecuador
Fausto Gaibor García,Fecha de nacimiento,1952-01-24,ecuador
Fausto Gaibor García,Fecha de defunción,2021-06-04,ecuador
Fausto Gaibor García,Lugar de nacimiento,Guaranda,ecuador
Fausto Gaibor García,Ocupación,obispo católico,ecuador
Fausto Gaibor García,Cargo,obispo titular,ecuador
Fausto Gaibor García,Cargo,obispo diocesano,ecuador
Pedro Reino,Lugar de nacimiento,Cantón Cevallos,ecuador
Pedro Reino,Ocupación,escritor,ecuador
Pedro Reino,Ciudadanía,Ecuador,ecuador
Pedro Reino,Premio recibido,Concurso Nacional de Literatura Miguel Riofrío,ecuador
Pedro Reino,Fecha de nacimiento,1951-02-09,ecuador
Pedro Reino,Ocupación,novelista,ecuador
Ebelio Ordóñez,Lugar de nacimiento,Esmeraldas,ecuador
Ebelio Ordóñez,Ocupación,futbolista,ecuador
Ebelio Ordóñez,Ciudadanía,Brasil,ecuador
Ebelio Ordóñez,Fecha de nacimiento,1973-11-03,ecuador
Ebelio Ordóñez,Ciudadanía,Ecuador,ecuador
Francisco Ovidio Vera Intriago,Ocupación,sacerdote católico,ecuador
Francisco Ovidio Vera Intriago,Ciudadanía,Ecuador,ecuador
Francisco Ovidio Vera Intriago,Cargo,obispo auxiliar,ecuador
Francisco Ovidio Vera Intriago,Fecha de nacimiento,1942-10-07,ecuador
Francisco Ovidio Vera Intriago,Fecha de defunción,2014-04-21,ecuador
Francisco Ovidio Vera Intriago,Ocupación,obispo católico,ecuador
Francisco Ovidio Vera Intriago,Cargo,obispo titular,ecuador
Máximo Tenorio,Lugar de nacimiento,Esmeraldas,ecuador
Máximo Tenorio,Ocupación,futbolista,ecuador
Máximo Tenorio,Ciudadanía,Ecuador,ecuador
Máximo Tenorio,Fecha de nacimiento,1969-09-30,ecuador
Dannes Coronel,Lugar de nacimiento,Naranjal,ecuador
Dannes Coronel,Ocupación,futbolista,ecuador
Dannes Coronel,Ciudadanía,Ecuador,ecuador
Dannes Coronel,Fecha de nacimiento,1973-05-24,ecuador
Dannes Coronel,Fecha de defunción,2020-07-07,ecuador
Germán Pavón Puente,Lugar de nacimiento,Quito,ecuador
Germán Pavón Puente,Ocupación,sacerdote católico,ecuador
Germán Pavón Puente,Ciudadanía,Ecuador,ecuador
Germán Pavón Puente,Educado en,Pontificia Universidad Gregoriana,ecuador
Germán Pavón Puente,Cargo,obispo diocesano,ecuador
Germán Pavón Puente,Fecha de nacimiento,1936-10-28,ecuador
Germán Pavón Puente,Fecha de defunción,2025-02-22,ecuador
Germán Pavón Puente,Ocupación,obispo emérito,ecuador
Germán Pavón Puente,Ocupación,obispo católico,ecuador
Enrique Ayala Mora,Miembro de,Cruz Roja Ecuatoriana,ecuador
Enrique Ayala Mora,Empleador,Universidad de Cuenca,ecuador
Enrique Ayala Mora,Empleador,Hoy,ecuador
Enrique Ayala Mora,Empleador,Instituto de Altos Estudios Nacionales,ecuador
Enrique Ayala Mora,Empleador,Ministerio de Educación y Cultura de Ecuador,ecuador
Enrique Chediak,Lugar de nacimiento,Quito,ecuador
Enrique Chediak,Ocupación,director de fotografía,ecuador
Enrique Chediak,Ciudadanía,Ecuador,ecuador
Enrique Chediak,Fecha de nacimiento,1967-01-01,ecuador
Enrique Chediak,Ocupación,director de cine,ecuador
José Luis Perlaza,Lugar de nacimiento,Esmeraldas,ecuador
José Luis Perlaza,Ocupación,futbolista,ecuador
José Luis Perlaza,Ciudadanía,Ecuador,ecuador
José Luis Perlaza,Fecha de nacimiento,1981-10-06,ecuador
Miguel Febres Cordero,Lugar de nacimiento,Cuenca,ecuador
Miguel Febres Cordero,Ocupación,educador,ecuador
Miguel Febres Cordero,Ciudadanía,Ecuador,ecuador
Miguel Febres Cordero,Fecha de nacimiento,1854-11-07,ecuador
Miguel Febres Cordero,Fecha de defunción,1910-02-12,ecuador
Luis Alberto Costales,Lugar de nacimiento,Riobamba,ecuador
Luis Alberto Costales,Ocupación,poeta,ecuador
Luis Alberto Costales,Ciudadanía,Ecuador,ecuador
Luis Alberto Costales,Fecha de nacimiento,1926-12-24,ecuador
Luis Alberto Costales,Fecha de defunción,2006-02-01,ecuador
Luis Alberto Costales,Ocupación,político,ecuador
Héctor Chiles,Lugar de nacimiento,Carchi,ecuador
Héctor Chiles,Ocupación,ciclista,ecuador
Héctor Chiles,Ciudadanía,Ecuador,ecuador
Héctor Chiles,Fecha de nacimiento,1971-02-11,ecuador
Raúl Vallejo,Lugar de nacimiento,Manta,ecuador
Raúl Vallejo,Ocupación,escritor,ecuador
Raúl Vallejo,Ciudadanía,Ecuador,ecuador
Raúl Vallejo,Educado en,Universidad Católica de Santiago de Guayaquil,ecuador
Raúl Vallejo,Obra notable,Fiesta de solitarios,ecuador
Raúl Vallejo,Premio recibido,Premio Joaquín Gallegos Lara,ecuador
Raúl Vallejo,Fecha de nacimiento,1959-06-28,ecuador
Raúl Vallejo,Ocupación,político,ecuador
Raúl Vallejo,Ocupación,académico,ecuador
Raúl Vallejo,Premio recibido,Premio Aurelio Espinosa Pólit,ecuador
Raúl Vallejo,Premio recibido,Premio Real Academia Española,ecuador
Raúl Vallejo,Premio recibido,Premio José Lezama Lima,ecuador
Raúl Vallejo,Premio recibido,Premio de Narrativa Miguel Donoso Pareja,ecuador
Raúl Vallejo,Premio recibido,Premio Joaquín Gallegos Lara de novela,ecuador
Raúl Vallejo,Premio recibido,Premio Joaquín Gallegos Lara de cuento,ecuador
Raúl Vallejo,Obra notable,Acoso textual,ecuador
Sebastián Cordero,Lugar de nacimiento,Quito,ecuador
Sebastián Cordero,Ocupación,guionista,ecuador
Sebastián Cordero,Ciudadanía,Ecuador,ecuador
Sebastián Cordero,Educado en,Universidad del Sur de California,ecuador
Sebastián Cordero,Obra notable,"Ratas, ratones, rateros",ecuador
Sebastián Cordero,Fecha de nacimiento,1972-05-23,ecuador
Sebastián Cordero,Ocupación,director de cine,ecuador
Sebastián Cordero,Ocupación,productor de cine,ecuador
Gerardo Guevara,Lugar de nacimiento,Quito,ecuador
Gerardo Guevara,Ocupación,compositor,ecuador
