entidad,relacion,objeto,source_file
Guillermo Rivera,Lugar de nacimiento,San Salvador,el_salvador
Guillermo Rivera,Ocupación,entrenador,el_salvador
Guillermo Rivera,Ciudadanía,El Salvador,el_salvador
Guillermo Rivera,Fecha de nacimiento,1969-11-25,el_salvador
Guillermo Rivera,Ocupación,futbolista,el_salvador
Guillermo Manuel Ungo,Lugar de nacimiento,San Salvador,el_salvador
Guillermo Manuel Ungo,Ocupación,político,el_salvador
Guillermo Manuel Ungo,Ciudadanía,El Salvador,el_salvador
Guillermo Manuel Ungo,Educado en,Universidad de El Salvador,el_salvador
Guillermo Manuel Ungo,Fecha de nacimiento,1931-09-03,el_salvador
Guillermo Manuel Ungo,Fecha de defunción,1991-02-28,el_salvador
Gustavo Manzur,Ocupación,luchador,el_salvador
Gustavo Manzur,Ciudadanía,El Salvador,el_salvador
Gustavo Manzur,Fecha de nacimiento,1959-11-09,el_salvador
Alberto Rivas Bonilla,Lugar de nacimiento,Santa Tecla,el_salvador
Alberto Rivas Bonilla,Ocupación,escritor,el_salvador
Alberto Rivas Bonilla,Ciudadanía,El Salvador,el_salvador
Alberto Rivas Bonilla,Fecha de nacimiento,1891-09-04,el_salvador
Alberto Rivas Bonilla,Fecha de defunción,1985-11-29,el_salvador
Alberto Rivas Bonilla,Ocupación,médico,el_salvador
Alberto Rivas Bonilla,Ocupación,poeta,el_salvador
Wenceslao Cisneros,Lugar de nacimiento,San Salvador,el_salvador
Wenceslao Cisneros,Ocupación,pintor,el_salvador
Wenceslao Cisneros,Ciudadanía,El Salvador,el_salvador
Wenceslao Cisneros,Fecha de nacimiento,1823-10-04,el_salvador
Wenceslao Cisneros,Fecha de defunción,1878-06-12,el_salvador
Wenceslao Cisneros,Ocupación,caricaturista,el_salvador
Wenceslao Cisneros,Ocupación,litógrafo,el_salvador
Wenceslao Cisneros,Ciudadanía,Imperio Español,el_salvador
Wenceslao Cisneros,Ciudadanía,República Federal de Centroamérica,el_salvador
Wenceslao Cisneros,Ciudadanía,Provincias Unidas del Centro de América,el_salvador
Alejandro Marroquín,Lugar de nacimiento,San Salvador,el_salvador
Alejandro Marroquín,Ocupación,antropólogo,el_salvador
Alejandro Marroquín,Ciudadanía,México,el_salvador
Alejandro Marroquín,Educado en,Universidad de El Salvador,el_salvador
Alejandro Marroquín,Fecha de nacimiento,1911-03-24,el_salvador
Alejandro Marroquín,Fecha de defunción,1977-01-01,el_salvador
Alejandro Marroquín,Ciudadanía,El Salvador,el_salvador
Alfredo Martínez Moreno,Lugar de nacimiento,El Salvador,el_salvador
Alfredo Martínez Moreno,Ocupación,abogado,el_salvador
Alfredo Martínez Moreno,Ciudadanía,El Salvador,el_salvador
Alfredo Martínez Moreno,Educado en,Universidad de El Salvador,el_salvador
Alfredo Martínez Moreno,Miembro de,Academia Norteamericana de la Lengua Española,el_salvador
Alfredo Martínez Moreno,Premio recibido,Orden El Sol del Perú,el_salvador
Alfredo Martínez Moreno,Fecha de nacimiento,1923-09-23,el_salvador
Alfredo Martínez Moreno,Fecha de defunción,2021-10-02,el_salvador
Alfredo Martínez Moreno,Ocupación,diplomático,el_salvador
Alice Lardé de Venturino,Lugar de nacimiento,San Salvador,el_salvador
Alice Lardé de Venturino,Ocupación,científico,el_salvador
Alice Lardé de Venturino,Ciudadanía,El Salvador,el_salvador
Alice Lardé de Venturino,Fecha de nacimiento,1895-06-29,el_salvador
Alice Lardé de Venturino,Fecha de defunción,1983-10-14,el_salvador
Alice Lardé de Venturino,Ocupación,escritor,el_salvador
Alice Lardé de Venturino,Ocupación,compositor,el_salvador
Alice Lardé de Venturino,Ocupación,poeta,el_salvador
Aniceto Porsisoca,Lugar de nacimiento,Santa Ana,el_salvador
Aniceto Porsisoca,Ocupación,actor,el_salvador
Aniceto Porsisoca,Ciudadanía,El Salvador,el_salvador
Aniceto Porsisoca,Fecha de nacimiento,1928-02-24,el_salvador
Aniceto Porsisoca,Fecha de defunción,1993-06-09,el_salvador
Ramón A. Valdez,Lugar de nacimiento,Jayaque,el_salvador
Ramón A. Valdez,Ocupación,futbolista,el_salvador
Ramón A. Valdez,Ciudadanía,El Salvador,el_salvador
Ramón A. Valdez,Fecha de nacimiento,1985-08-07,el_salvador
David Granadino,Lugar de nacimiento,Santa Ana,el_salvador
David Granadino,Ocupación,compositor,el_salvador
David Granadino,Ciudadanía,El Salvador,el_salvador
David Granadino,Fecha de nacimiento,1876-06-13,el_salvador
David Granadino,Fecha de defunción,1933-08-22,el_salvador
Antonio Bonilla,Lugar de nacimiento,San Salvador,el_salvador
Antonio Bonilla,Ocupación,pintor,el_salvador
Antonio Bonilla,Ciudadanía,El Salvador,el_salvador
Antonio Bonilla,Fecha de nacimiento,1954-01-01,el_salvador
Armando Arteaga,Lugar de nacimiento,Guatemala,el_salvador
Armando Arteaga,Ocupación,revolucionario,el_salvador
Armando Arteaga,Ciudadanía,El Salvador,el_salvador
Armando Arteaga,Fecha de defunción,1975-05-10,el_salvador
Armando Molina,Lugar de nacimiento,San Salvador,el_salvador
Armando Molina,Ocupación,escritor,el_salvador
Armando Molina,Ciudadanía,El Salvador,el_salvador
Armando Molina,Educado en,Universidad Estatal de San Francisco,el_salvador
Armando Molina,Fecha de nacimiento,1957-08-18,el_salvador
Armando Molina,Ocupación,periodista,el_salvador
Henry Escobar,Lugar de nacimiento,Guazapa,el_salvador
Henry Escobar,Ocupación,futbolista,el_salvador
Henry Escobar,Ciudadanía,El Salvador,el_salvador
Henry Escobar,Fecha de nacimiento,1990-05-25,el_salvador
Henry Hernández,Lugar de nacimiento,San Salvador,el_salvador
Henry Hernández,Ocupación,futbolista,el_salvador
Henry Hernández,Ciudadanía,El Salvador,el_salvador
Henry Hernández,Fecha de nacimiento,1985-01-04,el_salvador
Henry Martínez,Ocupación,boxeador,el_salvador
Henry Martínez,Ciudadanía,El Salvador,el_salvador
Henry Martínez,Fecha de nacimiento,1971-01-20,el_salvador
Benjamín Solís Menéndez,Lugar de nacimiento,Chalchuapa,el_salvador
Benjamín Solís Menéndez,Ocupación,compositor,el_salvador
Benjamín Solís Menéndez,Ciudadanía,El Salvador,el_salvador
Benjamín Solís Menéndez,Fecha de nacimiento,1932-05-04,el_salvador
Benjamín Solís Menéndez,Fecha de defunción,2019-07-26,el_salvador
Benjamín Solís Menéndez,Ocupación,director de orquesta,el_salvador
Benjamín Solís Menéndez,Ocupación,pianista,el_salvador
