entidad,relacion,objeto,source_file
Agustín Gómez,Lugar de nacimiento,Guatemala,guatemala
Agustín Gómez,Ocupación,escritor,guatemala
Agustín Gómez,Ciudadanía,Guatemala,guatemala
Agustín Gómez,Fecha de nacimiento,1838-02-24,guatemala
Agustín Gómez,Fecha de defunción,1908-05-07,guatemala
Agustín Gómez,Ocupación,abogado,guatemala
Agustín Iriarte,Ocupación,pintor,guatemala
Agustín Iriarte,Ciudadanía,Guatemala,guatemala
Agustín Iriarte,Fecha de nacimiento,1876-01-01,guatemala
Agustín Iriarte,Fecha de defunción,1963-01-01,guatemala
Alaíde Foppa,Lugar de nacimiento,Barcelona,guatemala
Alaíde Foppa,Ocupación,escritor,guatemala
Alaíde Foppa,Ciudadanía,España,guatemala
Alaíde Foppa,Educado en,Sorbonne Universidad de París,guatemala
Alaíde Foppa,Empleador,Universidad Nacional Autónoma de México,guatemala
Alaíde Foppa,Fecha de nacimiento,1914-12-03,guatemala
Alaíde Foppa,Ocupación,profesor,guatemala
Alaíde Foppa,Ocupación,poeta,guatemala
Alaíde Foppa,Ocupación,traductor,guatemala
Alaíde Foppa,Ocupación,crítico de arte,guatemala
Alaíde Foppa,Ocupación,diarista,guatemala
Alaíde Foppa,Ciudadanía,México,guatemala
Alaíde Foppa,Ciudadanía,Guatemala,guatemala
Harris Whitbeck,Lugar de nacimiento,Guatemala,guatemala
Harris Whitbeck,Ocupación,periodista,guatemala
Harris Whitbeck,Ciudadanía,Guatemala,guatemala
Harris Whitbeck,Educado en,Columbia University Graduate School of Journalism,guatemala
Harris Whitbeck,Empleador,Q1282786,guatemala
Harris Whitbeck,Fecha de nacimiento,1965-05-25,guatemala
Harris Whitbeck,Ocupación,presentador,guatemala
Harris Whitbeck,Educado en,Washington College,guatemala
Alejandro Sinibaldi,Lugar de nacimiento,Mazatenango,guatemala
Alejandro Sinibaldi,Ocupación,político,guatemala
Alejandro Sinibaldi,Ciudadanía,Guatemala,guatemala
Alejandro Sinibaldi,Educado en,Universidad Rafael Landívar,guatemala
Alejandro Sinibaldi,Fecha de nacimiento,1970-11-22,guatemala
Alfonso Bauer Paiz,Lugar de nacimiento,Ciudad de Guatemala,guatemala
Alfonso Bauer Paiz,Ocupación,escritor,guatemala
Alfonso Bauer Paiz,Ciudadanía,Guatemala,guatemala
Alfonso Bauer Paiz,Educado en,Universidad de San Carlos de Guatemala,guatemala
Alfonso Bauer Paiz,Cargo,Diputado del Congreso de Guatemala,guatemala
Alfonso Bauer Paiz,Fecha de nacimiento,1918-04-29,guatemala
Alfonso Bauer Paiz,Fecha de defunción,2011-07-10,guatemala
