entidad,relacion,objeto,source_file
Edgard Crisanto,Lugar de nacimiento,Tela,honduras
Edgard Crisanto,Ocupación,futbolista,honduras
Edgard Crisanto,Ciudadanía,Honduras,honduras
Edgard Crisanto,Fecha de nacimiento,1989-04-20,honduras
Randy Diamond,Lugar de nacimiento,Santa Bárbara,honduras
Randy Diamond,Ocupación,entrenador,honduras
Randy Diamond,Ciudadanía,Honduras,honduras
Randy Diamond,Fecha de nacimiento,1987-01-14,honduras
Randy Diamond,Ocupación,futbolista,honduras
Josué Discua,Lugar de nacimiento,Comayagua,honduras
Josué Discua,Ocupación,futbolista,honduras
Josué Discua,Ciudadanía,Honduras,honduras
Josué Discua,Fecha de nacimiento,1991-09-12,honduras
Manuel Doño,Lugar de nacimiento,San Pedro Sula,honduras
Manuel Doño,Ocupación,futbolista,honduras
Manuel Doño,Ciudadanía,Honduras,honduras
Manuel Doño,Fecha de nacimiento,1989-09-13,honduras
José Escalante,Lugar de nacimiento,Villanueva,honduras
José Escalante,Ocupación,entrenador,honduras
José Escalante,Ciudadanía,Honduras,honduras
José Escalante,Fecha de nacimiento,1995-05-29,honduras
José Escalante,Ocupación,futbolista,honduras
Kevin Espinoza,Lugar de nacimiento,San Pedro Sula,honduras
Kevin Espinoza,Ocupación,futbolista,honduras
Kevin Espinoza,Ciudadanía,Honduras,honduras
Kevin Espinoza,Fecha de nacimiento,1993-04-21,honduras
Bryan Róchez,Lugar de nacimiento,Tegucigalpa,honduras
Bryan Róchez,Ocupación,entrenador,honduras
Bryan Róchez,Ciudadanía,Honduras,honduras
Bryan Róchez,Fecha de nacimiento,1995-01-01,honduras
Bryan Róchez,Ocupación,futbolista,honduras
Brayan Figueroa,Lugar de nacimiento,San Pedro Sula,honduras
Brayan Figueroa,Ocupación,futbolista,honduras
Brayan Figueroa,Ciudadanía,Honduras,honduras
Brayan Figueroa,Fecha de nacimiento,1992-03-28,honduras
Juan Flores Madariaga,Lugar de nacimiento,El Porvenir,honduras
Juan Flores Madariaga,Ocupación,futbolista,honduras
Juan Flores Madariaga,Ciudadanía,Honduras,honduras
Juan Flores Madariaga,Fecha de nacimiento,1964-03-08,honduras
Alexander García,Lugar de nacimiento,Tegucigalpa,honduras
Alexander García,Ocupación,futbolista,honduras
Alexander García,Ciudadanía,Honduras,honduras
Alexander García,Fecha de nacimiento,1990-02-23,honduras
Brayan García,Lugar de nacimiento,Catacamas,honduras
Brayan García,Ocupación,futbolista,honduras
Brayan García,Ciudadanía,Honduras,honduras
Brayan García,Fecha de nacimiento,1993-03-26,honduras
Brayan García,Fecha de nacimiento,1993-05-26,honduras
Luis García Peña,Lugar de nacimiento,El Progreso,honduras
Luis García Peña,Ocupación,futbolista,honduras
Luis García Peña,Ciudadanía,Honduras,honduras
Luis García Peña,Fecha de nacimiento,1993-04-28,honduras
Ana García Carías,Lugar de nacimiento,Tegucigalpa,honduras
Ana García Carías,Ocupación,presidente,honduras
Ana García Carías,Ciudadanía,Honduras,honduras
Ana García Carías,Educado en,Universidad de Albany,honduras
Ana García Carías,Cargo,Primera Dama de Honduras,honduras
Ana García Carías,Fecha de nacimiento,1969-09-21,honduras
Ana García Carías,Ocupación,abogado,honduras
Ana García Carías,Ocupación,político,honduras
Ana García Carías,Educado en,Universidad Nacional Autónoma de Honduras,honduras
Harlinton Gutiérrez,Lugar de nacimiento,José Santos Guardiola,honduras
Harlinton Gutiérrez,Ocupación,futbolista,honduras
Harlinton Gutiérrez,Ciudadanía,Honduras,honduras
Harlinton Gutiérrez,Fecha de nacimiento,1992-06-05,honduras
Hernán García Martínez,Lugar de nacimiento,Puerto Cortés,honduras
Hernán García Martínez,Ocupación,futbolista,honduras
Hernán García Martínez,Ciudadanía,Honduras,honduras
Hernán García Martínez,Fecha de nacimiento,1956-10-08,honduras
Hernán García Martínez,Fecha de defunción,2020-03-05,honduras
Franklyn Jhonson,Lugar de nacimiento,La Ceiba,honduras
Franklyn Jhonson,Ocupación,futbolista,honduras
Franklyn Jhonson,Ciudadanía,Honduras,honduras
Franklyn Jhonson,Fecha de nacimiento,1988-11-26,honduras
Ronald Martínez Ponce,Lugar de nacimiento,Tegucigalpa,honduras
Ronald Martínez Ponce,Ocupación,futbolista,honduras
Ronald Martínez Ponce,Ciudadanía,Honduras,honduras
Ronald Martínez Ponce,Fecha de nacimiento,1990-07-26,honduras
Henrry Mejia,Lugar de nacimiento,Balfate,honduras
Henrry Mejia,Ocupación,futbolista,honduras
Henrry Mejia,Ciudadanía,Honduras,honduras
Henrry Mejia,Fecha de nacimiento,1991-03-13,honduras
Henrry Mejia,Fecha de defunción,2014-05-21,honduras
Rubén Licona,Lugar de nacimiento,Catacamas,honduras
Rubén Licona,Ocupación,futbolista,honduras
Rubén Licona,Ciudadanía,Honduras,honduras
Rubén Licona,Fecha de nacimiento,1986-09-29,honduras
Efraín López,Lugar de nacimiento,La Ceiba,honduras
Efraín López,Ocupación,futbolista,honduras
Efraín López,Ciudadanía,Honduras,honduras
Efraín López,Fecha de nacimiento,1987-04-19,honduras
Tela,país,Honduras,honduras
Tela,instancia de,municipio de Honduras,honduras
Tela,situado en la entidad territorial administrativa,Departamento de Atlántida,honduras
Tela,ciudad hermana,Cancún,honduras
Tela,ciudad hermana,La Ceiba,honduras
futbolista,instancia de,profesión,honduras
futbolista,instancia de,ocupación,honduras
futbolista,subclase de,jugador competitivo,honduras
futbolista,subclase de,Jugador de fútbol,honduras
Honduras,país,Honduras,honduras
Honduras,jefe de gobierno,Xiomara Castro,honduras
Honduras,continente,América del Norte,honduras
Honduras,instancia de,país,honduras
Honduras,instancia de,estado soberano,honduras
Santa Bárbara,capital de,Departamento de Santa Bárbara,honduras
Santa Bárbara,diferente de,Santa Bárbara,honduras
Santa Bárbara,país,Honduras,honduras
Santa Bárbara,instancia de,ciudad,honduras
Santa Bárbara,instancia de,municipio de Honduras,honduras
entrenador,instancia de,profesión,honduras
