entidad,relacion,objeto,source_file
Rodulfo Brito Foucher,Lugar de nacimiento,Villahermosa,mexico
Rodulfo Brito Foucher,Ocupación,abogado,mexico
Rodulfo Brito Foucher,Ciudadanía,México,mexico
Rodulfo Brito Foucher,Empleador,Universidad Nacional Autónoma de México,mexico
Rodulfo Brito Foucher,Premio recibido,doctor honoris causa por la Universidad Laval,mexico
Rodulfo Brito Foucher,Fecha de nacimiento,1899-11-08,mexico
Rodulfo Brito Foucher,Fecha de defunción,1970-05-15,mexico
Rodulfo Brito Foucher,Ocupación,jurista,mexico
Rodulfo Brito Foucher,Ocupación,profesor universitario,mexico
Marco Fabián de la Mora,Lugar de nacimiento,Guadalajara,mexico
Marco Fabián de la Mora,Ocupación,futbolista,mexico
Marco Fabián de la Mora,Ciudadanía,México,mexico
Marco Fabián de la Mora,Fecha de nacimiento,1989-07-21,mexico
Eizi Matuda,Lugar de nacimiento,prefectura de Nagasaki,mexico
Eizi Matuda,Ocupación,catedrático,mexico
Eizi Matuda,Ciudadanía,Japón,mexico
Eizi Matuda,Educado en,Universidad de Tokio,mexico
Eizi Matuda,Empleador,Universidad Nacional Autónoma de México,mexico
Eizi Matuda,Fecha de nacimiento,1894-04-20,mexico
Eizi Matuda,Fecha de defunción,1978-02-12,mexico
Eizi Matuda,Ocupación,recolector de plantas,mexico
Eizi Matuda,Ocupación,botánico,mexico
Eizi Matuda,Ciudadanía,México,mexico
Eizi Matuda,Ciudadanía,Imperio del Japón,mexico
Stephen F. Austin,Lugar de nacimiento,Condado de Wythe,mexico
Stephen F. Austin,Ocupación,político,mexico
Stephen F. Austin,Ciudadanía,Estados Unidos,mexico
Stephen F. Austin,Educado en,Universidad Transylvania,mexico
Stephen F. Austin,Fecha de nacimiento,1793-11-03,mexico
Stephen F. Austin,Fecha de defunción,1836-12-27,mexico
Stephen F. Austin,Ciudadanía,México,mexico
Stephen F. Austin,Ciudadanía,República de Texas,mexico
Stephen F. Austin,Educado en,Bacon Academy,mexico
Rafael Coronel,Lugar de nacimiento,Zacatecas,mexico
Rafael Coronel,Ocupación,pintor,mexico
Rafael Coronel,Ciudadanía,México,mexico
Rafael Coronel,Educado en,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",mexico
Rafael Coronel,Fecha de nacimiento,1931-10-24,mexico
Rafael Coronel,Fecha de defunción,2019-05-07,mexico
Álvaro Corcuera,Lugar de nacimiento,Ciudad de México,mexico
