entidad,relacion,objeto,source_file
Federico Escobar,Lugar de nacimiento,Ciudad de Panamá,panama
Federico Escobar,Ocupación,poeta,panama
Federico Escobar,Ciudadanía,Panamá,panama
Federico Escobar,Fecha de nacimiento,1861-07-16,panama
Federico Escobar,Fecha de defunción,1912-08-02,panama
Roberto Antonio Nurse,Lugar de nacimiento,Q204245,panama
Roberto Antonio Nurse,Ocupación,futbolista,panama
Roberto Antonio Nurse,Ciudadanía,México,panama
Roberto Antonio Nurse,Fecha de nacimiento,1983-12-16,panama
Roberto Antonio Nurse,Ciudadanía,Panamá,panama
Abdiel J. Adames,Lugar de nacimiento,Ciudad de Panamá,panama
Abdiel J. Adames,Ocupación,químico,panama
Abdiel J. Adames,Ciudadanía,Panamá,panama
Abdiel J. Adames,Educado en,Universidad de Panamá,panama
Abdiel J. Adames,Fecha de nacimiento,1938-03-18,panama
Abdiel J. Adames,Fecha de defunción,2005-06-16,panama
Abdiel J. Adames,Ocupación,biólogo,panama
Abel Bravo,Lugar de nacimiento,Ciudad de Panamá,panama
Abel Bravo,Ocupación,político,panama
Abel Bravo,Ciudadanía,Panamá,panama
Abel Bravo,Fecha de nacimiento,1861-01-02,panama
Abel Bravo,Fecha de defunción,1934-09-15,panama
Abel Bravo,Ocupación,catedrático,panama
Abel Castillo Pérez,Lugar de nacimiento,Parita,panama
Abel Castillo Pérez,Ocupación,escritor,panama
Abel Castillo Pérez,Ciudadanía,Panamá,panama
Abel Castillo Pérez,Educado en,Universidad de Panamá,panama
Abel Castillo Pérez,Fecha de nacimiento,1939-02-16,panama
Abel Castillo Pérez,Fecha de defunción,2015-03-05,panama
Acracia Sarasqueta,Lugar de nacimiento,Ciudad de Panamá,panama
Acracia Sarasqueta,Ocupación,escritor,panama
Acracia Sarasqueta,Ciudadanía,Panamá,panama
Acracia Sarasqueta,Educado en,Universidad de Panamá,panama
Acracia Sarasqueta,Fecha de nacimiento,1913-04-14,panama
Acracia Sarasqueta,Fecha de defunción,2000-09-17,panama
Acracia Sarasqueta,Ocupación,abogado,panama
Adán Gordón,Lugar de nacimiento,Taboga,panama
Adán Gordón,Ocupación,nadador,panama
Adán Gordón,Ciudadanía,Panamá,panama
Adán Gordón,Fecha de nacimiento,1906-06-21,panama
