entidad,relacion,objeto,source_file
Heriberto Herrera,Lugar de nacimiento,Guarambaré,paraguay
Heriberto Herrera,Ocupación,entrenador,paraguay
Heriberto Herrera,Ciudadanía,España,paraguay
Heriberto Herrera,Fecha de nacimiento,1926-04-24,paraguay
Heriberto Herrera,Fecha de defunción,1996-07-26,paraguay
Heriberto Herrera,Ocupación,futbolista,paraguay
Heriberto Herrera,Ciudadanía,Paraguay,paraguay
Gerardo Romero,Lugar de nacimiento,Paraguay,paraguay
Gerardo Romero,Ocupación,futbolista,paraguay
Gerardo Romero,Ciudadanía,Paraguay,paraguay
Gerardo Romero,Fecha de nacimiento,1905-11-30,paraguay
Gerardo Romero,Fecha de nacimiento,1906-01-01,paraguay
Adolfino Cañete,Lugar de nacimiento,Asunción,paraguay
Adolfino Cañete,Ocupación,entrenador,paraguay
Adolfino Cañete,Ciudadanía,Paraguay,paraguay
Adolfino Cañete,Fecha de nacimiento,1956-09-13,paraguay
Adolfino Cañete,Ocupación,futbolista,paraguay
Diego Figueredo,Lugar de nacimiento,Asunción,paraguay
Diego Figueredo,Ocupación,entrenador,paraguay
Diego Figueredo,Ciudadanía,Paraguay,paraguay
Diego Figueredo,Fecha de nacimiento,1982-04-28,paraguay
Diego Figueredo,Ocupación,futbolista,paraguay
Delfín Benítez Cáceres,Lugar de nacimiento,Asunción,paraguay
Delfín Benítez Cáceres,Ocupación,entrenador,paraguay
Delfín Benítez Cáceres,Ciudadanía,Argentina,paraguay
Delfín Benítez Cáceres,Fecha de nacimiento,1910-09-24,paraguay
Delfín Benítez Cáceres,Fecha de defunción,2004-01-08,paraguay
Delfín Benítez Cáceres,Ocupación,futbolista,paraguay
Delfín Benítez Cáceres,Ciudadanía,Paraguay,paraguay
David Portillo,Lugar de nacimiento,San Juan Bautista,paraguay
David Portillo,Ocupación,futbolista,paraguay
David Portillo,Ciudadanía,Paraguay,paraguay
David Portillo,Fecha de nacimiento,1984-11-24,paraguay
Ubaldo Aquino,Lugar de nacimiento,San Pedro de Ycuamandiyú,paraguay
Ubaldo Aquino,Ocupación,árbitro de fútbol,paraguay
Ubaldo Aquino,Ciudadanía,Paraguay,paraguay
Ubaldo Aquino,Fecha de nacimiento,1958-05-02,paraguay
Epifanio González,Lugar de nacimiento,Asunción,paraguay
Epifanio González,Ocupación,entrenador,paraguay
Epifanio González,Ciudadanía,Paraguay,paraguay
Epifanio González,Cargo,árbitro FIFA,paraguay
Epifanio González,Fecha de nacimiento,1958-01-19,paraguay
Epifanio González,Ocupación,árbitro de fútbol,paraguay
Epifanio González,Ocupación,futbolista,paraguay
Esther Ballestrino,Lugar de nacimiento,Fray Bentos,paraguay
Esther Ballestrino,Ocupación,activista,paraguay
Esther Ballestrino,Ciudadanía,Uruguay,paraguay
Esther Ballestrino,Educado en,Universidad Nacional de Asunción,paraguay
Esther Ballestrino,Miembro de,Madres de Plaza de Mayo,paraguay
Esther Ballestrino,Fecha de nacimiento,1918-01-01,paraguay
Esther Ballestrino,Fecha de defunción,1977-01-01,paraguay
Esther Ballestrino,Fecha de nacimiento,1918-01-20,paraguay
Esther Ballestrino,Fecha de defunción,1977-12-18,paraguay
Esther Ballestrino,Ciudadanía,Argentina,paraguay
Esther Ballestrino,Ciudadanía,Paraguay,paraguay
Herminio Miranda,Lugar de nacimiento,Itá,paraguay
Herminio Miranda,Ocupación,futbolista,paraguay
Herminio Miranda,Ciudadanía,Paraguay,paraguay
Herminio Miranda,Fecha de nacimiento,1985-04-04,paraguay
Herminio Miranda,Fecha de nacimiento,1985-05-07,paraguay
José Luis Appleyard,Lugar de nacimiento,Asunción,paraguay
José Luis Appleyard,Ocupación,abogado,paraguay
José Luis Appleyard,Ciudadanía,Paraguay,paraguay
José Luis Appleyard,Educado en,Universidad Nacional de Asunción,paraguay
José Luis Appleyard,Fecha de nacimiento,1927-05-05,paraguay
José Luis Appleyard,Fecha de defunción,1998-01-01,paraguay
José Luis Appleyard,Ocupación,poeta,paraguay
José Luis Appleyard,Ocupación,dramaturgo,paraguay
José Luis Appleyard,Ocupación,periodista,paraguay
José Luis Appleyard,Ocupación,editor,paraguay
Edgar Rolón,Ocupación,entrenador,paraguay
Edgar Rolón,Ciudadanía,Paraguay,paraguay
Edgar Rolón,Fecha de nacimiento,1981-11-28,paraguay
Edgar Rolón,Ocupación,futbolista,paraguay
Lorenzo Melgarejo,Lugar de nacimiento,Loma Grande,paraguay
Lorenzo Melgarejo,Ocupación,futbolista,paraguay
Lorenzo Melgarejo,Ciudadanía,Paraguay,paraguay
Lorenzo Melgarejo,Fecha de nacimiento,1990-08-10,paraguay
Juan Daniel Cáceres,Lugar de nacimiento,Asunción,paraguay
Juan Daniel Cáceres,Ocupación,entrenador,paraguay
Juan Daniel Cáceres,Ciudadanía,Paraguay,paraguay
Juan Daniel Cáceres,Fecha de nacimiento,1973-06-10,paraguay
Juan Daniel Cáceres,Ocupación,futbolista,paraguay
Juan Daniel Cáceres,Fecha de nacimiento,1973-10-06,paraguay
Juan Manuel Iturbe,Lugar de nacimiento,Buenos Aires,paraguay
Juan Manuel Iturbe,Ocupación,futbolista,paraguay
Juan Manuel Iturbe,Ciudadanía,Argentina,paraguay
Juan Manuel Iturbe,Fecha de nacimiento,1993-06-04,paraguay
Juan Manuel Iturbe,Ciudadanía,Paraguay,paraguay
Fidel Maíz,Lugar de nacimiento,Arroyos y Esteros,paraguay
Fidel Maíz,Ocupación,político,paraguay
Fidel Maíz,Ciudadanía,Paraguay,paraguay
Fidel Maíz,Fecha de nacimiento,1828-03-08,paraguay
Fidel Maíz,Fecha de defunción,1920-01-01,paraguay
Eulogio Martínez,Lugar de nacimiento,Asunción,paraguay
Eulogio Martínez,Ocupación,futbolista,paraguay
Eulogio Martínez,Ciudadanía,España,paraguay
Eulogio Martínez,Fecha de nacimiento,1935-03-11,paraguay
Eulogio Martínez,Fecha de defunción,1984-09-30,paraguay
Eulogio Martínez,Fecha de nacimiento,1935-06-11,paraguay
Eulogio Martínez,Ciudadanía,Paraguay,paraguay
