entidad,relacion,objeto,source_file
Mario Testino,Lugar de nacimiento,Lima,peru
Mario Testino,Ocupación,fotógrafo,peru
Mario Testino,Ciudadanía,Reino Unido,peru
Mario Testino,Educado en,Universidad del Pacífico,peru
Mario Testino,Miembro de,Royal Photographic Society,peru
Mario Testino,Premio recibido,Oficial de la Orden Nacional de la Legión de Honor,peru
Mario Testino,Fecha de nacimiento,1954-10-30,peru
Mario Testino,Ocupación,fotógrafo de modas,peru
Mario Testino,Ciudadanía,Perú,peru
Mario Testino,Premio recibido,Orden al Mérito por Servicios Distinguidos,peru
Mario Testino,Premio recibido,Oficial de la Orden del Imperio Británico,peru
Miguel Núñez de Sanabria,Lugar de nacimiento,Lima,peru
Miguel Núñez de Sanabria,Ocupación,abogado,peru
Miguel Núñez de Sanabria,Ciudadanía,España,peru
Miguel Núñez de Sanabria,Educado en,Universidad Nacional Mayor de San Marcos,peru
Miguel Núñez de Sanabria,Cargo,virrey del Perú,peru
Miguel Núñez de Sanabria,Fecha de nacimiento,1645-07-30,peru
Miguel Núñez de Sanabria,Fecha de defunción,1729-01-01,peru
Miguel Núñez de Sanabria,Ocupación,político,peru
Miguel Núñez de Sanabria,Ciudadanía,Perú,peru
Héctor Bailetti,Lugar de nacimiento,Chincha Alta,peru
Héctor Bailetti,Ocupación,entrenador,peru
Héctor Bailetti,Ciudadanía,Perú,peru
Héctor Bailetti,Fecha de nacimiento,1947-11-27,peru
Héctor Bailetti,Ocupación,futbolista,peru
Mario Testino,Educado en,Pontificia Universidad Católica del Perú,peru
Mario Testino,Educado en,Universidad de California en San Diego,peru
Hernán Barcos,Lugar de nacimiento,Bell Ville,peru
Hernán Barcos,Ocupación,futbolista,peru
Hernán Barcos,Ciudadanía,Argentina,peru
Hernán Barcos,Fecha de nacimiento,1984-04-11,peru
Hernán Barcos,Ciudadanía,Perú,peru
Edwin Retamoso,Lugar de nacimiento,Abancay,peru
Edwin Retamoso,Ocupación,entrenador,peru
Edwin Retamoso,Ciudadanía,Perú,peru
Edwin Retamoso,Fecha de nacimiento,1982-02-23,peru
Edwin Retamoso,Ocupación,futbolista,peru
Luis Solari,Lugar de nacimiento,Lima,peru
Luis Solari,Ocupación,médico,peru
Luis Solari,Ciudadanía,Perú,peru
Luis Solari,Educado en,Universidad Nacional Mayor de San Marcos,peru
Luis Solari,Cargo,Presidente del Consejo de Ministros del Perú,peru
Luis Solari,Premio recibido,Gran Cruz de la Orden de Isabel la Católica,peru
Luis Solari,Fecha de nacimiento,1948-01-28,peru
Luis Solari,Ocupación,político,peru
Luis Solari,Premio recibido,Gran Cruz de la Orden El Sol del Perú,peru
Luis Solari,Educado en,Colegio de la Inmaculada,peru
Luis Solari,Cargo,Ministro de Salud del Perú,peru
Luis Solari,Cargo,congresista del Perú,peru
Pedro Gonzales,Lugar de nacimiento,Lima,peru
Pedro Gonzales,Ocupación,futbolista,peru
Pedro Gonzales,Ciudadanía,Perú,peru
Pedro Gonzales,Fecha de nacimiento,1943-05-19,peru
Carlos Noriega,Lugar de nacimiento,Lima,peru
Carlos Noriega,Ocupación,astronauta,peru
Carlos Noriega,Ciudadanía,Perú,peru
Carlos Noriega,Educado en,Universidad del Sur de California,peru
Carlos Noriega,Empleador,Administración Nacional de Aeronáutica y del Espacio,peru
Carlos Noriega,Premio recibido,Medalla del Aire,peru
Carlos Noriega,Fecha de nacimiento,1959-10-08,peru
Carlos Noriega,Ocupación,oficial militar,peru
Carlos Noriega,Premio recibido,Comendador de la Orden del Sol del Perú,peru
Carlos Noriega,Premio recibido,Premio Grandes Inmigrantes,peru
Carlos Noriega,Educado en,Naval Postgraduate School,peru
Carlos Noriega,Educado en,Adrian C. Wilcox High School,peru
Luis Giampietri,Lugar de nacimiento,Callao,peru
Luis Giampietri,Ocupación,político,peru
Luis Giampietri,Ciudadanía,Perú,peru
Luis Giampietri,Educado en,Escuela Naval del Perú,peru
Luis Giampietri,Cargo,Vicepresidente del Perú,peru
Luis Giampietri,Premio recibido,Gran Cruz de la Orden El Sol del Perú,peru
Luis Giampietri,Fecha de nacimiento,1940-12-31,peru
Luis Giampietri,Fecha de defunción,2023-10-04,peru
Luis Giampietri,Ocupación,oficial naval,peru
Luis Giampietri,Cargo,congresista del Perú,peru
Alberto Barton,Lugar de nacimiento,Buenos Aires,peru
Alberto Barton,Ocupación,médico,peru
Alberto Barton,Ciudadanía,Argentina,peru
Alberto Barton,Educado en,Universidad Nacional Mayor de San Marcos,peru
Alberto Barton,Empleador,Universidad Nacional Mayor de San Marcos,peru
Alberto Barton,Fecha de nacimiento,1870-07-18,peru
Alberto Barton,Fecha de defunción,1950-10-25,peru
Alberto Barton,Ocupación,microbiólogo,peru
Alberto Barton,Ciudadanía,Perú,peru
Hildebrando Castro Pozo,Lugar de nacimiento,Ayabaca,peru
Hildebrando Castro Pozo,Ocupación,profesor,peru
Hildebrando Castro Pozo,Ciudadanía,Perú,peru
Hildebrando Castro Pozo,Educado en,Universidad Nacional Mayor de San Marcos,peru
Hildebrando Castro Pozo,Fecha de nacimiento,1890-01-01,peru
Hildebrando Castro Pozo,Fecha de defunción,1945-01-01,peru
Hildebrando Castro Pozo,Ocupación,político,peru
Hildebrando Castro Pozo,Ocupación,sociólogo,peru
Alberto Borea,Lugar de nacimiento,Lima,peru
Alberto Borea,Ocupación,escritor,peru
Alberto Borea,Ciudadanía,Perú,peru
Alberto Borea,Educado en,Pontificia Universidad Católica del Perú,peru
Alberto Borea,Miembro de,Comisión de Estudio de las Bases de la Reforma Constitucional del Perú,peru
Alberto Borea,Cargo,embajador,peru
Alberto Borea,Fecha de nacimiento,1951-12-01,peru
Alberto Borea,Ocupación,abogado,peru
Alberto Borea,Ocupación,político,peru
Alberto Borea,Ocupación,diplomático,peru
Alberto Borea,Cargo,diputado de Perú,peru
Alberto Borea,Cargo,senador de Perú,peru
José Gálvez Egúsquiza,Lugar de nacimiento,Departamento de Cajamarca,peru
José Gálvez Egúsquiza,Ocupación,abogado,peru
