entidad,relacion,objeto,source_file
Barbra Streisand,Lugar de nacimiento,Brooklyn,usa
Barbra Streisand,Ocupación,cantautor,usa
Barbra Streisand,Ciudadanía,Estados Unidos,usa
Barbra Streisand,Educado en,Erasmus Hall High School,usa
Barbra Streisand,Obra notable,Yentl,usa
Barbra Streisand,Premio recibido,Estrella del Paseo de la Fama de Hollywood,usa
Barbra Streisand,Fecha de nacimiento,1942-04-24,usa
Barbra Streisand,Ocupación,actor de teatro,usa
Barbra Streisand,Ocupación,director de cine,usa
Barbra Streisand,Ocupación,productor de cine,usa
Barbra Streisand,Ocupación,realizador,usa
Barbra Streisand,Ocupación,actor de televisión,usa
Barbra Streisand,Ocupación,actor de cine,usa
Barbra Streisand,Ocupación,músico de jazz,usa
Barbra Streisand,Educado en,HB Studio,usa
Barbra Streisand,Premio recibido,Oficial de la Orden Nacional de la Legión de Honor,usa
Barbra Streisand,Ocupación,artista discográfico,usa
Barbra Streisand,Ocupación,guionista,usa
Barbra Streisand,Ocupación,actor,usa
Barbra Streisand,Ocupación,escritor,usa
Barbra Streisand,Ocupación,cantante,usa
Barbra Streisand,Educado en,El Centro de Educación Temprana,usa
Barbra Streisand,Educado en,Instituto de Teatro y Cine Lee Strasberg,usa
Barbra Streisand,Obra notable,Funny Girl,usa
Andy Warhol,Lugar de nacimiento,Pittsburgh,usa
Andy Warhol,Ocupación,artista gráfico,usa
Andy Warhol,Ciudadanía,Estados Unidos,usa
Andy Warhol,Educado en,Universidad Carnegie Mellon,usa
Andy Warhol,Obra notable,Díptico de Marilyn,usa
Andy Warhol,Fecha de nacimiento,1928-08-06,usa
Andy Warhol,Fecha de defunción,1987-02-22,usa
Andy Warhol,Ocupación,director de cine,usa
Andy Warhol,Ocupación,productor de cine,usa
Andy Warhol,Ocupación,artista visual,usa
Andy Warhol,Ocupación,diseñador,usa
Andy Warhol,Ocupación,artista de performance,usa
Andy Warhol,Ocupación,grabador,usa
Andy Warhol,Ocupación,dibujante,usa
Andy Warhol,Ocupación,artista de instalaciones,usa
Andy Warhol,Ocupación,diarista,usa
Andy Warhol,Ocupación,productor,usa
Andy Warhol,Educado en,Carnegie Mellon School of Art,usa
Andy Warhol,Educado en,Schenley High School,usa
Andy Warhol,Obra notable,Exploding Plastic Inevitable,usa
Andy Warhol,Obra notable,Chelsea Girls,usa
Andy Warhol,Obra notable,Latas de sopa Campbell II,usa
Miley Cyrus,Lugar de nacimiento,Nashville,usa
Miley Cyrus,Ocupación,actor de televisión,usa
Miley Cyrus,Ciudadanía,Estados Unidos,usa
Miley Cyrus,Educado en,JMC Academy,usa
Miley Cyrus,Obra notable,Hannah Montana,usa
Miley Cyrus,Premio recibido,premio Grammy a la grabación del año,usa
Miley Cyrus,Fecha de nacimiento,1992-11-23,usa
Miley Cyrus,Ocupación,actor de cine,usa
Miley Cyrus,Ocupación,actor,usa
Miley Cyrus,Premio recibido,Leyendas Disney,usa
Miley Cyrus,Ocupación,compositor,usa
Miley Cyrus,Ocupación,cantante,usa
Miley Cyrus,Ocupación,cantautor,usa
Miley Cyrus,Ocupación,productor de televisión,usa
Miley Cyrus,Ocupación,actor de voz,usa
Miley Cyrus,Premio recibido,premio Grammy a la mejor interpretación pop solista,usa
Miley Cyrus,Obra notable,The Last Song,usa
Tom DeLonge,Lugar de nacimiento,Poway,usa
Tom DeLonge,Ocupación,actor,usa
Tom DeLonge,Ciudadanía,Estados Unidos,usa
Tom DeLonge,Educado en,Poway High School,usa
Tom DeLonge,Miembro de,Angels & Airwaves,usa
Tom DeLonge,Fecha de nacimiento,1975-12-13,usa
Tom DeLonge,Ocupación,compositor,usa
Tom DeLonge,Ocupación,cantante,usa
Tom DeLonge,Ocupación,productor discográfico,usa
Tom DeLonge,Ocupación,cantautor,usa
Tom DeLonge,Ocupación,músico,usa
Tom DeLonge,Ocupación,compositor de canciones,usa
Tom DeLonge,Ocupación,guitarrista,usa
Tom DeLonge,Ocupación,director de cine,usa
Tom DeLonge,Ocupación,productor de cine,usa
Tom DeLonge,Ocupación,guionista de cine,usa
Tom DeLonge,Educado en,Rancho Bernardo High School,usa
Mark Hoppus,Lugar de nacimiento,Ridgecrest,usa
Mark Hoppus,Ocupación,cantante,usa
Mark Hoppus,Ciudadanía,Estados Unidos,usa
Mark Hoppus,Educado en,Universidad Estatal de California en San Marcos,usa
Mark Hoppus,Miembro de,Blink-182,usa
Mark Hoppus,Fecha de nacimiento,1972-03-15,usa
Mark Hoppus,Ocupación,productor discográfico,usa
Mark Hoppus,Ocupación,compositor de canciones,usa
Mark Hoppus,Ocupación,guitarrista bajo,usa
Mark Hoppus,Educado en,Annandale High School,usa
Mark Hoppus,Educado en,Sherman E. Burroughs High School,usa
Mark Hoppus,Miembro de,Simple Creatures,usa
Jon Abrahams,Lugar de nacimiento,Nueva York,usa
Jon Abrahams,Ocupación,actor,usa
Jon Abrahams,Ciudadanía,Estados Unidos,usa
Jon Abrahams,Educado en,Saint Ann's School,usa
Jon Abrahams,Fecha de nacimiento,1977-10-29,usa
Jon Abrahams,Ocupación,director de cine,usa
Jon Abrahams,Ocupación,actor de televisión,usa
Jon Abrahams,Ocupación,actor de cine,usa
Rodger Bumpass,Lugar de nacimiento,Little Rock,usa
Rodger Bumpass,Ocupación,actor,usa
Rodger Bumpass,Ciudadanía,Estados Unidos,usa
