entidad,relacion,objeto,source_file
Pablo Sandoval,Lugar de nacimiento,Puerto Cabello,venezuela
Pablo Sandoval,Ocupación,beisbolista,venezuela
Pablo Sandoval,Ciudadanía,Venezuela,venezuela
Pablo Sandoval,Fecha de nacimiento,1986-08-11,venezuela
Perla Haney-Jardine,Lugar de nacimiento,Niterói,venezuela
Perla Haney-Jardine,Ocupación,actor,venezuela
Perla Haney-Jardine,Ciudadanía,Estados Unidos,venezuela
Perla Haney-Jardine,Educado en,Asheville School,venezuela
Perla Haney-Jardine,Fecha de nacimiento,1997-07-17,venezuela
Perla Haney-Jardine,Ocupación,actor de cine,venezuela
Perla Haney-Jardine,Ciudadanía,Brasil,venezuela
Perla Haney-Jardine,Ciudadanía,Venezuela,venezuela
Félix Hernández,Lugar de nacimiento,Valencia,venezuela
Félix Hernández,Ocupación,beisbolista,venezuela
Félix Hernández,Ciudadanía,Venezuela,venezuela
Félix Hernández,Miembro de,Seattle Mariners,venezuela
Félix Hernández,Premio recibido,Premio Cy Young,venezuela
Félix Hernández,Fecha de nacimiento,1986-04-08,venezuela
Diego Matheuz,Lugar de nacimiento,Barquisimeto,venezuela
Diego Matheuz,Ocupación,director de orquesta,venezuela
Diego Matheuz,Ciudadanía,Venezuela,venezuela
Diego Matheuz,Fecha de nacimiento,1984-08-09,venezuela
Diego Matheuz,Ocupación,violinista,venezuela
Diego Molero Bellavia,Lugar de nacimiento,Coro,venezuela
Diego Molero Bellavia,Ocupación,militar,venezuela
Diego Molero Bellavia,Ciudadanía,Venezuela,venezuela
Diego Molero Bellavia,Educado en,Academia Militar de la Armada Bolivariana,venezuela
Diego Molero Bellavia,Empleador,Fuerza Armada Nacional Bolivariana,venezuela
Diego Molero Bellavia,Cargo,embajador,venezuela
Diego Molero Bellavia,Fecha de nacimiento,1960-01-12,venezuela
Diego Molero Bellavia,Ocupación,político,venezuela
Diego Molero Bellavia,Ocupación,embajador,venezuela
Diego Molero Bellavia,Ocupación,diplomático,venezuela
Puerto Cabello,país,Venezuela,venezuela
Puerto Cabello,instancia de,ciudad,venezuela
Puerto Cabello,instancia de,gran ciudad,venezuela
Puerto Cabello,situado en la entidad territorial administrativa,Carabobo,venezuela
Puerto Cabello,situado en la entidad territorial administrativa,Municipio Puerto Cabello,venezuela
beisbolista,instancia de,profesión,venezuela
beisbolista,subclase de,deportista,venezuela
beisbolista,subclase de,jugador competitivo,venezuela
beisbolista,ámbito de la ocupación,béisbol,venezuela
beisbolista,ámbito de la ocupación,béisbol femenino,venezuela
Venezuela,instancia de,país,venezuela
Venezuela,instancia de,estado soberano,venezuela
Venezuela,jefe de Estado,Nicolás Maduro,venezuela
Venezuela,jefe de Estado,Juan Guaidó,venezuela
Venezuela,capital,Caracas,venezuela
Niterói,país,Brasil,venezuela
Niterói,instancia de,gran ciudad,venezuela
Niterói,instancia de,municipio de Brasil,venezuela
Niterói,comparte fronteras con,São Gonçalo,venezuela
Niterói,comparte fronteras con,Maricá,venezuela
actor,instancia de,profesión,venezuela
actor,instancia de,ocupación,venezuela
actor,instancia de,grupo de ocupaciones de la CIUO,venezuela
actor,subclase de,artista escénico,venezuela
Estados Unidos,forma de gobierno,república,venezuela
Estados Unidos,forma de gobierno,presidencialismo,venezuela
Estados Unidos,forma de gobierno,república federal,venezuela
Estados Unidos,nombrado en referencia a,América,venezuela
Estados Unidos,subdividido en (división administrativa),California,venezuela
Valencia,país,Venezuela,venezuela
Valencia,instancia de,ciudad,venezuela
Valencia,idioma oficial,español,venezuela
Seattle Mariners,país,Estados Unidos,venezuela
Seattle Mariners,instancia de,equipo de béisbol,venezuela
Seattle Mariners,estadio,T-Mobile Park,venezuela
Seattle Mariners,liga,Liga Americana,venezuela
Seattle Mariners,liga,Grandes Ligas de Béisbol,venezuela
Premio Cy Young,país,Estados Unidos,venezuela
Premio Cy Young,instancia de,distinción,venezuela
Premio Cy Young,nombrado en referencia a,Cy Young,venezuela
Premio Cy Young,deporte,béisbol,venezuela
Barquisimeto,país,Venezuela,venezuela
Barquisimeto,instancia de,ciudad,venezuela
Barquisimeto,instancia de,gran ciudad,venezuela
Barquisimeto,situado en la entidad territorial administrativa,Lara,venezuela
director de orquesta,instancia de,profesión,venezuela
director de orquesta,instancia de,cargo,venezuela
director de orquesta,instancia de,profesión musical,venezuela
director de orquesta,subclase de,músico,venezuela
director de orquesta,subclase de,artista escénico,venezuela
violinista,instancia de,cargo,venezuela
violinista,instancia de,ocupación,venezuela
violinista,instancia de,profesión musical,venezuela
violinista,subclase de,instrumentalista,venezuela
Coro,país,Venezuela,venezuela
Coro,instancia de,ciudad,venezuela
Coro,instancia de,gran ciudad,venezuela
Coro,fundador,Juan Martín de Ampués,venezuela
militar,instancia de,profesión,venezuela
militar,instancia de,ocupación,venezuela
militar,subclase de,empleado,venezuela
militar,subclase de,guerrero,venezuela
militar,opuesto a,civil,venezuela
