entidad,relacion,objeto
Agustín Gómez,Lugar de nacimiento,Guatemala
Agustín Gómez,Ocupación,escritor
Agustín Gómez,Ciudadanía,Guatemala
Agustín Gómez,Fecha de nacimiento,1838-02-24
Agustín Gómez,Fecha de defunción,1908-05-07
Agustín Gómez,Ocupación,abogado
Agustín Iriarte,Ocupación,pintor
Agustín Iriarte,Ciudadanía,Guatemala
Agustín Iriarte,Fecha de nacimiento,1876-01-01
Agustín Iriarte,Fecha de defunción,1963-01-01
Alaíde Foppa,Lugar de nacimiento,Barcelona
Alaíde Foppa,Ocupación,escritor
Alaíde Foppa,Ciudadanía,España
Alaíde Foppa,Educado en,Sorbonne Universidad de París
Alaíde Foppa,Empleador,Universidad Nacional Autónoma de México
Alaíde Foppa,Fecha de nacimiento,1914-12-03
Alaíde Foppa,Fecha de defunción,http://www.wikidata.org/.well-known/genid/6760eddbfc1a20499c57be98300da9eb
Alaíde Foppa,Ocupación,profesor
Alaíde Foppa,Ocupación,poeta
Alaíde Foppa,Ocupación,traductor
Alaíde Foppa,Ocupación,crítico de arte
Alaíde Foppa,Ocupación,diarista
Alaíde Foppa,Ciudadanía,México
Alaíde Foppa,Ciudadanía,Guatemala
Harris Whitbeck,Lugar de nacimiento,Guatemala
Harris Whitbeck,Ocupación,periodista
Harris Whitbeck,Ciudadanía,Guatemala
Harris Whitbeck,Educado en,Columbia University Graduate School of Journalism
Harris Whitbeck,Empleador,Q1282786
Harris Whitbeck,Fecha de nacimiento,1965-05-25
Harris Whitbeck,Ocupación,presentador
Harris Whitbeck,Educado en,Washington College
Alejandro Sinibaldi,Lugar de nacimiento,Mazatenango
Alejandro Sinibaldi,Ocupación,político
Alejandro Sinibaldi,Ciudadanía,Guatemala
Alejandro Sinibaldi,Educado en,Universidad Rafael Landívar
Alejandro Sinibaldi,Fecha de nacimiento,1970-11-22
Alfonso Bauer Paiz,Lugar de nacimiento,Ciudad de Guatemala
Alfonso Bauer Paiz,Ocupación,escritor
Alfonso Bauer Paiz,Ciudadanía,Guatemala
Alfonso Bauer Paiz,Educado en,Universidad de San Carlos de Guatemala
Alfonso Bauer Paiz,Cargo,Diputado del Congreso de Guatemala
Alfonso Bauer Paiz,Fecha de nacimiento,1918-04-29
Alfonso Bauer Paiz,Fecha de defunción,2011-07-10
Alfonso Bauer Paiz,Ocupación,abogado
Alfonso Bauer Paiz,Ocupación,político
Alfonso Enrique Barrientos,Ocupación,escritor
Alfonso Enrique Barrientos,Ciudadanía,Guatemala
Alfonso Enrique Barrientos,Fecha de nacimiento,1921-01-01
Alfonso Enrique Barrientos,Fecha de defunción,2007-09-24
Alfonso Enrique Barrientos,Ocupación,periodista
Alfonso Enrique Barrientos,Ocupación,crítico literario
Alfredo Wyld,Lugar de nacimiento,Ciudad de Guatemala
Alfredo Wyld,Ocupación,compositor
Alfredo Wyld,Ciudadanía,Guatemala
Alfredo Wyld,Fecha de nacimiento,1883-03-16
Alfredo Wyld,Fecha de defunción,1947-04-23
Alfredo Wyld,Ocupación,pianista
Adela de Torrebiarte,Lugar de nacimiento,Ciudad de Guatemala
Adela de Torrebiarte,Ocupación,político
Adela de Torrebiarte,Ciudadanía,Guatemala
Adela de Torrebiarte,Educado en,Universidad de San Carlos de Guatemala
Adela de Torrebiarte,Fecha de nacimiento,1949-03-30
Adela de Torrebiarte,Fecha de defunción,2020-12-15
Alfonso Orantes,Lugar de nacimiento,Guatemala
Alfonso Orantes,Ocupación,poeta
Alfonso Orantes,Ciudadanía,Guatemala
Alfonso Orantes,Educado en,Universidad de San Carlos de Guatemala
Alfonso Orantes,Miembro de,Generación del 20
Alfonso Orantes,Fecha de nacimiento,1898-07-17
Alfonso Orantes,Fecha de defunción,1985-06-19
Alfonso Orantes,Ocupación,diplomático
Alfonso Orantes,Educado en,Instituto Nacional Central para Varones
Hedras Ramos,Lugar de nacimiento,Ciudad de Guatemala
Hedras Ramos,Ocupación,músico
Hedras Ramos,Ciudadanía,Guatemala
Hedras Ramos,Fecha de nacimiento,1992-02-03
Hedras Ramos,Ocupación,guitarrista
Helder Torres,Ocupación,nadador
Helder Torres,Ciudadanía,Guatemala
Helder Torres,Fecha de nacimiento,1975-06-29
Helder Torres,Fecha de defunción,2015-09-16
Helen Mack Chang,Lugar de nacimiento,Retalhuleu
Helen Mack Chang,Ocupación,activista por los derechos humanos
Helen Mack Chang,Ciudadanía,Guatemala
Helen Mack Chang,Premio recibido,Premio Right Livelihood
Helen Mack Chang,Fecha de nacimiento,1952-01-19
Arturo Ubico Urruela,Lugar de nacimiento,Ciudad de Guatemala
Arturo Ubico Urruela,Ocupación,político
Arturo Ubico Urruela,Ciudadanía,Guatemala
Arturo Ubico Urruela,Fecha de nacimiento,1848-03-08
Arturo Ubico Urruela,Fecha de defunción,1927-04-29
Baudilio Méndez,Lugar de nacimiento,Ciudad de Guatemala
Baudilio Méndez,Ocupación,compositor
Baudilio Méndez,Ciudadanía,Guatemala
Baudilio Méndez,Fecha de nacimiento,1934-01-05
Henry Raudales,Ocupación,violinista
Henry Raudales,Ciudadanía,Guatemala
Boby Tally,Lugar de nacimiento,Guastatoya
Boby Tally,Ocupación,futbolista
Boby Tally,Ciudadanía,Guatemala
Boby Tally,Fecha de nacimiento,1988-04-27
Boris España,Lugar de nacimiento,Chiquimula
Boris España,Ocupación,empresario
Boris España,Ciudadanía,Guatemala
Boris España,Educado en,Escuela Agrícola Panamericana
Boris España,Cargo,Diputado del Congreso de Guatemala
Boris España,Fecha de nacimiento,1973-01-20
Boris España,Ocupación,político
Hernán Sandoval,Lugar de nacimiento,Ciudad de Guatemala
Hernán Sandoval,Ocupación,futbolista
Hernán Sandoval,Ciudadanía,Guatemala
Hernán Sandoval,Fecha de nacimiento,1983-07-22
Carlos Figueroa Ibarra,Ocupación,escritor
Carlos Figueroa Ibarra,Ciudadanía,Guatemala
Carlos Figueroa Ibarra,Fecha de nacimiento,1952-08-05
Carlos Figueroa Ibarra,Ocupación,sociólogo
Guatemala,país,Guatemala
Guatemala,jefe de gobierno,Bernardo Arévalo de León
Guatemala,continente,América del Norte
Guatemala,instancia de,país
Guatemala,instancia de,república
escritor,instancia de,profesión
escritor,instancia de,ocupación
escritor,subclase de,autor
escritor,subclase de,artista
pintor,instancia de,ocupación
pintor,instancia de,profesión artística
pintor,subclase de,artista visual
pintor,santo patrón,Lucas el Evangelista
pintor,ámbito de la ocupación,pintura
Barcelona,subdividido en (división administrativa),Distrito de Ciutat Vella
Barcelona,subdividido en (división administrativa),Distrito de Les Corts
Barcelona,subdividido en (división administrativa),Distrito de Nou Barris
Barcelona,subdividido en (división administrativa),Distrito de Sant Andreu
Barcelona,subdividido en (división administrativa),Sarrià-Sant Gervasi
España,jefe de gobierno,Pedro Sánchez
España,continente,Europa
España,instancia de,país
España,instancia de,Estado nación
España,instancia de,reino
Sorbonne Universidad de París,país,Francia
Sorbonne Universidad de París,instancia de,universidad en Francia
Sorbonne Universidad de París,instancia de,entidad desaparecida
Sorbonne Universidad de París,nombrado en referencia a,París
Sorbonne Universidad de París,nombrado en referencia a,Roberto de Sorbón
Universidad Nacional Autónoma de México,país,México
Universidad Nacional Autónoma de México,instancia de,universidad
Universidad Nacional Autónoma de México,instancia de,editor de acceso abierto
Universidad Nacional Autónoma de México,instancia de,universidad pública de investigación
Universidad Nacional Autónoma de México,situado en la entidad territorial administrativa,Ciudad de México
periodista,instancia de,profesión
periodista,instancia de,cargo
periodista,instancia de,ocupación
periodista,instancia de,grupo de ocupaciones de la CIUO
periodista,subclase de,autor
Columbia University Graduate School of Journalism,país,Estados Unidos
Columbia University Graduate School of Journalism,instancia de,escuela de periodismo
Columbia University Graduate School of Journalism,instancia de,departamento universitario
Columbia University Graduate School of Journalism,instancia de,escuela de postgrado
Columbia University Graduate School of Journalism,fundador,Joseph Pulitzer
Mazatenango,país,Guatemala
Mazatenango,instancia de,municipio de Guatemala
Mazatenango,comparte fronteras con,Samayac
Mazatenango,comparte fronteras con,San Bernardino
Mazatenango,comparte fronteras con,San Gabriel
político,instancia de,profesión
político,instancia de,frecuentemente
político,subclase de,profesional
político,ámbito de la ocupación,política
político,categoría principal del tema,Categoría:Políticos
Universidad Rafael Landívar,país,Guatemala
Universidad Rafael Landívar,instancia de,universidad privada
Universidad Rafael Landívar,instancia de,universidad jesuita
