entidad,relacion,objeto
Edgard Crisanto,Lugar de nacimiento,Tela
Edgard Crisanto,Ocupación,futbolista
Edgard Crisanto,Ciudadanía,Honduras
Edgard Crisanto,Fecha de nacimiento,1989-04-20
Randy Diamond,Lugar de nacimiento,Santa Bárbara
Randy Diamond,Ocupación,entrenador
Randy Diamond,Ciudadanía,Honduras
Randy Diamond,Fecha de nacimiento,1987-01-14
Randy Diamond,Ocupación,futbolista
Josué Discua,Lugar de nacimiento,Comayagua
Josué Discua,Ocupación,futbolista
Josué Discua,Ciudadanía,Honduras
Josué Discua,Fecha de nacimiento,1991-09-12
Manuel Doño,Lugar de nacimiento,San Pedro Sula
Manuel Doño,Ocupación,futbolista
Manuel Doño,Ciudadanía,Honduras
Manuel Doño,Fecha de nacimiento,1989-09-13
José Escalante,Lugar de nacimiento,Villanueva
José Escalante,Ocupación,entrenador
José Escalante,Ciudadanía,Honduras
José Escalante,Fecha de nacimiento,1995-05-29
José Escalante,Ocupación,futbolista
Kevin Espinoza,Lugar de nacimiento,San Pedro Sula
Kevin Espinoza,Ocupación,futbolista
Kevin Espinoza,Ciudadanía,Honduras
Kevin Espinoza,Fecha de nacimiento,1993-04-21
Bryan Róchez,Lugar de nacimiento,Tegucigalpa
Bryan Róchez,Ocupación,entrenador
Bryan Róchez,Ciudadanía,Honduras
Bryan Róchez,Fecha de nacimiento,1995-01-01
Bryan Róchez,Ocupación,futbolista
Brayan Figueroa,Lugar de nacimiento,San Pedro Sula
Brayan Figueroa,Ocupación,futbolista
Brayan Figueroa,Ciudadanía,Honduras
Brayan Figueroa,Fecha de nacimiento,1992-03-28
Juan Flores Madariaga,Lugar de nacimiento,El Porvenir
Juan Flores Madariaga,Ocupación,futbolista
Juan Flores Madariaga,Ciudadanía,Honduras
Juan Flores Madariaga,Fecha de nacimiento,1964-03-08
Alexander García,Lugar de nacimiento,Tegucigalpa
Alexander García,Ocupación,futbolista
Alexander García,Ciudadanía,Honduras
Alexander García,Fecha de nacimiento,1990-02-23
Brayan García,Lugar de nacimiento,Catacamas
Brayan García,Ocupación,futbolista
Brayan García,Ciudadanía,Honduras
Brayan García,Fecha de nacimiento,1993-03-26
Brayan García,Fecha de nacimiento,1993-05-26
Luis García Peña,Lugar de nacimiento,El Progreso
Luis García Peña,Ocupación,futbolista
Luis García Peña,Ciudadanía,Honduras
Luis García Peña,Fecha de nacimiento,1993-04-28
Ana García Carías,Lugar de nacimiento,Tegucigalpa
Ana García Carías,Ocupación,presidente
Ana García Carías,Ciudadanía,Honduras
Ana García Carías,Educado en,Universidad de Albany
Ana García Carías,Cargo,Primera Dama de Honduras
Ana García Carías,Fecha de nacimiento,1969-09-21
Ana García Carías,Ocupación,abogado
Ana García Carías,Ocupación,político
Ana García Carías,Educado en,Universidad Nacional Autónoma de Honduras
