entidad,relacion,objeto
Rodulfo Brito Foucher,Lugar de nacimiento,Villahermosa
Rodulfo Brito Foucher,Ocupación,abogado
Rodulfo Brito Foucher,Ciudadanía,México
Rodulfo Brito Foucher,Empleador,Universidad Nacional Autónoma de México
Rodulfo Brito Foucher,Premio recibido,doctor honoris causa por la Universidad Laval
Rodulfo Brito Foucher,Fecha de nacimiento,1899-11-08
Rodulfo Brito Foucher,Fecha de defunción,1970-05-15
Rodulfo Brito Foucher,Ocupación,jurista
Rodulfo Brito Foucher,Ocupación,profesor universitario
Marco Fabián de la Mora,Lugar de nacimiento,Guadalajara
Marco Fabián de la Mora,Ocupación,futbolista
Marco Fabián de la Mora,Ciudadanía,México
Marco Fabián de la Mora,Fecha de nacimiento,1989-07-21
Eizi Matuda,Lugar de nacimiento,prefectura de Nagasaki
Eizi Matuda,Ocupación,catedrático
Eizi Matuda,Ciudadanía,Japón
Eizi Matuda,Educado en,Universidad de Tokio
Eizi Matuda,Empleador,Universidad Nacional Autónoma de México
Eizi Matuda,Fecha de nacimiento,1894-04-20
Eizi Matuda,Fecha de defunción,1978-02-12
Eizi Matuda,Ocupación,recolector de plantas
Eizi Matuda,Ocupación,botánico
Eizi Matuda,Ciudadanía,México
Eizi Matuda,Ciudadanía,Imperio del Japón
Stephen F. Austin,Lugar de nacimiento,Condado de Wythe
Stephen F. Austin,Ocupación,político
Stephen F. Austin,Ciudadanía,Estados Unidos
Stephen F. Austin,Educado en,Universidad Transylvania
Stephen F. Austin,Fecha de nacimiento,1793-11-03
Stephen F. Austin,Fecha de defunción,1836-12-27
Stephen F. Austin,Ciudadanía,México
Stephen F. Austin,Ciudadanía,República de Texas
Stephen F. Austin,Educado en,Bacon Academy
Rafael Coronel,Lugar de nacimiento,Zacatecas
Rafael Coronel,Ocupación,pintor
Rafael Coronel,Ciudadanía,México
Rafael Coronel,Educado en,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda"
Rafael Coronel,Fecha de nacimiento,1931-10-24
Rafael Coronel,Fecha de defunción,2019-05-07
