entidad,relacion,objeto
Ernesto Cardenal,Lugar de nacimiento,Argentina
Ernesto Cardenal,Ocupación,escritor
Ernesto Cardenal,Ciudadanía,Nicaragua
Ernesto Cardenal,Educado en,Universidad de Columbia
Ernesto Cardenal,Miembro de,Casa de los tres mundos
Ernesto Cardenal,Cargo,ministro de Cultura
Ernesto Cardenal,Premio recibido,Premio de la Paz del Comercio Librero Alemán
Ernesto Cardenal,Fecha de nacimiento,1925-01-20
Ernesto Cardenal,Fecha de defunción,2020-03-01
Ernesto Cardenal,Lugar de nacimiento,Granada
Ernesto Cardenal,Ocupación,poeta
Ernesto Cardenal,Ocupación,político
Ernesto Cardenal,Ocupación,sacerdote católico
Ernesto Cardenal,Ocupación,traductor
Ernesto Cardenal,Ocupación,letrista
Ernesto Cardenal,Ocupación,pintor
Ernesto Cardenal,Ocupación,teólogo
Ernesto Cardenal,Ocupación,escultor
Ernesto Cardenal,Ocupación,ministro de Cultura
Ernesto Cardenal,Ocupación,revolucionario
Ernesto Cardenal,Ocupación,artista visual
Ernesto Cardenal,Premio recibido,Condecoración Austriaca de las Ciencias y las Artes
Ernesto Cardenal,Premio recibido,Orden Nacional José Martí
Ernesto Cardenal,Premio recibido,Premio Theodor Wanner
Ernesto Cardenal,Miembro de,Academia Mexicana de la Lengua
Ernesto Cardenal,Educado en,Facultad de Filosofía y Letras (Universidad Nacional Autónoma de México)
Ernesto Cardenal,Educado en,Colegio Centro América
Ernesto Cardenal,Miembro de,Academia de las Artes de Berlín
Ernesto Cardenal,Premio recibido,Orden de la Independencia Cultural Rubén Darío
Ernesto Cardenal,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana
Ernesto Cardenal,Premio recibido,Premio Iberoamericano de Poesía Pablo Neruda
Ernesto Cardenal,Premio recibido,Orden Augusto César Sandino
Claribel Alegría Vides,Lugar de nacimiento,Estelí
Claribel Alegría Vides,Ocupación,escritor de literatura infantil
Claribel Alegría Vides,Ciudadanía,El Salvador
Claribel Alegría Vides,Educado en,Universidad George Washington
Claribel Alegría Vides,Premio recibido,comendador de la Orden de la Estrella de la Solidaridad Italiana
Claribel Alegría Vides,Fecha de nacimiento,1924-05-12
Claribel Alegría Vides,Fecha de defunción,2018-01-25
Claribel Alegría Vides,Ocupación,novelista
Claribel Alegría Vides,Ocupación,ensayista
Claribel Alegría Vides,Ocupación,prosista
Claribel Alegría Vides,Ocupación,lingüista
Claribel Alegría Vides,Ciudadanía,Nicaragua
Nora Astorga,Lugar de nacimiento,Managua
Nora Astorga,Ocupación,juez
Nora Astorga,Ciudadanía,Nicaragua
Nora Astorga,Educado en,Universidad Católica de América
Nora Astorga,Cargo,embajador
Nora Astorga,Fecha de nacimiento,1944-12-10
Nora Astorga,Fecha de defunción,1988-02-14
Nora Astorga,Ocupación,político
Nora Astorga,Ocupación,diplomático
Nora Astorga,Educado en,Universidad Centroamericana
Bárbara Carrera,Lugar de nacimiento,Bluefields
Bárbara Carrera,Ocupación,actor de televisión
Bárbara Carrera,Ciudadanía,Nicaragua
Bárbara Carrera,Fecha de nacimiento,1945-12-31
Bárbara Carrera,Ocupación,actor de cine
Claribel Alegría Vides,Ocupación,escritor
