entidad,relacion,objeto
Federico Escobar,Lugar de nacimiento,Ciudad de Panamá
Federico Escobar,Ocupación,poeta
Federico Escobar,Ciudadanía,Panamá
Federico Escobar,Fecha de nacimiento,1861-07-16
Federico Escobar,Fecha de defunción,1912-08-02
Roberto Antonio Nurse,Lugar de nacimiento,Q204245
Roberto Antonio Nurse,Ocupación,futbolista
Roberto Antonio Nurse,Ciudadanía,México
Roberto Antonio Nurse,Fecha de nacimiento,1983-12-16
Roberto Antonio Nurse,Ciudadanía,Panamá
Abdiel J. Adames,Lugar de nacimiento,Ciudad de Panamá
Abdiel J. Adames,Ocupación,químico
Abdiel J. Adames,Ciudadanía,Panamá
Abdiel J. Adames,Educado en,Universidad de Panamá
Abdiel J. Adames,Fecha de nacimiento,1938-03-18
Abdiel J. Adames,Fecha de defunción,2005-06-16
Abdiel J. Adames,Ocupación,biólogo
Abel Bravo,Lugar de nacimiento,Ciudad de Panamá
Abel Bravo,Ocupación,político
Abel Bravo,Ciudadanía,Panamá
Abel Bravo,Fecha de nacimiento,1861-01-02
Abel Bravo,Fecha de defunción,1934-09-15
Abel Bravo,Ocupación,catedrático
Abel Castillo Pérez,Lugar de nacimiento,Parita
Abel Castillo Pérez,Ocupación,escritor
Abel Castillo Pérez,Ciudadanía,Panamá
Abel Castillo Pérez,Educado en,Universidad de Panamá
Abel Castillo Pérez,Fecha de nacimiento,1939-02-16
Abel Castillo Pérez,Fecha de defunción,2015-03-05
Acracia Sarasqueta,Lugar de nacimiento,Ciudad de Panamá
Acracia Sarasqueta,Ocupación,escritor
Acracia Sarasqueta,Ciudadanía,Panamá
Acracia Sarasqueta,Educado en,Universidad de Panamá
Acracia Sarasqueta,Fecha de nacimiento,1913-04-14
Acracia Sarasqueta,Fecha de defunción,2000-09-17
Acracia Sarasqueta,Ocupación,abogado
Adán Gordón,Lugar de nacimiento,Taboga
Adán Gordón,Ocupación,nadador
Adán Gordón,Ciudadanía,Panamá
Adán Gordón,Fecha de nacimiento,1906-06-21
Adán Gordón,Fecha de defunción,1966-03-08
Harold Cummings,Lugar de nacimiento,Ciudad de Panamá
Harold Cummings,Ocupación,futbolista
Harold Cummings,Ciudadanía,Panamá
Harold Cummings,Fecha de nacimiento,1992-03-01
Agustín Del Rosario,Lugar de nacimiento,Ciudad de Panamá
Agustín Del Rosario,Ocupación,poeta
Agustín Del Rosario,Ciudadanía,Panamá
Agustín Del Rosario,Educado en,Universidad de Panamá
Agustín Del Rosario,Fecha de nacimiento,1945-05-20
Agustín Del Rosario,Fecha de defunción,2010-08-05
Agustín Del Rosario,Ocupación,dramaturgo
Agustín Del Rosario,Ocupación,pedagogo
Agustín Del Rosario,Ocupación,crítico de arte
Alberto Dutary,Lugar de nacimiento,Ciudad de Panamá
Alberto Dutary,Ocupación,pintor
Alberto Dutary,Ciudadanía,Panamá
Alberto Dutary,Fecha de nacimiento,1928-01-01
Alberto Dutary,Fecha de defunción,1997-01-01
Alberto Dutary,Ocupación,dibujante
Alberto Dutary,Fecha de nacimiento,1932-01-01
Alberto Dutary,Fecha de defunción,1998-01-01
Alberto S. Taylor,Ocupación,botánico
Alberto S. Taylor,Ciudadanía,Panamá
Alberto S. Taylor,Educado en,Universidad de Pensilvania en Indiana
Alberto S. Taylor,Empleador,Universidad de Panamá
Alberto S. Taylor,Fecha de nacimiento,1932-01-01
Alberto S. Taylor,Educado en,Universidad de Panamá
Alejandro Lagrotta,Ocupación,cantante
Alejandro Lagrotta,Ciudadanía,Panamá
Alejandro Lagrotta,Fecha de nacimiento,1975-12-05
Alexander Andreve,Lugar de nacimiento,Ciudad de Panamá
Alexander Andreve,Ocupación,futbolista
Alexander Andreve,Ciudadanía,Panamá
Alexander Andreve,Fecha de nacimiento,1987-04-26
