entidad,relacion,objeto
Heriberto Herrera,Lugar de nacimiento,Guarambaré
Heriberto Herrera,Ocupación,entrenador
Heriberto Herrera,Ciudadanía,España
Heriberto Herrera,Fecha de nacimiento,1926-04-24
Heriberto Herrera,Fecha de defunción,1996-07-26
Heriberto Herrera,Ocupación,futbolista
Heriberto Herrera,Ciudadanía,Paraguay
Gerardo Romero,Lugar de nacimiento,Paraguay
Gerardo Romero,Ocupación,futbolista
Gerardo Romero,Ciudadanía,Paraguay
Gerardo Romero,Fecha de nacimiento,1905-11-30
Gerardo Romero,Fecha de defunción,http://www.wikidata.org/.well-known/genid/f28f03b5ce5faaf8d1b9ccb59441f758
Gerardo Romero,Fecha de nacimiento,1906-01-01
Adolfino Cañete,Lugar de nacimiento,Asunción
Adolfino Cañete,Ocupación,entrenador
Adolfino Cañete,Ciudadanía,Paraguay
Adolfino Cañete,Fecha de nacimiento,1956-09-13
Adolfino Cañete,Ocupación,futbolista
Diego Figueredo,Lugar de nacimiento,Asunción
Diego Figueredo,Ocupación,entrenador
Diego Figueredo,Ciudadanía,Paraguay
Diego Figueredo,Fecha de nacimiento,1982-04-28
Diego Figueredo,Ocupación,futbolista
Delfín Benítez Cáceres,Lugar de nacimiento,Asunción
Delfín Benítez Cáceres,Ocupación,entrenador
Delfín Benítez Cáceres,Ciudadanía,Argentina
Delfín Benítez Cáceres,Fecha de nacimiento,1910-09-24
Delfín Benítez Cáceres,Fecha de defunción,2004-01-08
Delfín Benítez Cáceres,Ocupación,futbolista
Delfín Benítez Cáceres,Ciudadanía,Paraguay
David Portillo,Lugar de nacimiento,San Juan Bautista
David Portillo,Ocupación,futbolista
David Portillo,Ciudadanía,Paraguay
David Portillo,Fecha de nacimiento,1984-11-24
Ubaldo Aquino,Lugar de nacimiento,San Pedro de Ycuamandiyú
Ubaldo Aquino,Ocupación,árbitro de fútbol
Ubaldo Aquino,Ciudadanía,Paraguay
Ubaldo Aquino,Fecha de nacimiento,1958-05-02
Epifanio González,Lugar de nacimiento,Asunción
Epifanio González,Ocupación,entrenador
Epifanio González,Ciudadanía,Paraguay
Epifanio González,Cargo,árbitro FIFA
Epifanio González,Fecha de nacimiento,1958-01-19
Epifanio González,Ocupación,árbitro de fútbol
Epifanio González,Ocupación,futbolista
Esther Ballestrino,Lugar de nacimiento,Fray Bentos
Esther Ballestrino,Ocupación,activista
Esther Ballestrino,Ciudadanía,Uruguay
Esther Ballestrino,Educado en,Universidad Nacional de Asunción
Esther Ballestrino,Miembro de,Madres de Plaza de Mayo
Esther Ballestrino,Fecha de nacimiento,1918-01-01
Esther Ballestrino,Fecha de defunción,1977-01-01
Esther Ballestrino,Fecha de nacimiento,1918-01-20
Esther Ballestrino,Fecha de defunción,1977-12-18
Esther Ballestrino,Ciudadanía,Argentina
Esther Ballestrino,Ciudadanía,Paraguay
Herminio Miranda,Lugar de nacimiento,Itá
Herminio Miranda,Ocupación,futbolista
Herminio Miranda,Ciudadanía,Paraguay
Herminio Miranda,Fecha de nacimiento,1985-04-04
Herminio Miranda,Fecha de nacimiento,1985-05-07
José Luis Appleyard,Lugar de nacimiento,Asunción
José Luis Appleyard,Ocupación,abogado
José Luis Appleyard,Ciudadanía,Paraguay
José Luis Appleyard,Educado en,Universidad Nacional de Asunción
José Luis Appleyard,Fecha de nacimiento,1927-05-05
José Luis Appleyard,Fecha de defunción,1998-01-01
José Luis Appleyard,Ocupación,poeta
José Luis Appleyard,Ocupación,dramaturgo
José Luis Appleyard,Ocupación,periodista
José Luis Appleyard,Ocupación,editor
Edgar Rolón,Ocupación,entrenador
Edgar Rolón,Ciudadanía,Paraguay
Edgar Rolón,Fecha de nacimiento,1981-11-28
Edgar Rolón,Ocupación,futbolista
Lorenzo Melgarejo,Lugar de nacimiento,Loma Grande
Lorenzo Melgarejo,Ocupación,futbolista
Lorenzo Melgarejo,Ciudadanía,Paraguay
Lorenzo Melgarejo,Fecha de nacimiento,1990-08-10
Juan Daniel Cáceres,Lugar de nacimiento,Asunción
Juan Daniel Cáceres,Ocupación,entrenador
Juan Daniel Cáceres,Ciudadanía,Paraguay
Juan Daniel Cáceres,Fecha de nacimiento,1973-06-10
Juan Daniel Cáceres,Ocupación,futbolista
