entidad,relacion,objeto
Mario Testino,Lugar de nacimiento,Lima
Mario Testino,Ocupación,fotógrafo
Mario Testino,Ciudadanía,Reino Unido
Mario Testino,Educado en,Universidad del Pacífico
Mario Testino,Miembro de,Royal Photographic Society
Mario Testino,Premio recibido,Oficial de la Orden Nacional de la Legión de Honor
Mario Testino,Fecha de nacimiento,1954-10-30
Mario Testino,Ocupación,fotógrafo de modas
Mario Testino,Ciudadanía,Perú
Mario Testino,Premio recibido,Orden al Mérito por Servicios Distinguidos
Mario Testino,Premio recibido,Oficial de la Orden del Imperio Británico
Miguel Núñez de Sanabria,Lugar de nacimiento,Lima
Miguel Núñez de Sanabria,Ocupación,abogado
Miguel Núñez de Sanabria,Ciudadanía,España
Miguel Núñez de Sanabria,Educado en,Universidad Nacional Mayor de San Marcos
Miguel Núñez de Sanabria,Cargo,virrey del Perú
Miguel Núñez de Sanabria,Fecha de nacimiento,1645-07-30
Miguel Núñez de Sanabria,Fecha de defunción,1729-01-01
Miguel Núñez de Sanabria,Ocupación,político
Miguel Núñez de Sanabria,Ciudadanía,Perú
Héctor Bailetti,Lugar de nacimiento,Chincha Alta
Héctor Bailetti,Ocupación,entrenador
Héctor Bailetti,Ciudadanía,Perú
Héctor Bailetti,Fecha de nacimiento,1947-11-27
Héctor Bailetti,Ocupación,futbolista
Mario Testino,Educado en,Pontificia Universidad Católica del Perú
Mario Testino,Educado en,Universidad de California en San Diego
Hernán Barcos,Lugar de nacimiento,Bell Ville
Hernán Barcos,Ocupación,futbolista
Hernán Barcos,Ciudadanía,Argentina
Hernán Barcos,Fecha de nacimiento,1984-04-11
Hernán Barcos,Ciudadanía,Perú
Edwin Retamoso,Lugar de nacimiento,Abancay
Edwin Retamoso,Ocupación,entrenador
Edwin Retamoso,Ciudadanía,Perú
Edwin Retamoso,Fecha de nacimiento,1982-02-23
Edwin Retamoso,Ocupación,futbolista
Luis Solari,Lugar de nacimiento,Lima
Luis Solari,Ocupación,médico
Luis Solari,Ciudadanía,Perú
Luis Solari,Educado en,Universidad Nacional Mayor de San Marcos
Luis Solari,Cargo,Presidente del Consejo de Ministros del Perú
Luis Solari,Premio recibido,Gran Cruz de la Orden de Isabel la Católica
Luis Solari,Fecha de nacimiento,1948-01-28
Luis Solari,Ocupación,político
Luis Solari,Premio recibido,Gran Cruz de la Orden El Sol del Perú
Luis Solari,Educado en,Colegio de la Inmaculada
Luis Solari,Cargo,Ministro de Salud del Perú
Luis Solari,Cargo,congresista del Perú
Pedro Gonzales,Lugar de nacimiento,Lima
Pedro Gonzales,Ocupación,futbolista
Pedro Gonzales,Ciudadanía,Perú
Pedro Gonzales,Fecha de nacimiento,1943-05-19
Carlos Noriega,Lugar de nacimiento,Lima
Carlos Noriega,Ocupación,astronauta
Carlos Noriega,Ciudadanía,Perú
Carlos Noriega,Educado en,Universidad del Sur de California
Carlos Noriega,Empleador,Administración Nacional de Aeronáutica y del Espacio
Carlos Noriega,Premio recibido,Medalla del Aire
Carlos Noriega,Fecha de nacimiento,1959-10-08
Carlos Noriega,Ocupación,oficial militar
Carlos Noriega,Premio recibido,Comendador de la Orden del Sol del Perú
Carlos Noriega,Premio recibido,Premio Grandes Inmigrantes
Carlos Noriega,Educado en,Naval Postgraduate School
Carlos Noriega,Educado en,Adrian C. Wilcox High School
Luis Giampietri,Lugar de nacimiento,Callao
Luis Giampietri,Ocupación,político
Luis Giampietri,Ciudadanía,Perú
Luis Giampietri,Educado en,Escuela Naval del Perú
Luis Giampietri,Cargo,Vicepresidente del Perú
Luis Giampietri,Premio recibido,Gran Cruz de la Orden El Sol del Perú
Luis Giampietri,Fecha de nacimiento,1940-12-31
Luis Giampietri,Fecha de defunción,2023-10-04
Luis Giampietri,Ocupación,oficial naval
Luis Giampietri,Cargo,congresista del Perú
