entidad,relacion,objeto
Lisvel Elisa Eve,Lugar de nacimiento,Puerto Plata
Lisvel Elisa Eve,Ocupación,voleibolista
Lisvel Elisa Eve,Ciudadanía,República Dominicana
Lisvel Elisa Eve,Fecha de nacimiento,1991-09-10
Marianne Cruz,Lugar de nacimiento,Salcedo
Marianne Cruz,Ocupación,modelo
Marianne Cruz,Ciudadanía,República Dominicana
Marianne Cruz,Fecha de nacimiento,1985-04-23
Marianne Cruz,Ocupación,comunicador
Marianne Cruz,Ocupación,participante en concursos de belleza
Valentín Reynoso Hidalgo,Lugar de nacimiento,María Trinidad Sánchez
Valentín Reynoso Hidalgo,Ocupación,sacerdote católico
Valentín Reynoso Hidalgo,Ciudadanía,República Dominicana
Valentín Reynoso Hidalgo,Educado en,Pontificia Universidad Gregoriana
Valentín Reynoso Hidalgo,Cargo,obispo titular
Valentín Reynoso Hidalgo,Fecha de nacimiento,1942-12-16
Valentín Reynoso Hidalgo,Ocupación,obispo católico
Valentín Reynoso Hidalgo,Cargo,Obispo auxiliar de Santiago de los Caballeros
Jeoselyna Rodríguez,Lugar de nacimiento,Santo Domingo
Jeoselyna Rodríguez,Ocupación,voleibolista
Jeoselyna Rodríguez,Ciudadanía,República Dominicana
Jeoselyna Rodríguez,Fecha de nacimiento,1991-12-09
Violeta Stephen,Lugar de nacimiento,San Pedro de Macorís
Violeta Stephen,Ocupación,cantante
Violeta Stephen,Ciudadanía,República Dominicana
Violeta Stephen,Fecha de nacimiento,1929-11-21
Victor Emilio Masalles Pere,Lugar de nacimiento,Barcelona
Victor Emilio Masalles Pere,Ocupación,economista
Victor Emilio Masalles Pere,Ciudadanía,República Dominicana
Victor Emilio Masalles Pere,Educado en,Pontificia Universidad Gregoriana
Victor Emilio Masalles Pere,Cargo,obispo titular
Victor Emilio Masalles Pere,Fecha de nacimiento,1961-06-29
Victor Emilio Masalles Pere,Ocupación,sacerdote católico
Victor Emilio Masalles Pere,Ocupación,obispo católico
Victor Emilio Masalles Pere,Ocupación,nadador
Victor Emilio Masalles Pere,Cargo,Obispo de Baní
Victor Emilio Masalles Pere,Cargo,Obispo auxiliar de la Arquidiócesis de Santo Domingo
Wendy Cruz,Lugar de nacimiento,Santiago de los Caballeros
Wendy Cruz,Ocupación,ciclista
