entidad,relacion,objeto
Barbra Streisand,Lugar de nacimiento,Brooklyn
Barbra Streisand,Ocupación,cantautor
Barbra Streisand,Ciudadanía,Estados Unidos
Barbra Streisand,Educado en,Erasmus Hall High School
Barbra Streisand,Obra notable,Yentl
Barbra Streisand,Premio recibido,Estrella del Paseo de la Fama de Hollywood
Barbra Streisand,Fecha de nacimiento,1942-04-24
Barbra Streisand,Ocupación,actor de teatro
Barbra Streisand,Ocupación,director de cine
Barbra Streisand,Ocupación,productor de cine
Barbra Streisand,Ocupación,realizador
Barbra Streisand,Ocupación,actor de televisión
Barbra Streisand,Ocupación,actor de cine
Barbra Streisand,Ocupación,músico de jazz
Barbra Streisand,Educado en,HB Studio
Barbra Streisand,Premio recibido,Oficial de la Orden Nacional de la Legión de Honor
Barbra Streisand,Ocupación,artista discográfico
Barbra Streisand,Ocupación,guionista
Barbra Streisand,Ocupación,actor
Barbra Streisand,Ocupación,escritor
Barbra Streisand,Ocupación,cantante
Barbra Streisand,Educado en,El Centro de Educación Temprana
Barbra Streisand,Educado en,Instituto de Teatro y Cine Lee Strasberg
Barbra Streisand,Obra notable,Funny Girl
Andy Warhol,Lugar de nacimiento,Pittsburgh
Andy Warhol,Ocupación,artista gráfico
Andy Warhol,Ciudadanía,Estados Unidos
Andy Warhol,Educado en,Universidad Carnegie Mellon
Andy Warhol,Obra notable,Díptico de Marilyn
Andy Warhol,Fecha de nacimiento,1928-08-06
Andy Warhol,Fecha de defunción,1987-02-22
Andy Warhol,Ocupación,director de cine
Andy Warhol,Ocupación,productor de cine
Andy Warhol,Ocupación,artista visual
Andy Warhol,Ocupación,diseñador
Andy Warhol,Ocupación,artista de performance
Andy Warhol,Ocupación,grabador
Andy Warhol,Ocupación,dibujante
Andy Warhol,Ocupación,artista de instalaciones
Andy Warhol,Ocupación,diarista
Andy Warhol,Ocupación,productor
Andy Warhol,Educado en,Carnegie Mellon School of Art
Andy Warhol,Educado en,Schenley High School
Andy Warhol,Obra notable,Exploding Plastic Inevitable
Andy Warhol,Obra notable,Chelsea Girls
Andy Warhol,Obra notable,Latas de sopa Campbell II
Miley Cyrus,Lugar de nacimiento,Nashville
Miley Cyrus,Ocupación,actor de televisión
Miley Cyrus,Ciudadanía,Estados Unidos
Miley Cyrus,Educado en,JMC Academy
Miley Cyrus,Obra notable,Hannah Montana
Miley Cyrus,Premio recibido,premio Grammy a la grabación del año
Miley Cyrus,Fecha de nacimiento,1992-11-23
Miley Cyrus,Ocupación,actor de cine
Miley Cyrus,Ocupación,actor
Miley Cyrus,Premio recibido,Leyendas Disney
Miley Cyrus,Ocupación,compositor
Miley Cyrus,Ocupación,cantante
Miley Cyrus,Ocupación,cantautor
Miley Cyrus,Ocupación,productor de televisión
Miley Cyrus,Ocupación,actor de voz
Miley Cyrus,Premio recibido,premio Grammy a la mejor interpretación pop solista
Miley Cyrus,Obra notable,The Last Song
Tom DeLonge,Lugar de nacimiento,Poway
Tom DeLonge,Ocupación,actor
Tom DeLonge,Ciudadanía,Estados Unidos
Tom DeLonge,Educado en,Poway High School
