entidad,relacion,objeto
Pablo Sandoval,Lugar de nacimiento,Puerto Cabello
Pablo Sandoval,Ocupación,beisbolista
Pablo Sandoval,Ciudadanía,Venezuela
Pablo Sandoval,Fecha de nacimiento,1986-08-11
Perla Haney-Jardine,Lugar de nacimiento,Niterói
Perla Haney-Jardine,Ocupación,actor
Perla Haney-Jardine,Ciudadanía,Estados Unidos
Perla Haney-Jardine,Educado en,Asheville School
Perla Haney-Jardine,Fecha de nacimiento,1997-07-17
Perla Haney-Jardine,Ocupación,actor de cine
Perla Haney-Jardine,Ciudadanía,Brasil
Perla Haney-Jardine,Ciudadanía,Venezuela
Félix Hernández,Lugar de nacimiento,Valencia
Félix Hernández,Ocupación,beisbolista
Félix Hernández,Ciudadanía,Venezuela
Félix Hernández,Miembro de,Seattle Mariners
Félix Hernández,Premio recibido,Premio Cy Young
Félix Hernández,Fecha de nacimiento,1986-04-08
Diego Matheuz,Lugar de nacimiento,Barquisimeto
Diego Matheuz,Ocupación,director de orquesta
Diego Matheuz,Ciudadanía,Venezuela
Diego Matheuz,Fecha de nacimiento,1984-08-09
Diego Matheuz,Ocupación,violinista
Diego Molero Bellavia,Lugar de nacimiento,Coro
Diego Molero Bellavia,Ocupación,militar
Diego Molero Bellavia,Ciudadanía,Venezuela
Diego Molero Bellavia,Educado en,Academia Militar de la Armada Bolivariana
Diego Molero Bellavia,Empleador,Fuerza Armada Nacional Bolivariana
Diego Molero Bellavia,Cargo,embajador
Diego Molero Bellavia,Fecha de nacimiento,1960-01-12
Diego Molero Bellavia,Ocupación,político
Diego Molero Bellavia,Ocupación,embajador
Diego Molero Bellavia,Ocupación,diplomático
Puerto Cabello,país,Venezuela
Puerto Cabello,instancia de,ciudad
Puerto Cabello,instancia de,gran ciudad
Puerto Cabello,situado en la entidad territorial administrativa,Carabobo
Puerto Cabello,situado en la entidad territorial administrativa,Municipio Puerto Cabello
beisbolista,instancia de,profesión
beisbolista,subclase de,deportista
beisbolista,subclase de,jugador competitivo
beisbolista,ámbito de la ocupación,béisbol
beisbolista,ámbito de la ocupación,béisbol femenino
Venezuela,instancia de,país
Venezuela,instancia de,estado soberano
Venezuela,jefe de Estado,Nicolás Maduro
Venezuela,jefe de Estado,Juan Guaidó
Venezuela,capital,Caracas
Niterói,país,Brasil
Niterói,instancia de,gran ciudad
Niterói,instancia de,municipio de Brasil
Niterói,comparte fronteras con,São Gonçalo
Niterói,comparte fronteras con,Maricá
actor,instancia de,profesión
actor,instancia de,ocupación
actor,instancia de,grupo de ocupaciones de la CIUO
actor,subclase de,artista escénico
Estados Unidos,forma de gobierno,república
Estados Unidos,forma de gobierno,presidencialismo
Estados Unidos,forma de gobierno,república federal
Estados Unidos,nombrado en referencia a,América
Estados Unidos,subdividido en (división administrativa),California
Valencia,país,Venezuela
Valencia,instancia de,ciudad
Valencia,idioma oficial,español
Seattle Mariners,país,Estados Unidos
Seattle Mariners,instancia de,equipo de béisbol
Seattle Mariners,estadio,T-Mobile Park
Seattle Mariners,liga,Liga Americana
Seattle Mariners,liga,Grandes Ligas de Béisbol
Premio Cy Young,país,Estados Unidos
Premio Cy Young,instancia de,distinción
Premio Cy Young,nombrado en referencia a,Cy Young
Premio Cy Young,deporte,béisbol
Barquisimeto,país,Venezuela
Barquisimeto,instancia de,ciudad
Barquisimeto,instancia de,gran ciudad
Barquisimeto,situado en la entidad territorial administrativa,Lara
director de orquesta,instancia de,profesión
director de orquesta,instancia de,cargo
director de orquesta,instancia de,profesión musical
director de orquesta,subclase de,músico
director de orquesta,subclase de,artista escénico
violinista,instancia de,cargo
violinista,instancia de,ocupación
violinista,instancia de,profesión musical
violinista,subclase de,instrumentalista
Coro,país,Venezuela
Coro,instancia de,ciudad
Coro,instancia de,gran ciudad
Coro,fundador,Juan Martín de Ampués
militar,instancia de,profesión
militar,instancia de,ocupación
militar,subclase de,empleado
militar,subclase de,guerrero
militar,opuesto a,civil
Academia Militar de la Armada Bolivariana,país,Venezuela
Academia Militar de la Armada Bolivariana,instancia de,universidad
Academia Militar de la Armada Bolivariana,instancia de,academia militar
Academia Militar de la Armada Bolivariana,organización matriz,Universidad Militar Bolivariana de Venezuela
Fuerza Armada Nacional Bolivariana,país,Venezuela
Fuerza Armada Nacional Bolivariana,instancia de,fuerzas armadas
Fuerza Armada Nacional Bolivariana,situado en la entidad territorial administrativa,Venezuela
Fuerza Armada Nacional Bolivariana,ubicación de la sede,Caracas
Fuerza Armada Nacional Bolivariana,ubicación de la sede,Mérida
Salomón Rondón,Lugar de nacimiento,Caracas
Salomón Rondón,Ocupación,futbolista
Salomón Rondón,Ciudadanía,Venezuela
Salomón Rondón,Fecha de nacimiento,1989-09-16
Caracas,jefe de gobierno,Helen Fernández
Caracas,jefe de gobierno,Alí Mansour Landaeta
Caracas,país,Venezuela
Caracas,instancia de,ciudad
Caracas,instancia de,capital federal
futbolista,instancia de,profesión
futbolista,instancia de,ocupación
futbolista,subclase de,jugador competitivo
futbolista,subclase de,Jugador de fútbol
Pastor Maldonado,Lugar de nacimiento,Maracay
Pastor Maldonado,Ocupación,piloto de automovilismo
Pastor Maldonado,Ciudadanía,Venezuela
Pastor Maldonado,Fecha de nacimiento,1985-03-09
Pastor Maldonado,Ocupación,piloto de Fórmula Uno
Wilhelm Lehmann,Lugar de nacimiento,Puerto Cabello
Wilhelm Lehmann,Ocupación,escritor
Wilhelm Lehmann,Ciudadanía,Alemania
Wilhelm Lehmann,Miembro de,Academia de las Ciencias y las Letras de Maguncia
Wilhelm Lehmann,Premio recibido,Premio Schiller Memorial
Wilhelm Lehmann,Fecha de nacimiento,1882-05-04
Wilhelm Lehmann,Fecha de defunción,1968-11-17
Wilhelm Lehmann,Ocupación,poeta
Wilhelm Lehmann,Premio recibido,Cruz de Comendador de la Orden del Mérito de la República Federal Alemana
Wilhelm Lehmann,Premio recibido,Culture and Science Award of the City of Kiel
Wilhelm Lehmann,Ciudadanía,Venezuela
Wilhelm Lehmann,Miembro de,Academia Alemana de Lengua y Literatura
Wilhelm Lehmann,Miembro de,Academia Bávara de Bellas Artes
Henri Pittier,Lugar de nacimiento,Bex
Henri Pittier,Ocupación,naturalista
Henri Pittier,Ciudadanía,Estados Unidos
Henri Pittier,Educado en,Universidad de Jena
