entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Departamento de Ahuachapán,reemplaza a,['Partido de Ahuachapán'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Departamento de Ahuachapán?,['Partido de Ahuachapán'],['el_salvador'],"[['Subdelegacion de Ahuachapan', 'Subdelegacion de Ahuachapán', 'Subdelegación de Ahuachapan', 'Subdelegación de Ahuachapán']]"
Director General de Correos,reemplaza a,['Administrador General de Correos'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Director General de Correos?,['Administrador General de Correos'],['el_salvador'],[['Administrador General de Correos de El Salvador']]
León,reemplaza a,['Ruínas de León Viejo'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza León?,['Ruínas de León Viejo'],['nicaragua'],[['Leon Viejo']]
Orden de Klement Gottwald por la Construcción de la Patria Socialista,reemplaza a,['Orden de la Construcción de la Patria Socialista'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Orden de Klement Gottwald por la Construcción de la Patria Socialista?,['Orden de la Construcción de la Patria Socialista'],['chile'],[[]]
Universidad de Salamanca,reemplaza a,['Estudio General de Salamanca'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Universidad de Salamanca?,['Estudio General de Salamanca'],['guatemala'],"[['Universidad de Salamanca', 'Studii Salmantini', 'Studium Generale de Salamanca']]"
Óscar a los mejores efectos visuales,reemplaza a,['Óscar a los mejores efectos especiales'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Óscar a los mejores efectos visuales?,['Óscar a los mejores efectos especiales'],['usa'],[[]]
Antes que anochezca,representa a,['Reinaldo Arenas Fuentes'],Contesta la siguiente pregunta: ¿A quién o qué representa Antes que anochezca?,['Reinaldo Arenas Fuentes'],['cuba'],"[['Reinaldo Arenas', 'Reinaldo Arenas Fuentas']]"
Bandera Nacional de la República Dominicana,representa a,"['cruz', 'Escudo de la República Dominicana', 'campo']",Contesta la siguiente pregunta: ¿A quién o qué representa Bandera Nacional de la República Dominicana?,"['cruz', 'Escudo de la República Dominicana', 'campo']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']","[[], ['Escudo de la Republica Dominicana'], ['campo (agricultura)', 'Campo agricola', 'Campo agrícola', 'Campo rural', 'Campos agricolas', 'Campos agrícolas']]"
Bandera de Panamá,representa a,"['campo', 'estrella de cinco puntas']",Contesta la siguiente pregunta: ¿A quién o qué representa Bandera de Panamá?,"['campo', 'estrella de cinco puntas']","['panama', 'panama']","[['campo (agricultura)', 'Campo agricola', 'Campo agrícola', 'Campo rural', 'Campos agricolas', 'Campos agrícolas'], ['estrella de 5 puntas']]"
De mangos y albaricoques,representa a,['protagonista LGBT'],Contesta la siguiente pregunta: ¿A quién o qué representa De mangos y albaricoques?,['protagonista LGBT'],['panama'],[[]]
"Del amor, del dolor y del vicio",representa a,['personaje LGBT'],"Contesta la siguiente pregunta: ¿A quién o qué representa Del amor, del dolor y del vicio?",['personaje LGBT'],['guatemala'],"[['personaje LGBT', 'personaje LGBT+']]"
El demagogo,representa a,['esqueleto'],Contesta la siguiente pregunta: ¿A quién o qué representa El demagogo?,['esqueleto'],['mexico'],"[['sistema esqueletico', 'sistema esquelético']]"
Estrella del Paseo de la Fama de Hollywood,representa a,['estrella'],Contesta la siguiente pregunta: ¿A quién o qué representa Estrella del Paseo de la Fama de Hollywood?,['estrella'],['cuba'],"[['estrellas', 'estelar', 'estrella celeste', 'estrella del cielo', 'estrella del firmamento']]"
La guerra de guerrillas,representa a,['Che Guevara'],Contesta la siguiente pregunta: ¿A quién o qué representa La guerra de guerrillas?,['Che Guevara'],['cuba'],"[['Ernesto', 'Fuser', 'Che', 'Chancho', 'El Che', 'Adolfo Mena González', 'Chancho Guevara', 'Chang Cho', 'Ernesto Guevara', 'Ernesto Guevara de la Serna', 'Fernando Sacamuelas', 'Furibundo Serna', 'Luís Hernández Gálvez']]"
Murales de la Industria de Detroit,representa a,['trabajo'],Contesta la siguiente pregunta: ¿A quién o qué representa Murales de la Industria de Detroit?,['trabajo'],['mexico'],[['trabajo mecánico']]
Alfaguara,propiedad de,['Penguin Random House Grupo Editorial'],Contesta la siguiente pregunta: ¿A quién pertenece Alfaguara?,['Penguin Random House Grupo Editorial'],['guatemala'],[[]]
