entidad,tipo_entidad
Barbra Streisand,ser humano
Andy Warhol,ser humano
Miley Cyrus,ser humano
Tom DeLonge,ser humano
Mark Hoppus,ser humano
Jon Abrahams,ser humano
Rodger Bumpass,ser humano
Jimmy Bennett,ser humano
Kim Carnes,ser humano
Chris Rock,ser humano
Adam Carolla,ser humano
Jonathan Winters,ser humano
Patrice O’Neal,ser humano
Claire Holt,ser humano
Ned Beatty,ser humano
Julian McMahon,ser humano
James Coburn,ser humano
Corbin Bleu,ser humano
Frank Lloyd Wright,ser humano
Eminem,ser humano
Marilyn Monroe,ser humano
Mitt Romney,ser humano
Daniel Craig,ser humano
Marlene Dietrich,ser humano
Vince Gilligan,ser humano
Chloë Grace Moretz,ser humano
Alison Lohman,ser humano
Ernst Mayr,ser humano
Mr. Lawrence,ser humano
Emily Dickinson,ser humano
Troian Bellisario,ser humano
Jennette McCurdy,ser humano
Clancy Brown,ser humano
Zach Gilford,ser humano
Anna Faris,ser humano
Miranda Cosgrove,ser humano
Jason Lee,ser humano
Herman Melville,ser humano
James Meredith,ser humano
Jimmy Kimmel,ser humano
Greta Garbo,ser humano
Eugenio Calabi,ser humano
Larry Page,ser humano
Bill Gates,ser humano
Joan Lorring,ser humano
Corey Dillon,ser humano
Gregory Merson,ser humano
Ron Howard,ser humano
Carmelita Jeter,ser humano
Melissa Fahn,ser humano
Brooklyn,Distritos de la ciudad de Nueva York
cantautor,profesión musical
Estados Unidos,país
Erasmus Hall High School,escuela secundaria superior
Yentl,película
Pittsburgh,ciudad
artista gráfico,profesión
Universidad Carnegie Mellon,universidad
Díptico de Marilyn,pintura
Nashville,ciudad
actor de televisión,actor
Hannah Montana,serie de televisión
Poway,ciudad de Estados Unidos
actor,profesión
Angels & Airwaves,grupo musical
Ridgecrest,página de desambiguación de Wikimedia
cantante,músico
Universidad Estatal de California en San Marcos,universidad
Blink182,álbum
Nueva York,página de desambiguación de Wikimedia
Little Rock,ciudad
Universidad Estatal de Arkansas,universidad
Bob Esponja,serie de televisión de animación
Seal Beach,ciudad
músico,profesión
Los Ángeles,asentamiento
Andrews,página de desambiguación de Wikimedia
guionista,profesión
Escuela Secundaria James Madison,escuela secundaria superior
Madagascar,país
Escuela Preparatoria de North Hollywood,escuela
Dayton,ciudad
escritor,profesión
Kenyon College,institución educativa
Los Pitufos,franquicia de medios
Universidad Northeastern,universidad
Brisbane,ciudad
Louisville,ciudad
Universidad Transylvania,universidad
Sídney,ciudad
Universidad de Sídney,universidad pública de investigación
Laurel,municipio de Filipinas
Universidad del Sur de California,universidad
Anexo:Oscar al mejor actor de reparto,premio
productor de cine,profesión
Escuela Secundaria Fiorello H. LaGuardia,escuela secundaria superior
High School Musical Cast,grupo musical
Richland Center,ciudad
Universidad de WisconsinMadison,universidad
The New School,institución educativa
St. Joseph,iglesia
Oak Park High School,página de desambiguación de Wikimedia
D12,página de desambiguación de Wikimedia
Universidad de California en Los Ángeles,universidad
Some Like It Hot,película
