entidad,tipo_entidad
Pablo Sandoval,ser humano
Perla Haney-Jardine,ser humano
Félix Hernández,ser humano
Diego Matheuz,ser humano
Diego Molero Bellavia,ser humano
Puerto Cabello,ciudad
beisbolista,deportista
Venezuela,país
Niterói,ciudad
actor,profesión
Estados Unidos,país
Valencia,ciudad componente
Seattle Mariners,equipo de béisbol
Premio Cy Young,distinción
Barquisimeto,ciudad
director de orquesta,profesión
violinista,profesión
Coro,página de desambiguación de Wikimedia
militar,profesión
Academia Militar de la Armada Bolivariana,universidad
Fuerza Armada Nacional Bolivariana,fuerzas armadas
Salomón Rondón,ser humano
Caracas,ciudad
futbolista,jugador
Pastor Maldonado,ser humano
Wilhelm Lehmann,ser humano
Henri Pittier,ser humano
"Carlos ""Morocho"" Hernández",ser humano
Inocente Carreño,ser humano
Maracay,ciudad
piloto de automovilismo,profesión
piloto de Fórmula Uno,profesión
escritor,profesión
Alemania,país
Academia de las Ciencias y las Letras de Maguncia,universidad
Premio Schiller Memorial,premio literario
Bex,gemeinde de Suiza
naturalista,científico
Universidad de Jena,universidad
boxeador,deportista
Isla de Margarita,isla
compositor,ocupación
himno de la municipalidad de Baruta,himno
César Ramón Ortega Herrera,ser humano
Ignacio Burk,ser humano
Alexi Amarista,ser humano
Radamel Falcao García,ser humano
Ignacio Andrade,ser humano
Yaracuy,estado de Venezuela
sacerdote católico,presbítero
obispo diocesano,cargo eclesiástico
Núremberg,ciudad
Barcelona,ciudad
Santa Marta,ciudad
Colombia,país
Mérida,municipio de España
presidente de Venezuela,cargo público
José Ruperto Monagas,ser humano
Lorenzo Campins y Ballester,ser humano
Vicente Gerbasi,ser humano
Pedro Gamarro,ser humano
Omar Catarí,ser humano
Aragua de Barcelona,asentamiento
Palma de Mallorca,ciudad
médico,profesión
Universidad de Valencia,universidad
Universidad Central de Venezuela,universidad
Carabobo,estado de Venezuela
Academia Venezolana de la Lengua,academia
Premio Nacional de Literatura,página de desambiguación de Wikimedia
Machiques,ciudad
Adán Chávez,ser humano
Fernando De Ornelas,ser humano
Alba Roversi,ser humano
Vicente Nebrada,ser humano
Francisco Buttó,ser humano
Sabaneta,ciudad
político,profesión
Universidad de Los Andes,universidad
Universidad Católica Andrés Bello,universidad
bailarín de ballet,profesión
Teatro Teresa Carreño,teatro de ópera
Orden de Andrés Bello,orden
Maturín,ciudad
Edwin Becerra,ser humano
Paul Ramírez,ser humano
Pedro Gutiérrez,ser humano
Taniusha Mollet,ser humano
Francisco Cervelli,ser humano
ciclista,deportista
entrenador,profesión
Lara,estado de Venezuela
Italia,país
Marena Bencomo,ser humano
Conny Méndez,ser humano
Bárbaro Rivas,ser humano
Morella Muñoz,ser humano
Reynaldo Hahn,ser humano
modelo,propiedad
participante en concursos de belleza,concurseante
Petare,asentamiento
pintor,profesión
cantante de ópera,profesión musical
Francia,país
Conservatorio de París,conservatorio
Academia de Bellas Artes,escuela
Daniela Larreal,ser humano
Cipriano Castro,ser humano
Rafael Urdaneta,ser humano
Maracaibo,ciudad
Táchira,estado de Venezuela
Colegio Mayor de San Bartolomé,colegio mayor
diputado de Venezuela,cargo
Andrés Rodríguez de Villegas,ser humano
Ana Mercedes Asuaje de Rugeles,ser humano
Roberto Petagine,ser humano
San Juan,municipio de Filipinas
gobernador real de La Florida,cargo
Universidad Católica de América,universidad católica
Nueva Esparta,estado de Venezuela
Freddy Cachazo,ser humano
Rafael Romero,ser humano
Vicente Llobregat,ser humano
físico,profesión
Universidad Harvard,universidad
Medalla Gribov,premio de física
atleta,deportista
Alicante,ciudad
árbitro de fútbol,profesión
Augusto Brandt,ser humano
Margarita Cadenas,ser humano
José Gregorio Hernández,ser humano
guionista,profesión
director de cine,profesión
Isnotú,asentamiento
Frederick Segura,ser humano
Fredy Cedeño,ser humano
Fredy Reyna,ser humano
Valera,comunidad no incorporada en los Estados Unidos
voleibolista,deportista
músico,profesión
José Gregorio Valera,ser humano
Victorino Márquez Bustillos,ser humano
Diana Arismendi,ser humano
Guanare,ciudad
abogado,profesión
Caballero de la Gran Cruz de la Orden de Pío IX,grado de una orden
Universidad Simón Bolívar,universidad
Rafael Mea Vitali,ser humano
Zair Montes,ser humano
Gaspar Colón Moleiro,ser humano
Giancarlo Maldonado,ser humano
Miku,ser humano
José Alarcón Morales,ser humano
Richard Ochoa,ser humano
El Vigía,asentamiento
Freddy Jesús Fuemayor Suárez,ser humano
Juan Vicente Lecuna,ser humano
Juan Alfonso Baptista,ser humano
España,país
actor de televisión,actor
Ramón Rodríguez Chacín,ser humano
Hilda Abrahamz,ser humano
Municipio Santa Ana,municipio de Venezuela
Cristian Quintero,ser humano
Rafael Acosta,ser humano
Aníbal Sánchez,ser humano
nadador,deportista
Argenis Chávez,ser humano
Dioni Guerra,ser humano
Alicia Machado,ser humano
Puerto La Cruz,ciudad
Miss Universo 1996,edición de concurso de belleza
Roger Alier,ser humano
Mario Rondón,ser humano
José Tadeo Monagas,ser humano
Los Teques,ciudad
Universidad de Barcelona,universidad
Portugal,país
Monagas,estado de Venezuela
presidente,apellido
Carolina Tejera,ser humano
Milagros Sequera,ser humano
Majandra Delfino,ser humano
San Felipe,municipio de Filipinas
tenista,deportista
Isaías Medina Angarita,ser humano
Guillermo Pérez,ser humano
Alirio Díaz,ser humano
San Cristóbal,ciudad
Carora,ciudad
Accademia Musicale Chigiana,conservatorio
Premio Nacional de Música de Venezuela,premio
José María Benítez,ser humano
Rodolfo González,ser humano
Moisés Kaufman,ser humano
La Victoria,página de desambiguación de Wikimedia
Universidad de Nueva York,universidad
Premio Literario Lambda,premio
Manuel Piar,ser humano
Bruno Palli,ser humano
Fabiola Colmenares,ser humano
Willemstad,ciudad
ingeniero,profesión
Universidad Centroccidental Lisandro Alvarado,universidad
José Torrealba,ser humano
Rafael de Nogales Méndez,ser humano
José Sótero Valero Ruz,ser humano
Acarigua,ciudad
Cruz de Hierro de 1.ª clase,grado
Timotes,asentamiento
obispo auxiliar,obispo
Fernando Nieve,ser humano
Luis Posada Carriles,ser humano
Cienfuegos,ciudad
espía,profesión
Universidad de La Habana,universidad
Agencia Central de Inteligencia,agencias independientes del gobierno de Estados
Arturo Uslar Pietri,ser humano
Tareck El Aissami,ser humano
Manuel Caballero,ser humano
historiador,profesión
El Nacional,página de desambiguación de Wikimedia
vicepresidente,cargo
University College de Londres,institución educativa universitaria
Carlos Cristancho Rojas,ser humano
Raúl Borges,ser humano
Silvio Fernández,página de desambiguación de nombres humanos
diplomático,profesión
Cruz federal de la República de Alemania al mérito,grado de una orden
esgrimista,deportista
Eduardo Herrera Riera,ser humano
Manuel Medina,ser humano
