entidad,tipo_entidad
Rodulfo Brito Foucher,ser humano
Marco Fabián de la Mora,ser humano
Eizi Matuda,ser humano
Stephen F. Austin,ser humano
Rafael Coronel,ser humano
Álvaro Corcuera,ser humano
Álvaro Gaxiola,ser humano
Ricardo Arredondo,ser humano
Ángel Antonio León,ser humano
Angel Bracho,ser humano
Villahermosa,ciudad
abogado,profesión
Guadalajara,página de desambiguación de Wikimedia
futbolista,deportista
catedrático,profesor universitario
Condado de Wythe,condado
político,profesión
Zacatecas,estado
pintor,profesión
Ciudad de México,ciudad
sacerdote católico,presbítero
saltador,deportista
boxeador,deportista
México,asentamiento
Aarón Galindo,ser humano
Ana Rosa Payán Cervera,ser humano
Fausto Manuel Pinto Rosas,ser humano
Genaro García Luna,ser humano
Manuel Camacho,ser humano
Gerardo Torrado,ser humano
Pablo Barrera Acosta,ser humano
Omar Bravo,ser humano
Guadalupe Victoria,ser humano
Jared Borgetti,ser humano
Culiacán,ciudad
ingeniero,profesión
Jalisco,estado
Los Mochis,ciudad
Tamazula de Victoria,asentamiento
Xavier Cortés Rocha,ser humano
Eduardo Hernández Moncada,ser humano
Pedro Armendáriz,ser humano
Manuel M. Ponce,ser humano
Martin Vasquez,ser humano
Francisco Fonseca,ser humano
Manuel Uribe Garza,ser humano
Miguel Bernal Jiménez,ser humano
Antonio Attolini Lack,ser humano
Tulio Demicheli,ser humano
Tampico,localidad de México
arquitecto,profesión
XalapaEnríquez,ciudad
compositor,músico
actor,profesión
entrenador,profesión
Buenos Aires,ciudad
guionista,profesión
Hubertus von Hohenlohe,ser humano
Abelardo L. Rodríguez,ser humano
Miguel Ángel Ruiz Macías,ser humano
Max Ludwig Cetto Day,ser humano
Raúl Rojas,ser humano
Alfonso Rojo de la Vega,ser humano
Metro,city of Indonesia
Franz Mayer,ser humano
Paul Westheim,ser humano
Fernando Espinosa,ser humano
cantante,músico
Heroica Guaymas,ciudad
militar,profesión
escritor,profesión
Coblenza,ciudad
informático teórico,científico
luchador profesional,deportista
Mannheim,ciudad
fotógrafo,profesión
Eschwege,villa
Octavio Paz,ser humano
Alfonso Cuarón,ser humano
Mario Molina,ser humano
Lila Downs,ser humano
Orlando Salido,ser humano
Rosario María Gutiérrez Eskildsen,ser humano
Ron Chernow,ser humano
Gerónimo,ser humano
Carlos Pellicer Cámara,ser humano
Florencia de Saracho,ser humano
Federico Gamboa,ser humano
Frida Kahlo,ser humano
Antonio Arias Bernal,ser humano
Vicente Zarazúa,ser humano
Louis C.K.,ser humano
Jonathan dos Santos,ser humano
Esteban Gutiérrez,ser humano
Agustín I de México,ser humano
Adolfo Best Maugard,ser humano
Adolfo Bautista,ser humano
Adolfo González,ser humano
Adolfo Miguel Castaño Fonseca,ser humano
Adolfo Mexiac,ser humano
Adolfo Mújica y Sáyago,ser humano
Adolfo Sánchez Vázquez,ser humano
León Trotski,ser humano
Patricia Navidad,ser humano
José Eduardo de Cárdenas,ser humano
Manuel Mondragón,ser humano
Omar Arellano,ser humano
Lorena Ochoa,ser humano
Salma Hayek,ser humano
Cameron Diaz,ser humano
Pablo de Escandón,ser humano
Andrés Guardado,ser humano
Luis Buñuel,ser humano
Sara Ramírez,ser humano
Raúl Valerio,ser humano
Germán Valdés,ser humano
Jorge Ibargüengoitia,ser humano
Emiliano Zapata,ser humano
Enrique González Martínez,ser humano
Joaquín Reyes Chávez,ser humano
Alejandro González Iñárritu,ser humano
Felipe Calderón,ser humano
Adolfo Antonio Suárez Rivera,ser humano
Arturo Rosenblueth Stearns,ser humano
Carlos Vela,ser humano
José Joaquín Fernández de Lizardi,ser humano
Simón Radowitzky,ser humano
Francisco Bramón,ser humano
Rudy Youngblood,ser humano
Francisco León de la Barra,ser humano
Patricia Espinosa Cantellano,ser humano
Raúl Cárdenas,ser humano
Antonio Salazar,ser humano
María Inés Teresa del Santísimo Sacramento,ser humano
Mario Van Peebles,ser humano
Alfonso Montemayor,ser humano
Tomás Garrido Canabal,ser humano
Octavio Ocampo,ser humano
Miguel de Icaza Amozorrutia,ser humano
Fernando Casanova,ser humano
Erubey Cabuto,ser humano
Fernando Gutiérrez Barrios,ser humano
Vicente Fernández,ser humano
Julio Enrique Gómez,ser humano
Lukas Vischer,ser humano
José Antonio Patlán,ser humano
Dolores del Río,ser humano
John Sutter,ser humano
Pablo Emilio Madero,ser humano
Adolfo de la Huerta,ser humano
Jesús Eduardo Zavala,ser humano
Danna Paola,ser humano
Luis Estrada,ser humano
Guillermo González Camarena,ser humano
Ricardo Flores Magón,ser humano
Abner Mares,ser humano
Gaspar Fernández,ser humano
John Doeg,ser humano
Alina Garciamendez,ser humano
Salvador Novo,ser humano
Paul Kirchhoff,ser humano
Mathias Goeritz,ser humano
Ultiminio Ramos,ser humano
Antonio López Ojedo,ser humano
Manuel de Escandón,ser humano
Mario Alberto Gallegos,ser humano
Jorge Cuesta,ser humano
productor de televisión,profesional de medios
Ciudad Obregón,ciudad
Brooklyn,distrito
Río Gila,río
líder militar,oficial militar
Hermosillo,ciudad
Villa Coyoacán,barrio
Aguascalientes,estado
dibujante,profesión
tenista,deportista
Washington D. C.,ciudad
piloto de Fórmula Uno,profesión
arquero,profesión
Algeciras,municipio
diplomático,profesión
Sinaloa,estado
Cunduacán,municipio
golfista,deportista
Coatzacoalcos,ciudad
San Diego,ciudad
Calanda,montaña
Mazatlán,ciudad
actor de teatro,ocupación
Guanajuato,estado
agricultor,trabajador
Torreón,ciudad
productor de cine,profesión
editor de cine,propiedad de Wikidata para elementos sobre películas
San Cristóbal de las Casas,ciudad
Chihuahua,perro
filósofo,académico
Cancún,obra literaria
obrero de construcción,trabajador
