entidad,tipo_entidad
Ernesto Cardenal,ser humano
Claribel Alegría Vides,ser humano
Nora Astorga,ser humano
Bárbara Carrera,ser humano
Fernando Cardenal,ser humano
Miguel d'Escoto Brockmann,ser humano
Violeta Chamorro,ser humano
Adolfo Díaz Recinos,ser humano
Rubén Darío,ser humano
Pablo Antonio Vega Mantilla,ser humano
René Schick Gutiérrez,ser humano
Bianca Jagger,ser humano
Gioconda Belli,ser humano
María Romero Meneses,ser humano
Enrique Bolaños Geyer,ser humano
Anastasio Somoza García,ser humano
Omar Cabezas,ser humano
Benito Rosales,ser humano
Augusto César Sandino,ser humano
Anastasio Somoza Debayle,ser humano
Argentina,país
escritor,profesión
Nicaragua,país
Universidad de Columbia,universidad
Casa de los tres mundos,centro artístico
Estelí,página de desambiguación de Wikimedia
escritor de literatura infantil,escritor
El Salvador,país
Universidad George Washington,universidad
comendador de la Orden de la Estrella de la Solidaridad Italiana,comendador
Managua,ciudad
juez,propiedad de Wikidata relacionada con el derecho y la justicia
Universidad Católica de América,universidad
embajador,cargo
Bluefields,página de desambiguación de Wikimedia
actor de televisión,actor
actor de cine,profesión
Granada,municipio
político,profesión
ministro de Educación,cargo
Los Ángeles,asentamiento
sacerdote,clérigo
Estados Unidos,país
Columbia University Graduate School of Journalism,escuela de postgrado
Organización de las Naciones Unidas,organización
Rivas,página de desambiguación de Wikimedia
Presidente de Nicaragua,cargo público
Alajuela,ciudad
Ciudad Darío,municipio
Azul...,obra literaria
cónsul,cargo
sacerdote católico,presbítero
obispo titular,cargo eclesiástico
Orden El Sol del Perú,orden estatal
actor,profesión
Reino Unido,país
Instituto de Estudios Políticos de París,universidad
Premio Right Livelihood,premio
España,país
La mujer habitada,obra literaria
Academia Nicaragüense de la Lengua,sociedad erudita
monja,ocupación religiosa
Nindirí,municipio
Universidad de San Luis,universidad
San Marcos,página de desambiguación de Wikimedia
León,municipio
miembro de la Asamblea Nacional de Nicaragua,parlamentario
Niquinohomo,municipio
Academia Militar de los Estados Unidos,institución educativa
Luis Enrique,ser humano
Sebastián Uriza,ser humano
Evaristo Carazo,ser humano
David Nicolás Osorno,ser humano
Fernando Guzmán Solórzano,ser humano
Vicente Cuadra y Ruy Lugo,ser humano
Arnoldo Alemán,ser humano
Florencio Xatruch,ser humano
Carlos Fonseca Amador,ser humano
Fabio Gadea,ser humano
Adán Cárdenas,ser humano
Máximo Jerez Tellería,ser humano
José Núñez,ser humano
Rosalío Cortés,ser humano
Benjamín Lacayo Sacasa,ser humano
Roberto Martínez Lacayo,ser humano
José María Guerrero,ser humano
Juan José Estrada Morales,ser humano
Justo Abaunza,ser humano
Miguel Ramón Morales,ser humano
Somoto,ciudad
compositor,músico
Salsa Giants,grupo musical
premio Grammy al mejor álbum latino tropical,categoría de un premio
Tipitapa,página de desambiguación de Wikimedia
abogado,profesión
Universidad Nacional Autónoma de Nicaragua,universidad
Honduras,país
Universidad Nacional Autónoma de NicaraguaLeón,universidad
presidente de Honduras,cargo público
Matagalpa,página de desambiguación de Wikimedia
Ocotal,ciudad
periodista,profesión
Universidad de Pisa,universidad
diplomático,profesión
Monumento Nacional Archipiélago de Solentiname,área protegida
médico,profesión
Masaya,ciudad
Nicoya,página de desambiguación de Wikimedia
Capitanía general de Guatemala,capitanía general del Imperio español
Mercedes Tenorio,ser humano
Miguel Ángel Sánchez López,ser humano
Milton Bustos,ser humano
Yolanda Blanco,ser humano
Nicarao,ser humano
Norfran Lazo,ser humano
Omar Núñez,ser humano
Orlando Vásquez,ser humano
Oscar Danilo Blandón,ser humano
Oswaldo Mairena,ser humano
Pedro Miguel Arce,ser humano
Ramiro Ortiz,ser humano
Ramón Otoniel Olivas,ser humano
Raúl Leguías,ser humano
Roger Mejía,ser humano
Rudel Calero,ser humano
Salvador Dubois,ser humano
Víctor Webster,ser humano
Walter Martínez,ser humano
Wilber Sánchez,ser humano
futbolista,deportista
poeta,escritor
cacique,cargo
comandante,militar
Ticuantepe,municipio
nadador,deportista
deportista,profesión
narcotraficante,contrabandista
Chinandega,municipio
beisbolista,deportista
Universidad de Toronto,universidad
empresario,ocupación
entrenador,profesión
Ciudad de Colón,página de desambiguación de Wikimedia
La Libertad,municipio
Diriamba,municipio
tirador,cinturón
Román González,ser humano
Alfonso Lovo Cordero,ser humano
Miguel Larreynaga,ser humano
Adolfo Calero,ser humano
Alejandro Arostegui,ser humano
Marianela Lacayo,ser humano
Jorge Navas Cordonero,ser humano
Lizandro Chávez Alfaro,ser humano
Dennis Martínez,ser humano
Vicente Padilla,ser humano
Rosario Murillo,ser humano
Eddie Gazo,ser humano
Edgardo Rosales,ser humano
Eduardo Montealegre,ser humano
Erasmo Ramírez,ser humano
Everth Cabrera,ser humano
Osmar Bravo,ser humano
Juan Miguel Zeledón,ser humano
Wilton López,ser humano
Adriana Dorn,ser humano
boxeador,deportista
Danlí,municipio
Telica,montaña
Universidad de Notre Dame,universidad
pintor,profesión
modelo,propiedad
escultor,profesión artística
San Lorenzo,ciudad
músico,profesión
Universidad Brown,universidad
Nandaime,municipio
Nueva Guinea,isla
atleta,deportista
Samuel Wilson,ser humano
Mauricio Funes,ser humano
Daniel Ortega,ser humano
Samuel Santos López,ser humano
Philip Agee,ser humano
Evaristo Rocha,ser humano
Manuel Antonio Blas Sáenz,ser humano
Norberto Ramírez,ser humano
José de Jesús Alfaro,ser humano
Fernando Agüero Rocha,ser humano
Salvador Machado,ser humano
José Madriz Rodríguez,ser humano
Lorenzo Guerrero Gutiérrez,ser humano
José León Sandoval,ser humano
Silvestre Selva,ser humano
Pedro Joaquín Chamorro y Alfaro,ser humano
Tomás Martínez,ser humano
Pablo Buitrago y Benavente,ser humano
Leonardo Argüello Barreto,ser humano
Luis Enrique Mejía Godoy,ser humano
San Salvador,ciudad
Universidad Centroamericana José Simeón Cañas,universidad
presidente de El Salvador,presidente
Universidad Rusa de la Amistad de los Pueblos,universidad
condado de Alachua,condado
alertador,ocupación
Agencia Central de Inteligencia,agencias independientes del gobierno de Estados
Gran Cruz de la Orden de Isabel la Católica,grado de una orden
Nagarote,municipio
cantante,músico
Sergio Ramírez,ser humano
Rigoberto López Pérez,ser humano
Leovigildo López Fitoria,ser humano
Pedro Hernández Cantarero,ser humano
José Antonio Lezcano y Ortega,ser humano
Rolando José Álvarez Lagos,ser humano
María Flores,ser humano
Harry Brautigam,ser humano
José Laureano Pineda Ugarte,ser humano
